"","Unique","Average.share","Individual","I.perc(%)","id"
"env3",0.004,0.0156,0.0196,-245,"env3"
"env4",0.0027,0.01,0.0127,-158.75,"env4"
"env2",-0.0023,-7e-04,-0.003,37.5,"env2"
"env1",-0.0156,-0.0011,-0.0167,208.75,"env1"
"env5",-0.0237,0.0033,-0.0204,255,"env5"
