M3	M2	M1	M5	M4	M7	M6
KO1	-6.00298350115024	-8.88291126423536	-1.72973537813502	-0.503411985514786	0.544364737929934	-0.920213738832155	-2.18128599715121
KO2	2.56679437873956	-6.97908310476035	-1.31983946766902	-0.119905508906516	3.32311359805253	-0.775078320715755	-1.63432820293517
KO3	-11.9974876530768	-7.8034580289641	5.32640478727854	-1.34154934768041	3.21723042354494	-2.52556760173478	6.23608098197544
KO4	-10.1877143314684	-9.7699286252678	6.98612910521374	4.28057077746842	-3.22557361543481	-2.1127982081075	0.305751702814515
KO5	-17.8703516514983	-11.292046345951	12.7371737493948	-3.66886604861589	-0.745050607419707	-2.74431094858423	7.08111921261342
KO6	-5.1351032237858	-8.64510227998253	6.49515994439598	-4.08272653322599	-4.21859899576651	-0.326770177478132	0.767140241258775
OE1	8.15689979205069	8.82940014174901	-5.21950105287357	-0.202302096556857	3.92239125936766	8.32104643681652	-2.07123417860549
OE2	10.7212274006895	3.31837393727822	-5.30450637767949	1.90772306453019	4.56569441927714	1.26051919586323	-0.0292053183582051
OE3	2.54905893652715	1.8518698511763	-4.13357517409178	2.01849404415181	-2.92062337359041	3.17864051637104	-3.31839651621911
OE4	1.83112361757972	-2.45541194584611	-3.14809031439513	-1.9289853786012	-0.601412332022766	3.44970490171961	-0.173648311928756
OE5	4.73827594143526	5.13350331537819	-1.04582021005753	-0.124108265390603	2.27757491530544	-0.6957730454154	1.53447412709312
OE6	8.3340440986757	9.39366536973834	-3.46196126002243	-1.59974462209496	2.1140390007298	9.23697544169291	-2.07238002053082
WT1	1.43579765780248	8.93579663728371	-1.25519540760105	5.66377101161883	-2.78332146023658	-2.25403624030724	-1.716983611945
WT2	-1.67445390729969	6.08581530451219	2.39918106225237	-2.78944809384231	-11.4118800064439	-3.04734343435593	-2.58869760531029
WT3	7.15910478505121	4.64065087363224	-4.41544279601181	-1.1112726803379	2.51116195146956	-2.08971135722292	-2.16022444682681
WT4	3.40681424871329	0.331064841721456	-2.62655521907548	-2.33128249717637	0.713809419822051	-2.8167384182929	-0.888249593300517
WT5	-0.230298360977284	10.3718672233917	2.55918845278365	-4.30981408355505	0.470629951916944	-3.12448351457478	3.52981303231674
WT6	2.19925177199195	-3.06406590085405	-2.84301444370672	10.2428582437296	2.24645071349866	-2.01406148684159	-0.61974549496066
