,ID,group,dd,stat,y
1,sample1,Group1,0.877293128897189,b,0.885277487012082
2,sample10,Group2,0.814941875042042,a,0.852931133595128
3,sample11,Group2,0.796115069353959,a,0.852931133595128
4,sample12,Group2,0.810244002781886,a,0.852931133595128
5,sample13,Group3,0.84201227318465,a,0.868340414234014
6,sample14,Group3,0.83251915979806,a,0.868340414234014
7,sample15,Group3,0.864094584821722,a,0.868340414234014
8,sample16,Group3,0.842706892833128,a,0.868340414234014
9,sample17,Group3,0.829049599651828,a,0.868340414234014
10,sample18,Group3,0.837977669145759,a,0.868340414234014
11,sample2,Group1,0.872065949549797,b,0.885277487012082
12,sample3,Group1,0.88103165759979,b,0.885277487012082
13,sample4,Group1,0.871101335288498,b,0.885277487012082
14,sample5,Group1,0.864774498354861,b,0.885277487012082
15,sample6,Group1,0.874873456930027,b,0.885277487012082
16,sample7,Group2,0.848685304182836,a,0.852931133595128
17,sample8,Group2,0.831966070288115,a,0.852931133595128
18,sample9,Group2,0.848002196896883,a,0.852931133595128
