,ID,group,dd,stat,y
1,sample10,Group2,0.129159099109016,b,0.143858298170654
2,sample11,Group2,0.137497343202758,b,0.143858298170654
3,sample12,Group2,0.140220787744027,b,0.143858298170654
4,sample13,Group3,0.0768467647072718,a,0.081783297497779
5,sample14,Group3,0.0778211584526302,a,0.081783297497779
6,sample15,Group3,0.067470579211501,a,0.081783297497779
7,sample16,Group3,0.0755382448839776,a,0.081783297497779
8,sample17,Group3,0.0781457870711527,a,0.081783297497779
9,sample18,Group3,0.0712628155136667,a,0.081783297497779
10,sample7,Group2,0.112404056153304,b,0.143858298170654
11,sample8,Group2,0.123863237714872,b,0.143858298170654
12,sample9,Group2,0.111278319373884,b,0.143858298170654
