#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3224	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Aggregicoccus	Aggregicoccus_edonensis
OTU_3251	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Limisphaera_ngatamarikiensis
OTU_3241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	Chelatococcus_asaccharovorans
OTU_3248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_sediminis
OTU_3247	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	Methylomicrobium_japanense
OTU_3231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	Stella_vacuolata
OTU_3237	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Francisella	Francisella_tularensis_subsp._mediasiatica
OTU_3253	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	Clostridium_cellulosi
OTU_3245	Bacteria	Parcubacteria	Bacteroidia	Bacteroidales	Prevotellaceae	Parcubacteria_genera_incertae_sedis	Sphaerotilus_hippei
OTU_3258	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Roseiflexus	Roseiflexus_castenholzii
OTU_3249	Bacteria	Acidobacteria	Acidobacteria_Gp17	Bacillales	Alicyclobacillaceae	Gp17	Tumebacillus_flagellatus
OTU_3261	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Owenweeksia	Owenweeksia_hongkongensis
OTU_3255	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Clostridium_putrefaciens
OTU_3252	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_astaxanthinifaciens
OTU_3250	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas_michiganensis
OTU_3262	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Methylobacterium	Syntrophobacter_wolinii
OTU_3257	Bacteria	Chloroflexi	Actinobacteria	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium_carboxidum
OTU_3242	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unassigned	Unassigned	Gp2	Unassigned
OTU_3246	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter_vanneervenii
OTU_3254	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Fodinicurvata	Fodinicurvata_fenggangensis
OTU_3263	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Jatrophihabitans	Jatrophihabitans_endophyticus
OTU_3264	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Ureibacillus_thermosphaericus
OTU_3267	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Terriglobus_saanensis
OTU_3266	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
OTU_3269	Bacteria	Acidobacteria	Acidobacteria_Gp13	Unassigned	Unassigned	Gp13	Unassigned
OTU_3273	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lewinella	Lewinella_agarilytica
OTU_3271	Bacteria	Acidobacteria	Acidobacteria_Gp3	Desulfovibrionales	Desulfovibrionaceae	Gp3	Thermoanaerobaculum_aquaticum
OTU_3272	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	Caldilinea_aerophila
OTU_3278	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacter	Prolixibacter_bellariivorans
OTU_3275	Bacteria	Proteobacteria	Deltaproteobacteria	Caldilineales	Caldilineaceae	Litorilinea	Litorilinea_aerophila
OTU_3281	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Thermogutta	Thermogutta_hypogea
OTU_3280	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Chloroherpeton_thalassium
OTU_3268	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	Catabacter	Catabacter_hongkongensis
OTU_3283	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Chloroplast	Streptophyta	Desulfovibrio_giganteus
OTU_3260	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia_phymatum
OTU_3276	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia_conorii
OTU_3284	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfatiglans_parachlorophenolica
OTU_3297	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides_mccartyi
OTU_3288	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia_ilealis
