"","one","Means","SD"
"num.edges",1334,1334,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",348,348,0
"connectance",0.0220941402497598,0.0220941402497598,0
"average.degree",7.66666666666667,7.66666666666667,0
"average.path.length",4.26939315752438,3.09363288917418,0.00574725266651133
"diameter",13,5.5,0.502518907629606
"edge.connectivity",0,1.21,0.640312423743285
"clustering.coefficient",0.0267418032786885,0.021845315399795,0.00263636364171393
"no.clusters",2,1.15,0.435194139889245
"centralization.degree",0.113352545629203,0.0254274735830932,0.00376515995378832
"centralization.betweenness",0.0743746866396673,0.0182029741293052,0.00338097102263701
"centralization.closeness",0.0771116035686183,0.0967549418056372,0.0198991210256693
