"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
17,0.178589809572826,406.233104122032,17
17,0.179235537190083,933.25888124996,17
12,0.180635085892764,467.444941143681,12
12,0.171273445212241,2101.47535259284,12
8,0.169599217986315,97.786223829629,8
2,0.103243082415948,344,2
1,0.0931793770139635,0,1
2,0.114219881500987,686,2
1,0.105954198473282,0,1
5,0.134028582464272,1749.48145636995,5
3,0.157084653689452,25.8558262004467,3
18,0.181770560502881,1743.67543690913,18
1,0.117269347752619,0,1
4,0.152661680598328,763.640189046771,4
9,0.177584442169908,649.961899978778,9
4,0.163988657844991,1113.62158685475,4
11,0.172981056829511,428.862736665423,11
5,0.167067886374579,244.991734623705,5
36,0.188792165397171,2140.13197645776,36
15,0.178958225889634,1585.76336008551,15
26,0.186358754027927,2673.24289253728,26
17,0.180917622523462,1026.66071277984,17
23,0.185363247863248,1470.06323074592,23
2,0.159466911764706,4.08394461138224,2
4,0.154979901741849,799.106505792917,4
14,0.172123015873016,1840.79814810072,14
10,0.171358024691358,1140.56508070742,10
16,0.188075880758808,719.063948094838,16
19,0.19013698630137,1398.26965362275,19
17,0.192563817980022,2604.05886316265,17
7,0.171104536489152,191.712007228574,7
3,0.159687068568799,115.531685445944,3
4,0.163679245283019,163.896294344671,4
12,0.182920400632578,897.368938166902,12
6,0.175874303091738,224.325419927744,6
9,0.175164058556285,608.23765120467,9
5,0.159466911764706,485.474417948617,5
6,0.166987487969201,4522.1469346651,6
3,0.139469453376206,200.860568520661,3
2,0.129236499068901,0.333333333333333,2
3,0.129525942515864,1026.33333333333,3
2,0.129236499068901,0.333333333333333,2
3,0.142505133470226,399.246985549374,3
19,0.187162891046386,927.087674525653,19
5,0.166907166907167,361.946645682409,5
46,0.199769717904433,5012.69547224729,46
37,0.200810185185185,4297.35917553501,37
18,0.189824945295405,2650.81672666027,18
6,0.17272274763564,66.0943995566259,6
13,0.176500508646999,867.611361476492,13
3,0.161545623836127,274.944947571364,3
1,0.132039573820396,0,1
4,0.159101329665291,61.0069658958551,4
33,0.185660781166399,2300.54757627947,33
22,0.180072651790348,1123.4183637374,22
15,0.183016877637131,734.925239792368,15
6,0.162681669010783,670.616479985977,6
4,0.165949306551889,29.5520115708151,4
11,0.177312212570261,581.88510532665,11
12,0.18054110301769,1045.71871355506,12
29,0.192243767313019,3424.76794918013,29
13,0.176142131979695,1645.4311187892,13
2,0.155955056179775,0,2
13,0.179606625258799,451.843892182338,13
13,0.168283220174588,744.478235157577,13
6,0.161170459823502,705.721685001719,6
47,0.195603156708005,2486.4875153163,47
35,0.189513926815948,1121.72664695826,35
41,0.191924778761062,1337.80169214539,41
47,0.195053400786959,2141.09494898501,47
7,0.172293942403178,75.211014777311,7
9,0.179885951270088,116.916256646662,9
2,0.158086560364465,3.51810114255207,2
4,0.166426858513189,120.817642070619,4
29,0.185066666666667,604.336535410674,29
42,0.195053400786959,1983.92570567477,42
44,0.196045197740113,2586.45997431656,44
2,0.155745062836625,344,2
6,0.172636815920398,155.042365093152,6
6,0.161620866325105,750.492092556897,6
4,0.171358024691358,62.4325182416162,4
2,0.149827288428325,222.275079140311,2
5,0.150086505190311,1134.50711544389,5
5,0.138689048760991,1098.93807079864,5
4,0.158086560364465,529.424512542123,4
23,0.186659494351802,1269.92651854705,23
6,0.171612265084075,133.988058275405,6
4,0.169103313840156,88.4759483138744,4
3,0.16563245823389,190.138410480275,3
6,0.176410777834265,166.593969615734,6
4,0.166586653864618,33.0281801014023,4
6,0.16943359375,555.209347410221,6
4,0.167390255668114,16.2352452757463,4
3,0.127386196769457,421.582265362507,3
3,0.146909398814564,1700,3
1,0.114069690992768,0,1
2,0.123972847445516,344,2
4,0.152728873239437,358.082652945051,4
3,0.170599803343166,71.9441842690062,3
4,0.150411790203728,717.666327163523,4
