ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_111	-2.03756	11.12903	2.3957276504033e-06	0.000438418160023804	Depleted	0.053	0.226	0.093	0.061	0.054	0.048	0.023	0.042	0.258	0.337	0.251	0.277	0.159	0.077
ASV_6	0.95496	14.91925	0.00010983395682759	0.0100498070497244	Enriched	2.741	1.468	2.782	2.005	2.347	2.456	3.763	3.095	1.531	1.584	1.37	1.576	1.337	1.408
ASV_72	1.20817	12.16925	0.000388995045115774	0.0237286977520622	Enriched	0.417	0.184	0.372	0.217	0.341	0.664	0.303	0.604	0.155	0.194	0.134	0.242	0.209	0.172
ASV_38	1.00684	13.09252	0.000941148806745755	0.0288918880598655	Enriched	0.774	0.394	0.8	0.486	0.465	0.84	0.863	1.191	0.396	0.43	0.296	0.45	0.434	0.361
ASV_146	-1.32418	11.03483	0.000979591979928067	0.0288918880598655	Depleted	0.072	0.188	0.112	0.017	0.101	0.08	0.03	0.092	0.112	0.219	0.215	0.268	0.159	0.155
ASV_147	1.19471	11.17488	0.00102664601497698	0.0288918880598655	Enriched	0.197	0.087	0.26	0.191	0.17	0.176	0.189	0.193	0.086	0.16	0.054	0.061	0.042	0.12
ASV_154	-3.56328	10.99539	0.00110515418808229	0.0288918880598655	Depleted	0.018	0.242	0.028	0.052	0.008	0.008	0.015	0	0.017	0.017	0.143	1.048	0.217	0.009
ASV_37	-0.93554	12.78596	0.001784338982806	0.0384906052921848	Depleted	0.317	0.633	0.428	0.278	0.325	0.184	0.379	0.31	0.378	0.615	0.887	0.554	0.635	0.73
ASV_151	-1.72716	10.51622	0.00199297307920201	0.0384906052921848	Depleted	0.039	0.134	0.121	0.017	0.023	0.048	0.023	0	0.077	0.143	0.179	0.199	0.067	0.137
ASV_168	5.76922	11.20604	0.00232901931427019	0.0384906052921848	Enriched	0.284	0.004	0.009	0.009	0	1.68	0	0.008	0	0.008	0	0.009	0.008	0
ASV_347	1.16958	10.90077	0.00250138903405948	0.0384906052921848	Enriched	0.158	0.072	0.149	0.104	0.155	0.088	0.151	0.302	0.06	0.093	0.081	0.043	0.067	0.086
ASV_969	1.70029	10.98882	0.00252397411752032	0.0384906052921848	Enriched	0.184	0.059	0.13	0.174	0.519	0.072	0.098	0.109	0.034	0.084	0.063	0.078	0.017	0.077
ASV_56	-1.13408	12.21641	0.00291391844305064	0.0410190057752514	Depleted	0.189	0.437	0.056	0.156	0.256	0.248	0.242	0.176	0.301	0.674	0.573	0.372	0.401	0.301
ASV_185	-1.2803	10.7091	0.0045514503043607	0.0594939575498578	Depleted	0.057	0.141	0.056	0.104	0.054	0.064	0.023	0.042	0.224	0.093	0.107	0.061	0.226	0.137
ASV_213	0.92289	10.82263	0.00533978495595336	0.0648987831343239	Enriched	0.141	0.076	0.13	0.174	0.077	0.192	0.136	0.134	0.077	0.051	0.081	0.095	0.075	0.077
ASV_82	0.83322	12.02252	0.00567421054726329	0.0648987831343239	Enriched	0.341	0.197	0.27	0.417	0.271	0.248	0.424	0.419	0.163	0.202	0.143	0.268	0.242	0.163
ASV_114	2.20214	10.68663	0.00618318897065466	0.066560210684106	Enriched	0.162	0.034	0.093	0.304	0.031	0.304	0.023	0.218	0	0.076	0.054	0	0.017	0.06
ASV_95	0.97109	11.62125	0.00741715932495975	0.0717600353319616	Enriched	0.259	0.137	0.214	0.182	0.356	0.256	0.326	0.218	0.077	0.118	0.081	0.165	0.201	0.18
ASV_2	0.76824	16.11415	0.00758723242799743	0.0717600353319616	Enriched	5.994	3.638	6.242	3.576	6.694	6.345	7.813	5.292	3.785	4.516	2.391	3.342	4.153	3.641
ASV_49	1.94749	12.24723	0.00784262681223624	0.0717600353319616	Enriched	0.491	0.134	0.53	0.321	1.728	0.024	0.114	0.226	0.12	0.152	0.224	0.069	0.159	0.077
ASV_41	0.84755	13.02868	0.00900172991088287	0.0763109837197536	Enriched	0.701	0.406	0.642	0.512	0.55	0.672	1.151	0.679	0.258	0.531	0.313	0.502	0.351	0.481
ASV_22	1.02135	13.37243	0.00917399804281191	0.0763109837197536	Enriched	0.929	0.479	0.558	0.477	1.402	1.344	1.12	0.671	0.344	0.784	0.349	0.658	0.359	0.378
ASV_43	-2.6156	12.54021	0.0100922826419482	0.0802994662381095	Depleted	0.103	0.672	0.009	0.095	0.008	0.12	0.371	0.017	2.58	0.135	0.063	0.13	0.752	0.369
ASV_161	0.98591	10.90296	0.0107980364958464	0.0823350282808291	Enriched	0.151	0.079	0.14	0.191	0.194	0.064	0.174	0.143	0.043	0.076	0.081	0.121	0.042	0.112
ASV_170	0.8683	10.86054	0.0115526688742147	0.0845655361592518	Enriched	0.142	0.08	0.093	0.148	0.108	0.192	0.174	0.134	0.086	0.076	0.072	0.113	0.092	0.043
ASV_58	0.68158	12.32061	0.0128334329586692	0.0903276242860181	Enriched	0.406	0.262	0.419	0.304	0.364	0.512	0.492	0.344	0.284	0.27	0.287	0.19	0.251	0.292
ASV_55	1.07081	12.3541	0.0136779693491568	0.0927062366998403	Enriched	0.464	0.225	0.437	0.894	0.302	0.248	0.469	0.436	0.301	0.076	0.242	0.095	0.359	0.275
ASV_179	1.70195	11.36812	0.0154184114618617	0.10077033205431	Enriched	0.248	0.079	0.047	0.069	0.17	0.992	0.144	0.067	0.043	0.067	0.063	0.113	0.1	0.086
ASV_456	-0.84669	12.06717	0.0166312936426533	0.104949197813985	Depleted	0.198	0.363	0.205	0.269	0.263	0.192	0.083	0.176	0.421	0.261	0.296	0.216	0.501	0.481
ASV_116	0.74818	11.39458	0.0175771308477797	0.107220498171456	Enriched	0.209	0.129	0.13	0.269	0.232	0.256	0.182	0.185	0.103	0.084	0.152	0.19	0.125	0.12
ASV_86	-1.17554	11.73477	0.0191099504824198	0.112810352847833	Depleted	0.136	0.307	0.223	0.286	0.031	0.104	0.03	0.143	0.31	0.32	0.376	0.182	0.468	0.189
ASV_35	-1.05247	12.96758	0.0208079517646636	0.11899547415417	Depleted	0.349	0.734	0.279	0.677	0.279	0.608	0.076	0.176	0.895	1.028	0.716	0.736	0.652	0.378
ASV_164	1.44266	10.99373	0.0217068948300339	0.120374598602915	Enriched	0.175	0.067	0.028	0.095	0.558	0.168	0.061	0.143	0.034	0.084	0.099	0.035	0.067	0.086
ASV_17	0.54637	13.9613	0.0258300377150681	0.139026379466396	Enriched	1.274	0.897	1.507	0.885	0.999	1.288	1.196	1.77	1.041	0.826	0.913	0.952	0.852	0.799
ASV_283	0.93023	11.01893	0.0302945543027458	0.153958206277112	Enriched	0.16	0.089	0.13	0.104	0.24	0.08	0.273	0.134	0.052	0.076	0.161	0.078	0.109	0.06
ASV_92	1.81376	11.22263	0.0310270132102202	0.153958206277112	Enriched	0.232	0.067	0.54	0.2	0.225	0.296	0.008	0.126	0.034	0.051	0	0.251	0.05	0.017
ASV_68	0.63203	12.7539	0.0315467455605272	0.153958206277112	Enriched	0.546	0.365	0.512	0.399	0.612	0.488	0.712	0.554	0.421	0.438	0.278	0.312	0.267	0.472
ASV_40	0.92291	11.62853	0.031969463598526	0.153958206277112	Enriched	0.267	0.143	0.381	0.373	0.132	0.184	0.114	0.419	0.181	0.076	0.206	0.113	0.067	0.215
ASV_30	-0.65238	13.22599	0.0330733891090521	0.155190518127091	Depleted	0.502	0.808	0.754	0.677	0.411	0.392	0.22	0.562	0.654	0.649	0.985	0.883	0.627	1.048
ASV_59	0.63312	12.28453	0.034971763598159	0.157916476384336	Enriched	0.389	0.26	0.251	0.312	0.356	0.424	0.568	0.419	0.249	0.244	0.188	0.277	0.292	0.309
ASV_144	-1.14206	10.79546	0.0353801941626108	0.157916476384336	Depleted	0.067	0.152	0.177	0.087	0.015	0.032	0.038	0.05	0.12	0.042	0.313	0.156	0.167	0.112
ASV_45	0.87595	12.85605	0.0377385949684368	0.164432449505332	Enriched	0.619	0.348	0.558	0.321	0.651	0.648	1.075	0.461	0.396	0.607	0.197	0.173	0.46	0.258
ASV_156	0.9126	9.897	0.0424583507118218	0.180694841401474	Enriched	0.065	0.035	0.093	0.087	0.046	0.056	0.03	0.075	0.034	0.025	0.072	0.017	0.025	0.034
ASV_115	-0.76422	11.23502	0.0444881967587222	0.185030454701049	Depleted	0.109	0.192	0.102	0.191	0.124	0.048	0.121	0.067	0.112	0.261	0.197	0.19	0.142	0.249
ASV_10	0.71669	14.42268	0.0511415479587639	0.20797562836564	NotSig	1.812	1.137	1.005	1.12	1.797	2.112	2.824	2.013	1.187	1.693	0.743	0.814	1.588	0.799
ASV_8	-0.61074	14.55153	0.0592794295561293	0.232915532675386	NotSig	1.288	2.025	1.758	1.693	1.666	1.184	0.583	0.847	1.978	2.317	1.782	3.083	1.412	1.58
ASV_94	-1.22257	11.69227	0.0598198362608914	0.232915532675386	NotSig	0.122	0.297	0.019	0.043	0.186	0.184	0.182	0.117	0.146	0.143	0.072	0.165	0.551	0.704
ASV_67	0.70307	12.3671	0.0615280533426531	0.234575703368865	NotSig	0.419	0.266	0.251	0.234	0.519	0.44	0.598	0.47	0.181	0.362	0.125	0.277	0.318	0.335
ASV_925	1.17929	11.0643	0.0645998126307084	0.24126052472285	NotSig	0.179	0.084	0.047	0.069	0.217	0.408	0.106	0.226	0.043	0.025	0.17	0.199	0.017	0.052
ASV_48	-0.53142	12.36143	0.0679946355682953	0.247522039383077	NotSig	0.283	0.416	0.354	0.321	0.201	0.376	0.129	0.319	0.335	0.447	0.367	0.45	0.393	0.507
ASV_174	-0.73316	10.62097	0.0689815519592181	0.247522039383077	NotSig	0.069	0.118	0.112	0.113	0.062	0.016	0.03	0.084	0.12	0.11	0.152	0.147	0.075	0.103
ASV_16	-0.6726	13.87338	0.073251994188374	0.255245263934717	NotSig	0.773	1.258	0.763	0.712	1.325	0.816	0.409	0.612	1.368	0.969	0.725	0.987	2.398	1.099
ASV_125	-0.68329	11.18744	0.0746610876580505	0.255245263934717	NotSig	0.108	0.18	0.13	0.087	0.209	0.096	0.053	0.075	0.146	0.27	0.134	0.173	0.167	0.189
ASV_1276	0.43018	13.17967	0.0762869762858271	0.255245263934717	NotSig	0.704	0.543	0.586	0.703	0.86	0.744	0.644	0.688	0.473	0.573	0.708	0.45	0.476	0.575
