OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
ASV_1460	-1.468	8.065	0.0856137862427933	0.331266979723535	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Unassigned	Unassigned	0.004	0.016	0	0.009	0	0.008	0.008	0	0.009	0.019	0.018	0.009	0	0.038
ASV_100	-0.782	11.042	0.0861400153170247	0.331657411828463	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.14	0.269	0.205	0.295	0.031	0.048	0.076	0.185	0.399	0.19	0.247	0.209	0.204	0.365
ASV_398	-0.928	9.477	0.0862017061580587	0.331657411828463	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoplanes	tepidicaeni	0.035	0.077	0.019	0.078	0.031	0.016	0.03	0.034	0.158	0.067	0.119	0.045	0.035	0.038
ASV_1413	-1.352	8.167	0.0871415562873556	0.334118738587649	NotSig	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	stalactiti	0.006	0.019	0.009	0.009	0	0	0.008	0.008	0.037	0.019	0.009	0	0.009	0.038
ASV_840	1.432	8.796	0.0874008668255561	0.334118738587649	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	halophila	0.034	0.015	0.009	0.009	0.132	0.04	0.015	0	0.028	0.01	0.018	0.018	0.009	0.01
ASV_731	1.287	9.001	0.0877643484407432	0.334118738587649	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unassigned	Unassigned	Unassigned	0.042	0.02	0.028	0.009	0.054	0.016	0.106	0.042	0.009	0.019	0.018	0.064	0.009	0
ASV_8	-0.729	14.174	0.0878226934026272	0.334118738587649	NotSig	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	polymachus	1.288	2.386	1.758	1.693	1.666	1.184	0.583	0.847	1.225	1.742	4.93	2.728	1.87	1.823
ASV_99	0.62	10.96	0.0887602689526894	0.336745087224409	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	pictum	0.203	0.158	0.158	0.174	0.194	0.248	0.182	0.26	0.214	0.133	0.119	0.091	0.168	0.221
ASV_913	0.876	9.453	0.0900582734334715	0.340720467823301	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	agri	0.063	0.04	0.056	0.043	0.054	0.08	0.053	0.092	0.065	0.01	0.082	0.018	0.018	0.048
ASV_109	0.7	11.078	0.0904572583561581	0.340941734584211	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	eurypsychrophila	0.224	0.163	0.214	0.156	0.263	0.192	0.273	0.243	0.084	0.076	0.164	0.182	0.177	0.297
ASV_1390	-1.648	7.954	0.0906174066956567	0.340941734584211	NotSig	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	gongjuensis	0.003	0.012	0	0.009	0.008	0	0	0	0.009	0.01	0.009	0.036	0.009	0
ASV_199	0.796	9.682	0.0921623704287423	0.345674467918582	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Novimethylophilus	kurashikiensis	0.075	0.05	0.074	0.052	0.085	0.048	0.114	0.075	0.037	0.038	0.064	0.036	0.097	0.029
ASV_843	0.705	10.624	0.0926321481106938	0.345674467918582	NotSig	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.162	0.113	0.186	0.174	0.201	0.144	0.068	0.201	0.102	0.095	0.192	0.1	0.133	0.058
ASV_648	-1.175	8.561	0.0926366966154791	0.345674467918582	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geomonas	bemidjiensis	0.011	0.031	0.037	0	0.015	0.016	0	0	0.028	0.019	0.009	0.045	0.044	0.038
ASV_1222	-1.448	8.209	0.0934696666689735	0.347829743177983	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	konarekensis	0.006	0.02	0.028	0	0.008	0	0	0	0.037	0.019	0	0.018	0.009	0.038
ASV_1212	-1.937	8.033	0.0959611655622673	0.356128358299205	NotSig	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	glycyrrhizae	0.003	0.016	0.019	0	0	0	0	0	0	0	0.037	0.018	0	0.038
ASV_148	0.916	10.173	0.0964054943032195	0.356805117502676	NotSig	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter	caeni	0.114	0.072	0.028	0.113	0.07	0.2	0.242	0.034	0.056	0.095	0.037	0.109	0.071	0.067
ASV_118	0.648	10.979	0.0968714874904092	0.357558173338584	NotSig	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geomonas	bemidjiensis	0.204	0.155	0.214	0.156	0.225	0.192	0.318	0.117	0.149	0.143	0.119	0.145	0.213	0.163
ASV_1259	-1.228	8.983	0.10009632117152	0.368462674150299	NotSig	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	tropica	0.018	0.052	0.028	0.009	0	0.048	0.008	0.017	0.139	0.057	0.009	0.009	0.08	0.019
ASV_1083	-1.129	8.524	0.100994450671491	0.370766689527145	NotSig	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora	sichuanensis	0.011	0.029	0	0.026	0	0.032	0	0.008	0.028	0.057	0.018	0.018	0.027	0.029
ASV_586	-1.092	9.11	0.101601115070977	0.371912058604443	NotSig	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	massiliensis	0.023	0.057	0.065	0.009	0	0.024	0	0.042	0.13	0.038	0.046	0.036	0.062	0.029
ASV_652	0.957	8.809	0.10185256817875	0.371912058604443	NotSig	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Baekduiaceae	Baekduia	soli	0.034	0.02	0.009	0.069	0.015	0.048	0.03	0.034	0.019	0.019	0.009	0.018	0.018	0.038
ASV_193	-1.002	9.791	0.10269412350281	0.373507141504897	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	psychroterrae	0.042	0.106	0.047	0	0.054	0.112	0.015	0.025	0.167	0.076	0.1	0.055	0.027	0.211
ASV_254	0.677	9.684	0.102837869357075	0.373507141504897	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	humi	0.075	0.054	0.093	0.069	0.039	0.072	0.083	0.092	0.056	0.038	0.037	0.064	0.053	0.077
ASV_93	-1.1	11.5	0.103547395265029	0.375083915827048	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	turukhanskensis	0.151	0.401	0.112	0.043	0.093	0.088	0.477	0.092	0.195	1.199	0.046	0.236	0.594	0.134
ASV_1506	-0.976	8.931	0.104175984068294	0.376359921222856	NotSig	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Unassigned	Unassigned	0.019	0.047	0.028	0.017	0.008	0.04	0.015	0.008	0.074	0.067	0.009	0.018	0.044	0.067
