Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidobacterium	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned|Unassigned	5	6	2	3	8	4	4	10	3	3	1	7	1	3	49	1	0	4
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter	2	7	1	1	1	2	26	9	10	6	22	28	15	5	15	10	4	6
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Acidiferrimicrobium	1	5	2	7	7	5	11	4	3	10	4	4	3	10	8	10	9	3
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola	46	57	65	39	40	53	89	84	60	57	76	78	66	62	81	51	58	52
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas	16	16	13	12	12	12	37	11	14	18	25	32	16	17	13	16	12	13
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned|Unassigned	0	2	1	0	0	0	3	1	3	2	3	2	0	5	2	0	2	4
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae|Cryptosporangium	9	22	8	4	2	9	6	10	5	15	7	10	14	6	5	14	12	6
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia	3	8	4	4	2	3	7	9	4	5	7	6	5	3	6	8	3	2
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Blastococcus	5	25	12	9	3	9	14	21	9	9	9	32	7	3	10	14	17	6
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Geodermatophilus	3	4	0	0	1	4	5	7	4	1	3	6	1	2	5	7	5	3
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Glycomyces	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae|Thalassiella	5	2	3	3	0	3	5	5	1	2	0	3	2	1	5	1	4	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonas	7	1	0	3	0	5	14	4	5	4	7	3	1	2	9	2	6	13
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae|Yimella	5	13	3	6	6	1	9	1	5	5	6	8	5	6	2	4	5	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Intrasporangium	2	9	7	2	2	2	0	2	2	1	0	3	1	2	2	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Oryzihumus	39	101	45	92	17	30	82	60	63	84	71	51	137	135	100	94	109	68
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces	70	144	101	105	67	64	88	113	83	92	97	86	84	70	109	98	81	114
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Cryobacterium	1	0	0	0	0	3	5	5	7	1	20	0	2	0	2	3	2	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Curtobacterium	22	31	34	24	11	21	17	23	36	23	24	15	49	31	33	25	60	56
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium	26	3	4	10	4	6	12	2	3	9	7	18	4	4	9	8	10	11
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Unassigned	1	4	8	3	6	6	3	3	4	3	5	4	3	3	6	9	4	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Arthrobacter	4	10	9	4	3	1	9	15	8	9	15	5	5	7	10	11	10	8
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Pseudarthrobacter	9	7	4	4	2	10	5	23	10	11	16	18	11	3	7	17	5	13
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Cellulosimicrobium	7	0	0	0	0	0	1	2	0	1	0	8	10	0	2	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Isoptericola	3	2	0	0	1	3	0	1	1	0	3	0	1	6	6	3	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Promicromonospora	23	40	15	29	11	52	30	18	17	15	57	33	15	24	21	20	15	20
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes	304	510	352	358	190	400	318	428	562	372	455	325	409	337	361	373	453	418
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Catellatospora	61	76	30	53	45	15	56	70	43	28	55	32	42	32	47	34	33	59
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Dactylosporangium	16	43	21	16	5	20	33	29	17	25	20	22	27	21	30	25	24	57
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Hamadaea	6	14	6	7	3	9	4	21	10	5	6	13	10	20	24	6	9	13
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Mangrovihabitans	4	3	0	0	0	6	4	2	0	1	0	6	2	0	2	3	8	0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora	69	89	106	37	36	39	63	84	92	62	56	82	58	55	70	56	43	51
