"","Row.names","AA","Group","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"1","sample1","Group1","Group1",7.68634416892798,655.781588401073,0.858114001774255,0.0844643982999836,7764,8251.41928251121,8212.49945541457
"2","sample10","Group2","Group2",7.54375576512679,437.338975812065,0.851678561804257,0.0622369397768699,7027,7445.83649635036,7367.46207975331
"3","sample11","Group2","Group2",7.46024160054802,478.689068466942,0.844962514851939,0.0700862472133151,6830,7271.21398002853,7197.17293169546
"4","sample12","Group2","Group2",7.69242845356594,457.041240553264,0.846685447864483,0.0517893757000865,8825,9595.42363112392,9479.73136137433
"5","sample13","Group3","Group3",7.93911420884351,915.347549734479,0.861196226645056,0.0907722679228955,10084,11050.2972399151,11020.0041554785
"6","sample14","Group3","Group3",7.94493712987867,845.510834440154,0.858997538979902,0.0813382236113664,10395,11449.7967914439,11426.6742018265
"7","sample15","Group3","Group3",7.90075501160191,876.181363059916,0.858515301733969,0.0882802380916792,9925,11058.6851441242,10980.5158040153
"8","sample16","Group3","Group3",7.87456475467326,809.413139434368,0.855174498772968,0.0811197774538352,9978,11030.3442379182,10939.6806692297
"9","sample17","Group3","Group3",7.94637822436067,885.464992651178,0.857509083395791,0.0836844336689517,10581,11831.3688261706,11819.1419654045
"10","sample18","Group3","Group3",7.92890345494682,858.270344630262,0.856571669839383,0.0819507633562745,10473,11675.2083333333,11609.1721641464
"11","sample2","Group1","Group1",7.58995617234571,739.613897707482,0.880900521111001,0.133988024947008,5520,5784.03797468354,5678.18749310715
"12","sample3","Group1","Group1",7.68279146003206,699.798044801183,0.882690006956548,0.116129778427013,6026,6221.56896551724,6176.46988998556
"13","sample4","Group1","Group1",7.90487218610475,912.188043087921,0.870623968831047,0.103964901195341,8774,9460.90529531568,9358.6853528834
"14","sample5","Group1","Group1",7.96030849215903,892.2348758677,0.862958408729998,0.0879742531914513,10142,11187.0486725664,11098.4714877801
"15","sample6","Group1","Group1",7.59376049992729,588.925932464598,0.872427814666875,0.0976983962283674,6028,6273.24822695035,6209.88761250876
"16","sample7","Group2","Group2",7.25119024549198,381.480120464414,0.859909250693991,0.0830387724128023,4594,4765.02272727273,4719.42998409469
"17","sample8","Group2","Group2",7.41037398314021,184.222423821967,0.82590179586423,0.0233695831310373,7883,8420.97269624573,8344.58339550588
"18","sample9","Group2","Group2",6.86656224389198,81.4950768933001,0.801252508652215,0.0154639614598292,5270,5577.91028446389,5513.68690167912
