"","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE","Shannon"
"Group1","a","a","a","b","b","b","a"
"Group2","b","c","c","b","b","b","b"
"Group3","a","b","b","a","a","a","a"
