,x
533,nosig
534,nosig
535,nosig
536,nosig
537,nosig
538,nosig
539,nosig
540,nosig
541,nosig
542,nosig
543,nosig
544,depleted
545,nosig
546,nosig
547,nosig
548,nosig
549,nosig
550,nosig
551,nosig
552,nosig
553,nosig
554,nosig
555,nosig
556,nosig
557,nosig
558,nosig
559,nosig
560,nosig
561,nosig
562,nosig
563,nosig
564,nosig
565,nosig
566,nosig
567,nosig
568,nosig
569,nosig
570,nosig
571,nosig
572,nosig
573,nosig
574,nosig
575,nosig
576,nosig
577,nosig
578,nosig
579,nosig
580,nosig
581,nosig
582,nosig
583,nosig
584,nosig
585,nosig
586,nosig
587,nosig
588,nosig
589,nosig
590,enriched
591,nosig
592,nosig
593,nosig
594,nosig
595,nosig
596,nosig
597,nosig
598,nosig
599,nosig
600,nosig
601,nosig
602,nosig
603,enriched
604,nosig
605,nosig
606,nosig
607,nosig
608,nosig
609,nosig
610,nosig
611,nosig
612,nosig
613,nosig
614,nosig
615,nosig
616,enriched
617,nosig
618,nosig
619,nosig
620,nosig
621,nosig
622,nosig
623,nosig
624,nosig
625,nosig
626,nosig
627,nosig
628,nosig
629,nosig
630,nosig
631,enriched
632,nosig
633,nosig
634,nosig
635,nosig
636,nosig
637,nosig
638,nosig
639,nosig
640,nosig
641,nosig
642,nosig
643,nosig
644,nosig
645,nosig
646,nosig
647,nosig
648,nosig
649,nosig
650,enriched
651,nosig
652,nosig
653,nosig
654,nosig
655,nosig
656,nosig
657,enriched
658,nosig
659,nosig
660,enriched
661,nosig
662,nosig
663,enriched
664,nosig
665,nosig
666,nosig
667,nosig
668,nosig
669,nosig
670,nosig
671,nosig
672,nosig
673,nosig
674,nosig
675,nosig
676,nosig
677,nosig
678,nosig
679,nosig
680,nosig
681,nosig
682,nosig
683,nosig
684,nosig
685,nosig
686,nosig
687,nosig
688,nosig
689,nosig
690,nosig
691,nosig
692,nosig
693,nosig
694,nosig
695,nosig
696,nosig
697,nosig
698,nosig
699,nosig
700,nosig
701,nosig
702,nosig
703,nosig
704,nosig
705,nosig
706,nosig
707,enriched
708,nosig
709,nosig
710,nosig
711,nosig
712,nosig
713,nosig
714,nosig
715,nosig
716,nosig
717,nosig
718,nosig
719,nosig
720,nosig
721,nosig
722,nosig
723,nosig
724,nosig
725,nosig
726,nosig
727,nosig
728,nosig
729,nosig
730,nosig
731,nosig
732,nosig
733,nosig
734,nosig
735,nosig
736,nosig
737,nosig
738,nosig
739,nosig
740,nosig
741,nosig
742,nosig
743,nosig
744,nosig
745,nosig
746,nosig
747,enriched
748,nosig
749,nosig
750,nosig
751,enriched
752,nosig
753,nosig
754,nosig
755,nosig
756,nosig
757,nosig
758,nosig
759,nosig
760,nosig
761,nosig
762,nosig
763,nosig
764,nosig
765,nosig
766,nosig
767,nosig
768,nosig
769,nosig
770,nosig
771,nosig
772,nosig
773,nosig
774,nosig
775,nosig
776,nosig
777,nosig
778,nosig
779,nosig
780,nosig
781,nosig
782,nosig
783,enriched
784,nosig
785,enriched
786,nosig
787,nosig
788,nosig
789,nosig
790,nosig
791,nosig
792,nosig
793,nosig
794,nosig
795,nosig
796,nosig
797,nosig
798,nosig
799,nosig
800,nosig
801,nosig
802,nosig
803,enriched
804,nosig
805,nosig
806,nosig
807,nosig
808,nosig
809,nosig
810,nosig
811,nosig
812,nosig
813,nosig
814,nosig
815,nosig
816,nosig
817,nosig
818,nosig
819,nosig
820,nosig
821,nosig
822,nosig
823,nosig
824,nosig
825,nosig
826,nosig
827,nosig
828,nosig
829,nosig
830,nosig
831,nosig
832,nosig
833,nosig
834,nosig
835,nosig
836,nosig
837,nosig
838,nosig
839,nosig
840,nosig
841,nosig
842,nosig
843,nosig
844,nosig
845,enriched
846,nosig
847,nosig
848,enriched
849,nosig
850,nosig
851,nosig
852,nosig
853,nosig
854,nosig
855,nosig
856,nosig
857,nosig
858,nosig
859,enriched
860,nosig
861,nosig
862,nosig
863,nosig
864,nosig
865,nosig
866,enriched
867,nosig
868,nosig
869,nosig
870,nosig
871,nosig
872,nosig
873,nosig
874,nosig
875,nosig
876,nosig
877,nosig
878,nosig
879,enriched
880,nosig
881,nosig
882,nosig
883,nosig
884,nosig
885,nosig
886,nosig
887,enriched
888,nosig
889,nosig
890,nosig
891,nosig
892,nosig
893,nosig
894,nosig
895,nosig
896,nosig
897,nosig
898,nosig
899,nosig
900,nosig
901,nosig
902,depleted
903,enriched
904,nosig
905,nosig
906,nosig
907,nosig
908,nosig
909,nosig
910,nosig
911,nosig
912,nosig
913,nosig
914,nosig
915,nosig
916,nosig
917,nosig
918,nosig
919,nosig
920,enriched
921,nosig
922,nosig
923,nosig
924,nosig
925,nosig
926,nosig
927,nosig
928,nosig
929,nosig
930,nosig
931,nosig
932,nosig
933,nosig
934,nosig
935,nosig
936,nosig
937,nosig
938,nosig
939,nosig
940,nosig
941,nosig
942,nosig
943,nosig
944,nosig
945,nosig
946,nosig
947,nosig
948,nosig
949,nosig
950,nosig
951,nosig
952,enriched
953,depleted
954,nosig
955,nosig
956,nosig
957,enriched
958,nosig
959,nosig
960,enriched
961,nosig
962,nosig
963,nosig
964,nosig
965,nosig
966,nosig
967,nosig
968,nosig
969,nosig
970,nosig
971,nosig
972,enriched
973,nosig
974,nosig
975,nosig
976,nosig
977,nosig
978,nosig
979,nosig
980,nosig
981,nosig
982,nosig
983,nosig
984,nosig
985,nosig
986,nosig
987,nosig
988,nosig
989,nosig
990,nosig
991,nosig
992,nosig
993,nosig
994,nosig
995,nosig
996,nosig
997,nosig
998,nosig
999,nosig
1000,nosig
1001,nosig
1002,nosig
1003,nosig
1004,nosig
1005,nosig
1006,nosig
1007,nosig
1008,nosig
1009,nosig
1010,nosig
1011,nosig
1012,nosig
1013,nosig
1014,nosig
1015,nosig
1016,nosig
1017,nosig
1018,nosig
1019,nosig
1020,nosig
1021,nosig
1022,nosig
1023,nosig
1024,nosig
1025,nosig
1026,depleted
1027,nosig
1028,nosig
1029,nosig
1030,nosig
1031,nosig
1032,nosig
1033,nosig
1034,nosig
1035,nosig
1036,nosig
1037,nosig
1038,nosig
1039,nosig
1040,nosig
1041,nosig
1042,nosig
1043,nosig
