"",Pvalues,FDR
ASV_1684,0.014036,0.27756
ASV_191,0.014072,0.27756
ASV_318,0.014283,0.27792
ASV_658,0.014462,0.27792
ASV_1767,0.014665,0.27827
ASV_765,0.015514,0.28667
ASV_1402,0.015826,0.28667
ASV_821,0.015862,0.28667
ASV_1079,0.015873,0.28667
ASV_359,0.017343,0.30948
ASV_320,0.017679,0.31178
ASV_1436,0.018381,0.32038
ASV_1371,0.018633,0.32105
ASV_1597,0.019286,0.32851
ASV_2863,0.019722,0.33002
ASV_856,0.020471,0.33002
ASV_1301,0.020601,0.33002
ASV_1541,0.020816,0.33002
ASV_985,0.021064,0.33002
ASV_1293,0.021072,0.33002
ASV_1235,0.021212,0.33002
ASV_759,0.021279,0.33002
ASV_2001,0.021564,0.33002
ASV_1119,0.021576,0.33002
ASV_448,0.0219,0.33018
ASV_591,0.022297,0.33018
ASV_311,0.022611,0.33018
ASV_257,0.022655,0.33018
ASV_977,0.02279,0.33018
ASV_623,0.023065,0.33018
ASV_851,0.023128,0.33018
ASV_1447,0.023525,0.33157
ASV_2320,0.023817,0.33157
ASV_1113,0.024079,0.33157
ASV_1529,0.02411,0.33157
ASV_2266,0.024639,0.33576
ASV_79,0.025183,0.33724
ASV_115,0.025197,0.33724
ASV_1504,0.026133,0.33788
ASV_225,0.026196,0.33788
ASV_1095,0.026851,0.33788
ASV_2902,0.027175,0.33788
ASV_968,0.027192,0.33788
ASV_1537,0.027198,0.33788
ASV_17,0.027203,0.33788
ASV_432,0.027422,0.33788
ASV_612,0.028124,0.33788
ASV_1726,0.028248,0.33788
ASV_677,0.028337,0.33788
ASV_469,0.028339,0.33788
ASV_2711,0.028375,0.33788
ASV_1032,0.028425,0.33788
ASV_110,0.028626,0.33788
ASV_1042,0.029213,0.34034
ASV_296,0.02958,0.34034
ASV_443,0.029717,0.34034
ASV_615,0.030047,0.34034
ASV_2327,0.030066,0.34034
ASV_630,0.030356,0.34034
ASV_860,0.030424,0.34034
ASV_137,0.031747,0.35074
ASV_2251,0.032097,0.35074
ASV_2517,0.032331,0.35074
ASV_1342,0.032513,0.35074
ASV_217,0.03271,0.35074
ASV_1409,0.033118,0.35074
ASV_878,0.033604,0.35074
ASV_2623,0.033612,0.35074
ASV_2167,0.03375,0.35074
ASV_802,0.033934,0.35074
ASV_433,0.034106,0.35074
ASV_547,0.034161,0.35074
ASV_553,0.034421,0.351
ASV_618,0.034678,0.35124
ASV_966,0.035095,0.35307
ASV_1241,0.035415,0.35391
ASV_652,0.03628,0.36015
ASV_501,0.038151,0.37564
ASV_1586,0.038455,0.37564
ASV_1332,0.038794,0.37564
ASV_950,0.038842,0.37564
ASV_1036,0.039465,0.37922
ASV_1008,0.039899,0.38005
ASV_807,0.040058,0.38005
ASV_185,0.040597,0.38274
ASV_148,0.040957,0.38333
ASV_768,0.041807,0.38333
ASV_108,0.041838,0.38333
ASV_822,0.041897,0.38333
ASV_1211,0.041938,0.38333
ASV_60,0.042382,0.38359
ASV_1084,0.042712,0.38359
ASV_1044,0.042945,0.38359
ASV_951,0.042991,0.38359
ASV_3,0.043475,0.38412
ASV_1717,0.043581,0.38412
ASV_1910,0.043819,0.38412
ASV_485,0.044874,0.39108
ASV_643,0.045527,0.39314
ASV_549,0.045852,0.39314
ASV_336,0.045897,0.39314
ASV_1318,0.046342,0.3947
ASV_202,0.04839,0.40611
ASV_2148,0.048711,0.40611
ASV_753,0.049127,0.40611
ASV_399,0.049191,0.40611
ASV_1099,0.049337,0.40611
ASV_752,0.049621,0.40611
ASV_54,0.049749,0.40611
ASV_405,0.050042,0.40611
ASV_367,0.05012,0.40611
ASV_2201,0.050528,0.40721
ASV_1120,0.050912,0.40811
ASV_1248,0.051371,0.40816
ASV_1850,0.051999,0.40816
ASV_853,0.052249,0.40816
ASV_172,0.052456,0.40816
ASV_198,0.052501,0.40816
ASV_1663,0.052552,0.40816
ASV_158,0.053028,0.40973
ASV_982,0.053505,0.4113
ASV_1271,0.053997,0.41297
ASV_306,0.054614,0.41517
ASV_1194,0.054911,0.41517
ASV_811,0.055116,0.41517
ASV_376,0.055872,0.41772
ASV_12,0.056012,0.41772
ASV_1126,0.056703,0.41893
ASV_1310,0.056733,0.41893
ASV_63,0.057842,0.42446
ASV_960,0.058254,0.42446
ASV_156,0.058611,0.42446
ASV_1218,0.058816,0.42446
ASV_457,0.059192,0.42446
ASV_620,0.059402,0.42446
ASV_162,0.059464,0.42446
ASV_678,0.059819,0.42497
ASV_1630,0.06044,0.42548
ASV_806,0.060458,0.42548
ASV_770,0.060917,0.4267
ASV_2295,0.061314,0.42737
ASV_130,0.061865,0.42737
ASV_1467,0.061867,0.42737
ASV_1412,0.062582,0.43032
ASV_343,0.063174,0.43241
ASV_675,0.063543,0.43243
ASV_1723,0.063754,0.43243
ASV_107,0.065774,0.4423
ASV_344,0.0658,0.4423
ASV_665,0.066516,0.44318
ASV_106,0.066522,0.44318
ASV_926,0.067515,0.44498
ASV_959,0.067561,0.44498
ASV_637,0.067681,0.44498
ASV_572,0.068054,0.44543
ASV_1238,0.068583,0.44543
ASV_989,0.068724,0.44543
ASV_238,0.069554,0.44543
ASV_826,0.069802,0.44543
ASV_1025,0.070088,0.44543
ASV_686,0.070489,0.44543
ASV_970,0.070586,0.44543
ASV_956,0.070663,0.44543
ASV_2567,0.070995,0.44543
ASV_823,0.071019,0.44543
ASV_237,0.071562,0.44697
ASV_262,0.071961,0.44759
ASV_633,0.07246,0.4477
ASV_712,0.072575,0.4477
ASV_1155,0.074386,0.45309
ASV_785,0.074393,0.45309
ASV_88,0.074413,0.45309
ASV_331,0.07502,0.45309
ASV_1792,0.075202,0.45309
ASV_421,0.07548,0.45309
ASV_664,0.076461,0.45309
ASV_426,0.076588,0.45309
ASV_2102,0.07692,0.45309
ASV_49,0.077394,0.45309
ASV_329,0.077562,0.45309
ASV_465,0.0776,0.45309
ASV_548,0.077755,0.45309
ASV_1557,0.078537,0.45309
ASV_901,0.078855,0.45309
ASV_1745,0.078996,0.45309
ASV_1175,0.079189,0.45309
ASV_1446,0.079532,0.45309
ASV_746,0.079744,0.45309
ASV_1690,0.080147,0.45309
ASV_870,0.080166,0.45309
ASV_1205,0.080202,0.45309
ASV_1262,0.080402,0.45309
ASV_93,0.080709,0.45312
ASV_2144,0.081556,0.45617
ASV_1317,0.082133,0.45768
ASV_215,0.083311,0.46253
ASV_1660,0.084211,0.4642
ASV_375,0.084231,0.4642
ASV_2538,0.084787,0.46551
ASV_561,0.08509,0.46551
ASV_795,0.08688,0.47248
ASV_466,0.087059,0.47248
ASV_1093,0.087382,0.47248
ASV_519,0.087624,0.47248
ASV_315,0.088115,0.47342
ASV_1825,0.089889,0.48123
ASV_775,0.090751,0.48412
ASV_1005,0.091874,0.48836
ASV_1414,0.092802,0.48946
ASV_1354,0.092982,0.48946
ASV_1197,0.093091,0.48946
ASV_351,0.093387,0.48946
ASV_207,0.094401,0.49114
ASV_338,0.095184,0.49114
ASV_691,0.095444,0.49114
ASV_292,0.095643,0.49114
ASV_1486,0.095773,0.49114
ASV_523,0.09581,0.49114
ASV_761,0.096,0.49114
ASV_397,0.096572,0.49212
ASV_1220,0.097,0.49212
ASV_1685,0.097547,0.49212
ASV_282,0.097586,0.49212
ASV_724,0.097885,0.49212
ASV_1370,0.098478,0.49212
ASV_1195,0.098491,0.49212
ASV_991,0.09981,0.49706
ASV_1971,0.10057,0.49893
ASV_2688,0.10085,0.49893
ASV_1297,0.10187,0.5004
ASV_1379,0.10203,0.5004
ASV_2253,0.10215,0.5004
ASV_1531,0.10314,0.50205
ASV_650,0.10316,0.50205
ASV_1561,0.10419,0.50341
ASV_1010,0.10424,0.50341
ASV_2675,0.10444,0.50341
ASV_2613,0.10481,0.50358
ASV_1346,0.10556,0.50552
ASV_716,0.10746,0.51077
ASV_1347,0.10757,0.51077
ASV_631,0.10767,0.51077
ASV_2536,0.10956,0.51685
ASV_581,0.10965,0.51685
ASV_493,0.11032,0.51759
ASV_299,0.11075,0.51759
ASV_1905,0.11123,0.51759
ASV_1292,0.11182,0.51759
ASV_1022,0.11228,0.51759
ASV_687,0.11253,0.51759
ASV_1496,0.1128,0.51759
ASV_1275,0.11332,0.51759
ASV_293,0.11339,0.51759
ASV_230,0.11345,0.51759
ASV_1777,0.1136,0.51759
ASV_1286,0.11493,0.52208
ASV_1325,0.11548,0.52298
ASV_1196,0.11727,0.52789
ASV_1461,0.11747,0.52789
ASV_2177,0.11762,0.52789
ASV_1411,0.11854,0.52792
ASV_391,0.11857,0.52792
ASV_1136,0.11875,0.52792
ASV_334,0.11904,0.52792
ASV_961,0.11946,0.52822
ASV_899,0.12012,0.5296
ASV_1305,0.1208,0.53103
ASV_149,0.12218,0.53138
ASV_1123,0.12225,0.53138
ASV_813,0.12253,0.53138
ASV_317,0.12256,0.53138
ASV_425,0.12296,0.53138
ASV_309,0.12301,0.53138
ASV_2157,0.12485,0.53777
ASV_1632,0.12569,0.53986
ASV_1230,0.1266,0.54088
ASV_710,0.12665,0.54088
ASV_1200,0.12731,0.54095
ASV_909,0.12739,0.54095
ASV_410,0.12818,0.54107
ASV_516,0.12818,0.54107
ASV_766,0.1285,0.54107
ASV_123,0.12932,0.54163
ASV_1847,0.12936,0.54163
ASV_832,0.13115,0.54725
ASV_449,0.13152,0.54725
ASV_914,0.13179,0.54725
ASV_892,0.1327,0.5491
ASV_1518,0.13297,0.5491
ASV_2542,0.13351,0.54983
ASV_495,0.13389,0.54988
ASV_174,0.13567,0.55566
ASV_2598,0.13684,0.55894
ASV_2543,0.13775,0.56023
ASV_312,0.13791,0.56023
ASV_260,0.13844,0.56086
ASV_245,0.13992,0.56533
ASV_349,0.14042,0.56535
ASV_1201,0.14108,0.56535
ASV_555,0.14149,0.56535
ASV_1640,0.14231,0.56535
ASV_1135,0.14244,0.56535
ASV_911,0.14272,0.56535
ASV_1560,0.14303,0.56535
ASV_147,0.14356,0.56535
ASV_13,0.14394,0.56535
ASV_310,0.14407,0.56535
ASV_1003,0.14445,0.56535
ASV_1129,0.14464,0.56535
ASV_70,0.14483,0.56535
ASV_852,0.14551,0.56617
ASV_305,0.14579,0.56617
ASV_708,0.14671,0.56812
ASV_603,0.14705,0.56812
ASV_507,0.14848,0.56958
ASV_772,0.14859,0.56958
ASV_865,0.14872,0.56958
ASV_85,0.14895,0.56958
ASV_39,0.15089,0.57359
ASV_379,0.15111,0.57359
ASV_975,0.15147,0.57359
ASV_1841,0.15153,0.57359
ASV_1506,0.15285,0.57713
