"",Pvalues,FDR
ASV_783,0.44041,0.78871
ASV_2910,0.4414,0.78871
ASV_190,0.4415,0.78871
ASV_844,0.4418,0.78871
ASV_2222,0.44188,0.78871
ASV_2014,0.44197,0.78871
ASV_1780,0.44263,0.78894
ASV_360,0.44335,0.78928
ASV_142,0.44515,0.7913
ASV_1477,0.44553,0.7913
ASV_1842,0.44682,0.79264
ASV_352,0.44996,0.79472
ASV_1592,0.45073,0.79472
ASV_2852,0.45121,0.79472
ASV_1687,0.45224,0.79472
ASV_1453,0.45244,0.79472
ASV_554,0.45251,0.79472
ASV_96,0.45265,0.79472
ASV_15,0.45295,0.79472
ASV_236,0.45314,0.79472
ASV_762,0.45366,0.79472
ASV_323,0.45382,0.79472
ASV_577,0.45495,0.79524
ASV_1385,0.45518,0.79524
ASV_1132,0.45618,0.79606
ASV_923,0.4573,0.79695
ASV_1788,0.45816,0.79695
ASV_1188,0.45829,0.79695
ASV_1183,0.45949,0.79763
ASV_145,0.45974,0.79763
ASV_502,0.4609,0.79809
ASV_1278,0.4614,0.79809
ASV_234,0.46213,0.79809
ASV_875,0.46251,0.79809
ASV_1820,0.46267,0.79809
ASV_1105,0.4642,0.79859
ASV_1773,0.46448,0.79859
ASV_103,0.46455,0.79859
ASV_220,0.46521,0.7988
ASV_707,0.46611,0.79942
ASV_1000,0.46841,0.80102
ASV_2411,0.4686,0.80102
ASV_1394,0.46864,0.80102
ASV_18,0.47131,0.80467
ASV_42,0.47243,0.80566
ASV_408,0.47309,0.80587
ASV_2561,0.47479,0.80738
ASV_427,0.47505,0.80738
ASV_505,0.47745,0.81005
ASV_1247,0.47771,0.81005
ASV_511,0.47837,0.81026
ASV_140,0.4795,0.81035
ASV_216,0.47951,0.81035
ASV_2454,0.48026,0.81072
ASV_693,0.48085,0.81079
ASV_818,0.48302,0.81353
ASV_903,0.48574,0.81532
ASV_1141,0.48639,0.81532
ASV_119,0.48736,0.81532
ASV_550,0.48747,0.81532
ASV_1053,0.48763,0.81532
ASV_1140,0.48818,0.81532
ASV_1198,0.48833,0.81532
ASV_1224,0.48846,0.81532
ASV_481,0.49033,0.81532
ASV_1261,0.49037,0.81532
ASV_75,0.49087,0.81532
ASV_979,0.49099,0.81532
ASV_847,0.49115,0.81532
ASV_1219,0.49202,0.81587
ASV_1633,0.49445,0.81865
ASV_994,0.49502,0.81865
ASV_387,0.49534,0.81865
ASV_2621,0.49762,0.81911
ASV_984,0.49774,0.81911
ASV_1274,0.49776,0.81911
ASV_628,0.49813,0.81911
ASV_281,0.49859,0.81911
ASV_625,0.4989,0.81911
ASV_1146,0.50053,0.8209
ASV_1073,0.50135,0.82134
ASV_1302,0.5038,0.82398
ASV_66,0.50442,0.82398
ASV_1055,0.50554,0.82398
ASV_972,0.50571,0.82398
ASV_231,0.50608,0.82398
ASV_300,0.50632,0.82398
ASV_1263,0.50695,0.82398
ASV_267,0.5079,0.82398
ASV_105,0.50837,0.82398
ASV_1078,0.50846,0.82398
ASV_635,0.5105,0.82441
ASV_839,0.51104,0.82441
ASV_777,0.51117,0.82441
ASV_1193,0.51155,0.82441
ASV_515,0.51197,0.82441
ASV_184,0.51202,0.82441
ASV_799,0.51298,0.82506
ASV_1480,0.5142,0.82614
ASV_697,0.51518,0.8267
ASV_59,0.51566,0.8267
ASV_411,0.51674,0.82671
ASV_1621,0.51679,0.82671
ASV_825,0.51778,0.82671
ASV_94,0.51786,0.82671
ASV_46,0.51909,0.82764
ASV_1990,0.52071,0.82764
ASV_1552,0.52133,0.82764
ASV_564,0.52156,0.82764
ASV_919,0.52178,0.82764
ASV_127,0.52205,0.82764
ASV_2406,0.52315,0.82764
ASV_1151,0.52355,0.82764
ASV_655,0.52381,0.82764
ASV_1217,0.52397,0.82764
ASV_2061,0.52478,0.82805
ASV_1549,0.52768,0.82816
ASV_728,0.52908,0.82816
ASV_1622,0.52921,0.82816
ASV_641,0.52941,0.82816
ASV_1674,0.5295,0.82816
ASV_540,0.52978,0.82816
ASV_673,0.52997,0.82816
ASV_1946,0.53019,0.82816
ASV_335,0.53037,0.82816
ASV_1808,0.53095,0.82816
ASV_670,0.53118,0.82816
ASV_206,0.53148,0.82816
ASV_1360,0.53282,0.82939
ASV_1253,0.53419,0.83065
ASV_304,0.53639,0.8318
ASV_1735,0.53643,0.8318
ASV_964,0.53659,0.8318
ASV_303,0.54053,0.83703
ASV_2043,0.54171,0.83716
ASV_61,0.54172,0.83716
ASV_1170,0.54317,0.83845
ASV_1844,0.54404,0.83845
ASV_1899,0.54424,0.83845
ASV_703,0.54487,0.83856
ASV_1987,0.54589,0.83926
ASV_1747,0.54826,0.84206
ASV_64,0.55314,0.84862
ASV_1404,0.55443,0.84862
ASV_1086,0.55504,0.84862
ASV_371,0.55525,0.84862
ASV_1610,0.55615,0.84862
ASV_735,0.55783,0.84862
ASV_1400,0.55836,0.84862
ASV_2419,0.55859,0.84862
ASV_559,0.55921,0.84862
ASV_1512,0.55965,0.84862
ASV_846,0.55988,0.84862
ASV_674,0.56078,0.84862
ASV_1807,0.56095,0.84862
ASV_441,0.56099,0.84862
ASV_921,0.56103,0.84862
ASV_2270,0.56184,0.84898
ASV_10,0.56307,0.84999
ASV_601,0.56393,0.85043
ASV_1935,0.56504,0.85082
ASV_696,0.5662,0.85082
ASV_437,0.56636,0.85082
ASV_584,0.56676,0.85082
ASV_1181,0.5677,0.85082
ASV_978,0.568,0.85082
ASV_213,0.56816,0.85082
ASV_1210,0.57008,0.85261
ASV_1167,0.57074,0.85261
ASV_1413,0.57106,0.85261
ASV_186,0.57163,0.85261
ASV_270,0.57558,0.8573
ASV_730,0.57592,0.8573
ASV_31,0.57897,0.85993
ASV_417,0.57986,0.85993
ASV_97,0.58055,0.85993
ASV_261,0.58163,0.85993
ASV_1982,0.58208,0.85993
ASV_463,0.58219,0.85993
ASV_2495,0.5826,0.85993
ASV_1493,0.58329,0.85993
ASV_374,0.58407,0.85993
ASV_1007,0.58445,0.85993
ASV_893,0.5858,0.85993
ASV_855,0.58593,0.85993
ASV_1052,0.58613,0.85993
ASV_416,0.58622,0.85993
ASV_636,0.58629,0.85993
ASV_203,0.58734,0.86023
ASV_587,0.58788,0.86023
ASV_239,0.58821,0.86023
ASV_1390,0.59078,0.86313
ASV_154,0.59188,0.86391
ASV_219,0.59272,0.86429
ASV_2077,0.59637,0.86877
ASV_1664,0.59891,0.87162
ASV_1186,0.60066,0.8731
ASV_857,0.60144,0.8731
ASV_613,0.60167,0.8731
ASV_316,0.60248,0.87342
ASV_480,0.60452,0.87529
ASV_491,0.60568,0.87529
ASV_904,0.60576,0.87529
ASV_177,0.60611,0.87529
ASV_1749,0.60763,0.87665
ASV_2909,0.60891,0.87709
ASV_1161,0.60991,0.87709
ASV_1587,0.60992,0.87709
ASV_2682,0.61028,0.87709
ASV_163,0.61273,0.87977
ASV_880,0.61535,0.88269
ASV_588,0.61685,0.88365
ASV_355,0.6172,0.88365
ASV_1693,0.61799,0.88394
ASV_385,0.6197,0.88553
ASV_626,0.62029,0.88554
ASV_192,0.62131,0.88615
ASV_2640,0.62207,0.8864
ASV_916,0.62357,0.88768
ASV_876,0.6247,0.88845
ASV_1876,0.62622,0.88892
ASV_2745,0.62634,0.88892
ASV_1139,0.62761,0.88892
ASV_837,0.62793,0.88892
ASV_2051,0.62849,0.88892
ASV_1689,0.62859,0.88892
ASV_1125,0.62937,0.88919
ASV_1103,0.63102,0.89009
ASV_2582,0.63119,0.89009
ASV_461,0.63335,0.89153
ASV_2045,0.63386,0.89153
ASV_1765,0.63408,0.89153
ASV_992,0.63543,0.89153
ASV_1184,0.63581,0.89153
ASV_1187,0.63591,0.89153
ASV_1050,0.63763,0.89153
ASV_1011,0.63779,0.89153
ASV_486,0.63885,0.89153
ASV_1144,0.64018,0.89153
ASV_700,0.64038,0.89153
ASV_345,0.64043,0.89153
ASV_2800,0.64044,0.89153
ASV_1641,0.64142,0.89153
ASV_1711,0.64168,0.89153
ASV_1643,0.64173,0.89153
ASV_1353,0.64399,0.8919
ASV_450,0.64419,0.8919
ASV_1051,0.6442,0.8919
ASV_1598,0.64472,0.8919
ASV_413,0.64523,0.8919
ASV_264,0.6462,0.8919
ASV_271,0.64635,0.8919
ASV_2905,0.64683,0.8919
ASV_1410,0.64736,0.8919
ASV_297,0.64891,0.89322
ASV_567,0.65245,0.89706
ASV_629,0.6529,0.89706
ASV_2313,0.65418,0.898
ASV_522,0.65667,0.89932
ASV_1559,0.65671,0.89932
ASV_1966,0.65694,0.89932
ASV_1100,0.65816,0.90017
ASV_235,0.65992,0.90175
ASV_2700,0.66203,0.90381
ASV_132,0.66282,0.90407
ASV_1440,0.66469,0.90579
ASV_525,0.6662,0.90676
ASV_1577,0.66661,0.90676
ASV_689,0.66814,0.907
ASV_2341,0.66815,0.907
ASV_350,0.6686,0.907
ASV_499,0.67191,0.91065
ASV_1199,0.67305,0.91065
ASV_676,0.67375,0.91065
ASV_1781,0.67447,0.91065
ASV_544,0.67472,0.91065
ASV_1853,0.67494,0.91065
ASV_841,0.67644,0.91186
ASV_692,0.67762,0.91262
ASV_1652,0.67924,0.91309
ASV_51,0.67998,0.91309
ASV_518,0.68006,0.91309
ASV_1137,0.6804,0.91309
ASV_537,0.68243,0.91499
ASV_265,0.68314,0.91512
ASV_542,0.68552,0.91742
ASV_1283,0.68607,0.91742
ASV_268,0.68691,0.91771
ASV_2439,0.68789,0.91782
ASV_894,0.68843,0.91782
ASV_1221,0.68944,0.91782
ASV_21,0.69,0.91782
ASV_2189,0.69027,0.91782
ASV_402,0.69066,0.91782
ASV_129,0.69537,0.92231
ASV_1874,0.69602,0.92231
ASV_157,0.69617,0.92231
ASV_539,0.6965,0.92231
ASV_62,0.69799,0.92279
ASV_1121,0.6981,0.92279
ASV_2085,0.69914,0.92335
ASV_1207,0.70113,0.92429
ASV_874,0.70146,0.92429
ASV_835,0.70217,0.92429
ASV_935,0.70307,0.92429
ASV_1434,0.7031,0.92429
ASV_2098,0.70412,0.92429
ASV_128,0.70493,0.92429
ASV_1295,0.70502,0.92429
ASV_9,0.70591,0.92429
ASV_383,0.70677,0.92429
ASV_1178,0.70685,0.92429
ASV_2105,0.70748,0.92429
ASV_1152,0.70787,0.92429
ASV_2231,0.70941,0.92491
ASV_340,0.70957,0.92491
ASV_1548,0.71062,0.92547
ASV_1983,0.71148,0.92578
ASV_1060,0.71261,0.92591
ASV_1245,0.71287,0.92591
ASV_1180,0.71342,0.92591
ASV_418,0.71617,0.92667
ASV_1035,0.71779,0.92667
ASV_1083,0.71843,0.92667
ASV_869,0.71889,0.92667
ASV_546,0.71909,0.92667
ASV_1907,0.71946,0.92667
ASV_373,0.71948,0.92667
ASV_76,0.71969,0.92667
ASV_509,0.71989,0.92667
ASV_384,0.72019,0.92667
ASV_1975,0.72137,0.92717
ASV_200,0.72198,0.92717
ASV_571,0.72264,0.92717
ASV_1013,0.72344,0.92717
ASV_1791,0.72368,0.92717
ASV_1703,0.72568,0.92894
ASV_514,0.72744,0.92941
ASV_1900,0.72865,0.92941
ASV_101,0.73004,0.92941
ASV_1378,0.73018,0.92941
ASV_228,0.7302,0.92941
ASV_342,0.73126,0.92941
ASV_2290,0.73236,0.92941
ASV_372,0.73243,0.92941
ASV_333,0.73278,0.92941
ASV_1538,0.73285,0.92941
ASV_436,0.73287,0.92941
ASV_1169,0.73626,0.92992
ASV_1742,0.73694,0.92992
ASV_472,0.7377,0.92992
ASV_2054,0.73802,0.92992
ASV_412,0.73892,0.92992
ASV_254,0.73914,0.92992
ASV_607,0.7399,0.92992
ASV_750,0.74099,0.92992
ASV_30,0.74115,0.92992
ASV_1233,0.74155,0.92992
ASV_780,0.74164,0.92992
ASV_159,0.74171,0.92992
ASV_834,0.74172,0.92992
ASV_386,0.74221,0.92992
ASV_2713,0.74257,0.92992
ASV_506,0.74437,0.9314
ASV_1602,0.74713,0.93217
ASV_377,0.74748,0.93217
ASV_33,0.74815,0.93217
ASV_2195,0.74842,0.93217
ASV_1223,0.74849,0.93217
ASV_169,0.74872,0.93217
ASV_381,0.75029,0.93335
ASV_1642,0.75298,0.93592
ASV_1061,0.75399,0.9364
ASV_2806,0.75538,0.93644
ASV_113,0.75575,0.93644
ASV_679,0.75652,0.93644
ASV_298,0.75689,0.93644
ASV_1043,0.75845,0.93644
ASV_424,0.75948,0.93644
ASV_269,0.75953,0.93644
ASV_365,0.76036,0.93644
ASV_326,0.76045,0.93644
ASV_809,0.76061,0.93644
ASV_240,0.76183,0.93644
ASV_1607,0.76271,0.93644
ASV_484,0.76284,0.93644
ASV_680,0.76337,0.93644
ASV_2348,0.76495,0.93644
ASV_794,0.76536,0.93644
ASV_1986,0.76662,0.93644
ASV_2432,0.76739,0.93644
ASV_1764,0.76769,0.93644
ASV_2116,0.76856,0.93644
ASV_170,0.76878,0.93644
ASV_884,0.7688,0.93644
ASV_1138,0.76951,0.93644
ASV_2535,0.76969,0.93644
ASV_36,0.7699,0.93644
ASV_562,0.77046,0.93644
ASV_1389,0.77144,0.93644
ASV_327,0.77152,0.93644
ASV_72,0.77236,0.9367
ASV_646,0.77347,0.93723
ASV_912,0.77404,0.93723
ASV_182,0.77493,0.93751
ASV_2899,0.77553,0.93751
ASV_1937,0.77665,0.93793
ASV_16,0.77776,0.93793
ASV_210,0.77898,0.93793
ASV_1718,0.7791,0.93793
ASV_702,0.77999,0.93793
ASV_1569,0.78027,0.93793
ASV_2569,0.78061,0.93793
ASV_1080,0.78106,0.93793
ASV_92,0.78151,0.93793
ASV_1438,0.78234,0.93818
ASV_259,0.78322,0.93822
ASV_1290,0.78368,0.93822
ASV_255,0.78425,0.93822
ASV_838,0.78504,0.93826
ASV_580,0.78588,0.93826
ASV_1903,0.78616,0.93826
ASV_414,0.78737,0.93858
ASV_1567,0.78768,0.93858
ASV_194,0.78906,0.93947
ASV_378,0.79041,0.93958
ASV_1923,0.79059,0.93958
ASV_288,0.79103,0.93958
ASV_1104,0.79418,0.94214
ASV_455,0.79444,0.94214
ASV_1304,0.7964,0.94322
ASV_790,0.79702,0.94322
ASV_2368,0.79768,0.94322
ASV_528,0.7983,0.94322
ASV_1376,0.79849,0.94322
ASV_529,0.80014,0.94325
ASV_1547,0.80107,0.94325
ASV_569,0.80178,0.94325
ASV_464,0.80296,0.94325
ASV_287,0.80343,0.94325
ASV_2289,0.8035,0.94325
ASV_1658,0.80369,0.94325
ASV_1619,0.80381,0.94325
ASV_77,0.80447,0.94325
ASV_532,0.80481,0.94325
ASV_330,0.80732,0.94478
ASV_936,0.80738,0.94478
ASV_1213,0.80948,0.94497
ASV_2101,0.80949,0.94497
ASV_1239,0.81031,0.94497
ASV_353,0.81065,0.94497
ASV_1296,0.81117,0.94497
ASV_570,0.81132,0.94497
ASV_566,0.81294,0.94612
ASV_479,0.81401,0.94663
ASV_714,0.81736,0.94979
ASV_1027,0.81961,0.95117
ASV_2734,0.82086,0.95117
ASV_178,0.82094,0.95117
ASV_1059,0.82109,0.95117
ASV_1916,0.82201,0.95125
ASV_817,0.82304,0.95125
ASV_118,0.82307,0.95125
ASV_688,0.82422,0.95185
ASV_668,0.82488,0.95186
ASV_1611,0.82561,0.95186
ASV_1179,0.82613,0.95186
ASV_428,0.82874,0.95296
ASV_358,0.8288,0.95296
ASV_308,0.8305,0.95296
ASV_2099,0.83098,0.95296
ASV_205,0.83265,0.95296
ASV_948,0.83349,0.95296
ASV_34,0.83365,0.95296
ASV_337,0.83404,0.95296
ASV_808,0.83418,0.95296
ASV_32,0.83426,0.95296
ASV_2259,0.83454,0.95296
ASV_552,0.83472,0.95296
ASV_1654,0.83556,0.9532
ASV_1047,0.83736,0.95452
ASV_1033,0.84055,0.95744
ASV_2059,0.84389,0.96051
ASV_71,0.84884,0.96541
ASV_121,0.84977,0.96573
ASV_1830,0.85056,0.9659
ASV_11,0.85153,0.96627
ASV_732,0.85461,0.96839
ASV_1606,0.85469,0.96839
ASV_1071,0.85595,0.96856
ASV_634,0.85647,0.96856
ASV_558,0.85777,0.96856
ASV_510,0.85793,0.96856
ASV_2804,0.85807,0.96856
ASV_173,0.85992,0.96991
ASV_222,0.86057,0.96992
ASV_776,0.86253,0.97139
ASV_26,0.86339,0.97164
ASV_361,0.86534,0.9731
ASV_1887,0.86667,0.97387
ASV_1670,0.86854,0.97524
ASV_614,0.87109,0.97631
ASV_74,0.87163,0.97631
ASV_1568,0.8723,0.97631
ASV_2765,0.87299,0.97631
ASV_1761,0.87372,0.97631
ASV_639,0.87394,0.97631
ASV_398,0.87406,0.97631
ASV_1242,0.87604,0.9775
ASV_263,0.87643,0.9775
ASV_2526,0.8777,0.97819
ASV_109,0.87953,0.97834
ASV_1746,0.8804,0.97834
ASV_1439,0.88082,0.97834
ASV_898,0.88084,0.97834
ASV_1250,0.88109,0.97834
ASV_2443,0.88327,0.97894
ASV_551,0.88339,0.97894
ASV_786,0.88386,0.97894
ASV_527,0.88424,0.97894
ASV_755,0.88509,0.97915
ASV_657,0.88708,0.98052
ASV_252,0.88763,0.98052
ASV_1094,0.88954,0.98135
ASV_395,0.8897,0.98135
ASV_2380,0.89051,0.98153
ASV_319,0.89277,0.98292
ASV_2597,0.8945,0.98292
ASV_596,0.89501,0.98292
ASV_4,0.89524,0.98292
ASV_1115,0.89645,0.98292
ASV_669,0.89721,0.98292
ASV_843,0.89762,0.98292
ASV_14,0.89863,0.98292
ASV_944,0.89883,0.98292
ASV_1556,0.89936,0.98292
ASV_1391,0.89963,0.98292
ASV_471,0.90023,0.98292
ASV_1260,0.90058,0.98292
ASV_827,0.90096,0.98292
ASV_1344,0.90256,0.98352
ASV_2509,0.90282,0.98352
ASV_492,0.90574,0.98559
ASV_922,0.90687,0.98559
ASV_1565,0.90727,0.98559
ASV_900,0.90808,0.98559
ASV_1063,0.90847,0.98559
ASV_814,0.90866,0.98559
ASV_789,0.91145,0.98602
ASV_845,0.91224,0.98602
ASV_1269,0.91225,0.98602
ASV_1158,0.91285,0.98602
ASV_488,0.91371,0.98602
ASV_2478,0.91494,0.98602
ASV_1288,0.91541,0.98602
ASV_291,0.91554,0.98602
ASV_1387,0.91564,0.98602
ASV_487,0.91599,0.98602
ASV_1034,0.91706,0.98602
ASV_617,0.91731,0.98602
ASV_1021,0.91865,0.98602
ASV_963,0.91975,0.98602
ASV_683,0.92001,0.98602
ASV_102,0.92028,0.98602
ASV_2393,0.92045,0.98602
ASV_1243,0.92109,0.98602
ASV_160,0.9221,0.98602
ASV_363,0.92268,0.98602
ASV_2110,0.9232,0.98602
ASV_2029,0.92657,0.98602
ASV_2343,0.92707,0.98602
ASV_504,0.92721,0.98602
ASV_87,0.92757,0.98602
ASV_531,0.92782,0.98602
ASV_980,0.9284,0.98602
ASV_2438,0.92908,0.98602
ASV_423,0.9292,0.98602
ASV_1069,0.92968,0.98602
ASV_954,0.93072,0.98602
ASV_1815,0.93113,0.98602
ASV_1817,0.93141,0.98602
ASV_757,0.93208,0.98602
ASV_193,0.93295,0.98602
ASV_444,0.93345,0.98602
ASV_1753,0.93358,0.98602
ASV_324,0.93405,0.98602
ASV_1087,0.93495,0.98627
ASV_229,0.93728,0.98645
ASV_653,0.93748,0.98645
ASV_28,0.93794,0.98645
ASV_1596,0.93844,0.98645
ASV_2285,0.93903,0.98645
ASV_2841,0.93907,0.98645
ASV_503,0.94353,0.98773
ASV_1859,0.94464,0.98773
ASV_199,0.94552,0.98773
ASV_1972,0.9463,0.98773
ASV_1268,0.94784,0.98773
ASV_1442,0.94887,0.98773
ASV_2106,0.95005,0.98773
ASV_1127,0.951,0.98773
ASV_640,0.95128,0.98773
ASV_1634,0.95146,0.98773
ASV_401,0.95172,0.98773
ASV_1309,0.95214,0.98773
ASV_429,0.95296,0.98773
ASV_1852,0.95332,0.98773
ASV_1785,0.95398,0.98773
ASV_2109,0.95406,0.98773
ASV_1316,0.95437,0.98773
ASV_1312,0.95488,0.98773
ASV_974,0.95498,0.98773
ASV_286,0.95501,0.98773
ASV_560,0.95528,0.98773
ASV_153,0.95535,0.98773
ASV_1421,0.95555,0.98773
ASV_1306,0.95636,0.98773
ASV_453,0.95676,0.98773
ASV_275,0.95786,0.98818
ASV_29,0.95857,0.98824
ASV_1057,0.95941,0.98843
ASV_445,0.96165,0.98986
ASV_208,0.96244,0.98986
ASV_1428,0.96278,0.98986
ASV_1252,0.96437,0.99081
ASV_69,0.96892,0.99169
ASV_396,0.96959,0.99169
ASV_2299,0.96967,0.99169
ASV_861,0.97,0.99169
ASV_1401,0.97158,0.99169
ASV_594,0.97275,0.99169
ASV_166,0.97275,0.99169
ASV_608,0.97391,0.99169
ASV_1733,0.97435,0.99169
ASV_647,0.97498,0.99169
ASV_2205,0.97506,0.99169
ASV_988,0.97508,0.99169
ASV_1796,0.97533,0.99169
ASV_1163,0.97557,0.99169
ASV_1085,0.97584,0.99169
ASV_1369,0.97663,0.99169
ASV_1824,0.97741,0.99169
ASV_877,0.97767,0.99169
ASV_1311,0.97779,0.99169
ASV_1620,0.98102,0.99353
ASV_660,0.98116,0.99353
ASV_2264,0.9816,0.99353
ASV_1503,0.98241,0.99368
ASV_1273,0.98311,0.99372
ASV_2087,0.98398,0.99393
ASV_283,0.98491,0.9942
ASV_1562,0.98674,0.99526
ASV_1345,0.98879,0.99526
ASV_1456,0.98924,0.99526
ASV_212,0.98943,0.99526
ASV_1006,0.98962,0.99526
ASV_2194,0.98995,0.99526
ASV_726,0.99148,0.99613
ASV_1936,0.99316,0.99696
ASV_214,0.99427,0.99696
ASV_2234,0.9943,0.99696
ASV_362,0.99532,0.99732
ASV_2191,0.99692,0.99794
ASV_183,0.99728,0.99794
ASV_125,0.99883,0.99883
