"","KO","OE","WT"
"Actinobacteria",0.27512299589049,0.311616600104185,0.329791051687214
"Bacteroidetes",0.0392429241187706,0.0588817503038722,0.0518840076402153
"Chloroflexi",0.0144816808473693,0.0178329571106095,0.0213405105052961
"Firmicutes",0.0125253226833362,0.0267696938125832,0.00653469931122301
"Others",0.00633790588643862,0.0175204028477166,0.0116223881460902
"Proteobacteria",0.644093303235515,0.555188979568212,0.56903976384789
"Unassigned",0.00819586733807953,0.0121896162528217,0.00978757886207096
