"",Pvalues,FDR,KO,OE,WT,LDAscore
ASV_2910,0.0061147,0.13373,191.53,1384.2,818.12,2.78
ASV_1558,0.0061147,0.13373,144.09,1090.9,822.48,2.68
ASV_1093,0.0062447,0.13373,769.05,3010.6,482.5,3.1
ASV_469,0.0062447,0.13373,910.71,5020.4,3184.7,3.31
ASV_805,0.0069786,0.14499,928.46,2809.9,1442.2,2.97
ASV_886,0.0069786,0.14499,886.34,3803.9,2659.5,3.16
ASV_519,0.0070607,0.14499,1165.8,3409.9,2875.9,3.05
ASV_992,0.0071856,0.14517,529.39,1099.5,1917.2,2.84
ASV_823,0.0073267,0.14517,307.48,2534.6,1721.3,3.05
ASV_848,0.0074859,0.14517,460,2555.2,2030,3.02
ASV_1847,0.0075094,0.14517,44.664,781.04,717.24,2.57
ASV_1506,0.007708,0.14517,599.04,2377.5,818.35,2.95
ASV_2,0.007708,0.14517,596740,284780,353730,5.19
ASV_612,0.0077532,0.14517,1005.1,3719.3,2316.8,3.13
ASV_798,0.0078444,0.14517,1273.9,3387.2,1009.5,3.08
ASV_120,0.0084147,0.1469,21636,9318.5,10588,3.79
ASV_952,0.0084147,0.1469,564.68,1977.6,2401.8,2.96
ASV_257,0.0084147,0.1469,9164.7,4537.5,5068.4,3.36
ASV_581,0.0084147,0.1469,610.1,4049.1,3162.7,3.24
ASV_1136,0.0087606,0.1469,296.15,2299.8,915.83,3
ASV_329,0.0090793,0.1469,1915.5,4942.5,5805.7,3.29
ASV_682,0.0090793,0.1469,3107.4,1096.2,1579.1,3
ASV_1533,0.0092659,0.1469,103.32,953.11,1151.9,2.72
ASV_2454,0.0094685,0.1469,382.94,1592.8,1094.7,2.78
ASV_267,0.0096826,0.1469,7524,3732,7010.7,3.28
ASV_111,0.0096826,0.1469,10354,17278,19733,3.67
ASV_376,0.0096826,0.1469,2878.8,8880.3,2469.7,3.51
ASV_1098,0.0097774,0.1469,2363.5,269.23,616.88,3.02
ASV_432,0.010028,0.1469,5565.9,1255.7,2907.3,3.33
ASV_163,0.010028,0.1469,8496.3,15170,10882,3.52
ASV_2532,0.010113,0.1469,553.47,2663.6,917.88,3.02
ASV_1080,0.010195,0.1469,99.274,1684,1199.8,2.9
ASV_1342,0.010206,0.1469,338.91,1270,1145.5,2.67
ASV_307,0.010206,0.1469,8758.7,3393.7,3815.7,3.43
ASV_1118,0.010206,0.1469,915.91,5335,1737.3,3.34
ASV_916,0.010434,0.1469,521.94,4785.3,286.97,3.35
ASV_1497,0.010434,0.1469,299.52,2000.5,724.63,2.93
ASV_2682,0.010582,0.1469,373.92,1965.5,1436.8,2.9
ASV_383,0.010632,0.1469,2414.8,4562.6,5214.1,3.15
ASV_862,0.010632,0.1469,633.48,3552.7,2986.7,3.16
ASV_167,0.010632,0.1469,14168,8832.7,7993,3.49
ASV_679,0.010757,0.1469,1208,2866.3,1546.9,2.92
ASV_2059,0.010887,0.1469,145.66,1972.8,681.82,2.96
ASV_1008,0.010936,0.1469,2238.6,325.37,480.53,2.98
ASV_114,0.011142,0.1469,21259,14165,19836,3.55
ASV_191,0.011207,0.1469,2555.7,10001,10188,3.58
ASV_1135,0.011328,0.1469,200.09,1325.8,1434,2.79
ASV_1246,0.011486,0.1469,810.5,5392,1789.3,3.36
ASV_573,0.011539,0.1469,6407.7,4229.2,2883.4,3.25
ASV_289,0.011539,0.1469,3646.9,10477,6774.9,3.53
ASV_66,0.011539,0.1469,17602,36392,24546,3.97
ASV_574,0.011951,0.1469,895.21,3920.6,2677.5,3.18
ASV_44,0.011951,0.1469,57326,23919,36184,4.22
ASV_240,0.011951,0.1469,8331.9,12612,10304,3.33
ASV_1910,0.013023,0.1469,155.43,1106.3,1292.2,2.76
ASV_2167,0.013337,0.1469,94.456,1005.2,808.7,2.66
ASV_1938,0.01359,0.1469,644.19,1306.5,237.81,2.73
ASV_1356,0.013692,0.1469,240.75,936.23,819.2,2.54
ASV_96,0.013752,0.1469,26098,13589,12948,3.82
ASV_1044,0.013752,0.1469,1622.9,591.53,1533.2,2.71
ASV_1189,0.013869,0.1469,246.62,1362,1058.2,2.75
ASV_544,0.014016,0.1469,926.63,6553.9,2205.4,3.45
ASV_664,0.014117,0.1469,551.57,4802.3,677.18,3.33
ASV_2253,0.014117,0.1469,145.66,1008,919.45,2.64
ASV_24,0.014243,0.1469,90633,38718,43337,4.41
ASV_1402,0.014243,0.1469,336.13,1149.3,1192.4,2.63
ASV_33,0.014243,0.1469,46236,72481,76523,4.18
ASV_1042,0.014243,0.1469,248.34,1716.4,956.87,2.87
ASV_1329,0.014432,0.1469,351.51,1036.7,1338.7,2.69
ASV_1079,0.014517,0.1469,424.2,2059.5,1582.7,2.91
ASV_344,0.014581,0.1469,6829.3,3385,3634.7,3.24
ASV_468,0.014581,0.1469,1882.3,3736.6,3462.1,2.97
ASV_1139,0.014581,0.1469,1959.5,2050,530.15,2.88
ASV_338,0.014581,0.1469,8764.2,1375.4,3294.1,3.57
ASV_351,0.014752,0.1469,4199.8,8952.1,2197,3.53
ASV_681,0.014752,0.1469,3843.1,1713.7,1590.8,3.05
ASV_1463,0.014752,0.1469,290.51,1567,814.56,2.81
ASV_1271,0.01564,0.1469,1645,1215.9,621.24,2.71
ASV_10,0.01564,0.1469,182390,89213,106810,4.67
ASV_2416,0.015824,0.1469,383.57,1334.3,674.15,2.68
ASV_977,0.015824,0.1469,813.98,2417.5,1577.1,2.9
ASV_460,0.015824,0.1469,5471.9,1591.2,3184.1,3.29
ASV_1347,0.015824,0.1469,671.25,2443.4,1290.4,2.95
ASV_1328,0.016113,0.1469,248.04,1601.8,859.4,2.83
ASV_1024,0.016213,0.1469,107.36,3177.1,434,3.19
ASV_1175,0.01639,0.1469,715.52,1601.4,1292.2,2.65
ASV_1905,0.01639,0.1469,526.7,1862.1,1251.4,2.83
ASV_195,0.01639,0.1469,12788,10151,7005.8,3.46
ASV_1587,0.01639,0.1469,440.21,1500.6,677.03,2.73
ASV_878,0.01639,0.1469,635.18,2236.8,1486,2.9
ASV_2543,0.01639,0.1469,1246.2,4413.2,2669.1,3.2
ASV_801,0.016609,0.1469,438.03,3701.2,1724.2,3.21
ASV_485,0.01668,0.1469,1722.8,6041,2157.7,3.33
ASV_956,0.01668,0.1469,1811.6,710.06,907.22,2.74
ASV_146,0.01668,0.1469,7317,9057.6,16011,3.64
ASV_1690,0.017242,0.1469,107.36,772.36,1184.9,2.73
ASV_1455,0.017268,0.1469,663.15,1752.6,191.03,2.89
ASV_872,0.017289,0.1469,411.03,1668.2,1715.5,2.82
ASV_47,0.017581,0.1469,57449,41678,45703,3.9
ASV_989,0.017581,0.1469,487.8,1313.5,1571,2.73
ASV_1350,0.017596,0.1469,1483.7,665.84,190.14,2.81
ASV_2475,0.017596,0.1469,192.8,1615.2,820.05,2.85
ASV_1508,0.0177,0.1469,1840.1,2061,195.06,2.97
ASV_777,0.017818,0.1469,534.15,2979.8,1449.4,3.09
ASV_455,0.017892,0.1469,1854.3,3969,2308.7,3.02
ASV_657,0.017892,0.1469,352060,406620,547670,4.99
ASV_2360,0.017997,0.1469,629.75,4010.2,2169.4,3.23
ASV_50,0.017997,0.1469,57989,19896,38765,4.28
ASV_301,0.017997,0.1469,8090.4,6436.1,4603.8,3.24
ASV_1611,0.018014,0.1469,584.27,2033.8,483.34,2.89
ASV_1658,0.018282,0.1469,342.8,1499.1,484.66,2.76
ASV_121,0.018316,0.1469,10370,18321,11196,3.6
ASV_427,0.018316,0.1469,18715,17810,31296,3.83
ASV_615,0.018316,0.1469,1805,3360.1,1576.2,2.95
ASV_761,0.018527,0.1469,421.35,2049.7,2044.4,2.91
ASV_866,0.0187,0.1469,633.04,2228.5,1051,2.9
ASV_1263,0.018782,0.1469,529.51,2543.9,1503.2,3
ASV_702,0.018859,0.1469,1360.3,2583,1201.8,2.84
ASV_311,0.018859,0.1469,2637.5,8523,4691.2,3.47
ASV_674,0.018859,0.1469,1474.6,3372.6,1432.9,2.99
ASV_229,0.018859,0.1469,4671.6,6648.3,9290,3.36
ASV_424,0.018859,0.1469,1848.7,5197.7,3285.4,3.22
ASV_326,0.018859,0.1469,3043.2,7114.8,4468.8,3.31
ASV_2597,0.018881,0.1469,451.69,2001.8,1246.2,2.89
ASV_1764,0.019193,0.1469,785.03,1505.3,286.63,2.79
ASV_579,0.019193,0.1469,1960.5,3418.4,2071.4,2.86
ASV_104,0.019193,0.1469,22889,15165,15791,3.59
ASV_1674,0.019193,0.1469,1451.9,4052.4,1456,3.11
ASV_356,0.019193,0.1469,3839.5,5885.8,5782.4,3.01
ASV_1480,0.019305,0.1469,495.9,2078.8,1966.4,2.9
ASV_89,0.019305,0.1469,13711,23233,22311,3.68
ASV_203,0.019533,0.14692,4495.3,8800.7,10325,3.46
ASV_304,0.019533,0.14692,3172.8,6663.3,5696.1,3.24
ASV_1973,0.019859,0.14692,286.8,1441.6,724.44,2.76
ASV_1792,0.019885,0.14692,335.5,988.95,1300.5,2.68
ASV_34,0.019995,0.14692,34284,48347,71991,4.28
ASV_536,0.019995,0.14692,1605.1,4330,2543,3.13
ASV_1123,0.019995,0.14692,660.95,1923.2,818.31,2.8
ASV_1496,0.020502,0.14991,260.31,2282.4,772.9,3.01
ASV_1780,0.020684,0.15051,198.55,890.26,431.63,2.54
ASV_1014,0.020869,0.15112,396.95,1751.3,1561,2.83
ASV_1990,0.02111,0.15213,1711.5,1948.9,340.44,2.91
ASV_1539,0.02135,0.1531,264.35,1091.1,1248.3,2.69
ASV_816,0.021448,0.1531,2846.1,4013.5,5415.9,3.11
ASV_669,0.022085,0.1556,2096.4,2527.8,5104.8,3.18
ASV_546,0.022085,0.1556,2870.7,4208,2237.4,2.99
ASV_128,0.022214,0.1556,9467.4,14764,13567,3.42
ASV_902,0.022214,0.1556,2037.8,1774.1,577.03,2.86
ASV_1597,0.022685,0.15816,345.27,1148.7,616.31,2.6
ASV_877,0.023191,0.16094,1363.3,260.84,2025.8,2.95
ASV_509,0.02374,0.16134,1450.2,6422.6,2358.5,3.4
ASV_1125,0.02374,0.16134,432.28,1844.3,861.65,2.85
ASV_2313,0.02374,0.16134,653.57,1218.7,287.46,2.67
ASV_1846,0.023746,0.16134,374.68,1258.5,530.93,2.65
ASV_1446,0.024017,0.16134,334.72,1649.7,867.64,2.82
ASV_1907,0.024028,0.16134,475.02,2370.2,2651.1,3.04
ASV_185,0.02411,0.16134,13382,5483.3,7878.2,3.6
ASV_1095,0.02411,0.16134,1674.9,940.39,529,2.76
ASV_1069,0.024586,0.16345,494.21,1738.5,1786.7,2.81
ASV_1660,0.024876,0.16345,244.16,820.81,811,2.46
ASV_2599,0.024947,0.16345,0,933.76,531.81,2.67
ASV_77,0.024971,0.16345,19423,30997,30373,3.76
ASV_717,0.024971,0.16345,506.31,1766.5,2568.3,3.01
ASV_55,0.025412,0.16562,31547,45356,59655,4.15
ASV_331,0.026014,0.16736,7742.5,4106.7,4729,3.26
ASV_834,0.026014,0.16736,1883.5,3978.2,2308.5,3.02
ASV_334,0.026014,0.16736,2233.1,6136.7,5128.4,3.29
ASV_1292,0.026207,0.16788,92.768,1748.6,810.69,2.92
ASV_1607,0.026387,0.16831,348.25,2199.1,1064.4,2.97
ASV_91,0.026786,0.16953,24236,29883,5617.9,4.08
ASV_1391,0.026803,0.16953,972.33,2438.7,576.88,2.97
ASV_1169,0.027082,0.17057,300.3,1547.5,629.42,2.8
ASV_2295,0.027333,0.17072,448.43,3891.9,1101.3,3.24
ASV_1267,0.027333,0.17072,353.05,1333.7,1283.8,2.69
ASV_1622,0.027635,0.17184,683.52,1326.3,243.27,2.73
ASV_1547,0.027742,0.17184,1310.4,2256.3,959.67,2.81
ASV_1704,0.028015,0.17281,148.91,1333.4,478.45,2.77
ASV_1671,0.028303,0.17387,140.81,816.71,1187.2,2.72
ASV_1634,0.028628,0.17418,350.72,1446.8,825,2.74
ASV_431,0.028733,0.17418,1891,2905.3,4044.7,3.03
ASV_253,0.028733,0.17418,8646.9,4099.6,5727.7,3.36
ASV_809,0.028817,0.17418,1788.8,2169.4,583.06,2.9
ASV_1127,0.02916,0.17555,538.97,3222.1,439.09,3.14
ASV_2713,0.029413,0.17636,835.29,2371.4,1153.9,2.89
