"",Pvalues,FDR,KO,OE,WT,LDAscore
ASV_1240,0.069078,0.25631,469.61,1545,617.15,2.73
ASV_312,0.069078,0.25631,8638.6,4505.6,3852.2,3.38
ASV_665,0.069078,0.25631,2919.7,1850.2,1439,2.87
ASV_1542,0.070025,0.25918,203.5,1076.2,764.89,2.64
ASV_107,0.070713,0.2598,18844,14837,13567,3.42
ASV_296,0.070713,0.2598,2143.7,8594.9,5544.4,3.51
ASV_86,0.070713,0.2598,13664,19757,30681,3.93
ASV_1606,0.071841,0.263,249.1,1231.8,832.6,2.69
ASV_1640,0.072025,0.263,1232.9,327.21,1514.1,2.77
ASV_1438,0.072704,0.263,246.62,935.89,705.56,2.54
ASV_1559,0.072704,0.263,193.1,1172.2,662.18,2.69
ASV_202,0.072811,0.263,3926.3,17458,4771.9,3.83
ASV_1182,0.072811,0.263,1216.6,1387,718.33,2.53
ASV_530,0.072811,0.263,1843.8,2330,3323,2.87
ASV_1229,0.074535,0.26754,564.43,1366,905.08,2.6
ASV_548,0.075047,0.26754,527.28,2604.6,3438.7,3.16
ASV_2490,0.075047,0.26754,841.02,1773.8,671.84,2.74
ASV_1841,0.075356,0.26754,370.04,1083.2,488.96,2.55
ASV_437,0.075854,0.26754,3572,3792.6,1770,3.01
ASV_337,0.075854,0.26754,3194.4,6482.7,4123.4,3.22
ASV_2116,0.075854,0.26754,778.19,1370.8,822,2.47
ASV_255,0.075854,0.26754,4594.8,8788.1,6228.8,3.32
ASV_313,0.075854,0.26754,3231,5070.8,5466.1,3.05
ASV_467,0.075854,0.26754,2012.4,6115.9,2154.4,3.31
ASV_2851,0.076208,0.26777,337.19,1109,809.07,2.59
ASV_1745,0.076543,0.26777,1528.6,595.99,969.44,2.67
ASV_106,0.076746,0.26777,8300.1,29317,14771,4.02
ASV_1972,0.077283,0.26777,557.38,390.57,1396.6,2.7
ASV_1477,0.077398,0.26777,376.1,1595.1,483.77,2.79
ASV_1475,0.077751,0.26777,278.39,1107.7,710.61,2.62
ASV_259,0.078105,0.26777,4396.3,7430.5,7916.5,3.25
ASV_714,0.078105,0.26777,947.31,2239.5,1921.3,2.81
ASV_1641,0.078105,0.26777,447.66,881.78,858.17,2.34
ASV_1197,0.078105,0.26777,433.21,1258.5,1144.1,2.62
ASV_8,0.078105,0.26777,123970,229770,190310,4.72
ASV_802,0.078111,0.26777,0,941.63,4190.6,3.32
ASV_982,0.078242,0.26777,712.17,2557.2,1059.4,2.97
ASV_2794,0.078581,0.26832,703.31,947.14,243.38,2.55
ASV_966,0.079395,0.26944,719.22,1685.7,1192.4,2.69
ASV_547,0.079487,0.26944,2467.4,3686.4,3741.9,2.8
ASV_2231,0.079487,0.26944,581.49,1143.8,535.84,2.48
ASV_2101,0.079628,0.26944,609.47,1152.7,526.63,2.5
ASV_2320,0.080511,0.27182,347.46,942.35,195.26,2.57
ASV_1233,0.082113,0.27485,619.75,1220.4,626.37,2.48
ASV_250,0.082325,0.27485,4767.2,5963.8,9197.8,3.35
ASV_963,0.082325,0.27485,1688.5,2110.9,1193.7,2.66
ASV_1654,0.082325,0.27485,7036.2,10970,9131.5,3.29
ASV_2290,0.082325,0.27485,1383.3,1436.8,429.33,2.7
ASV_709,0.083202,0.27716,492.62,3199.3,2607,3.13
ASV_1211,0.0844,0.2799,521.12,1705.7,969.22,2.77
ASV_1264,0.0844,0.2799,338.42,1665.7,775.06,2.82
ASV_2301,0.085265,0.28029,1383.6,2133.5,728.74,2.85
ASV_316,0.085265,0.28029,2514.5,3606.1,9493.8,3.54
ASV_882,0.085265,0.28029,882.13,1805.6,1155.3,2.67
ASV_22,0.085265,0.28029,66624,62610,52295,3.86
ASV_1310,0.086176,0.28157,1482.6,602.86,1189.2,2.64
ASV_2640,0.086231,0.28157,362.69,1155.7,806.55,2.6
ASV_748,0.086405,0.28157,443.74,2211.1,2187.6,2.95
ASV_1371,0.086405,0.28157,322.27,707.1,860.48,2.43
ASV_122,0.087283,0.28198,13213,19142,14296,3.47
ASV_183,0.087283,0.28198,9682.7,16145,3536.6,3.8
ASV_327,0.087283,0.28198,4288.3,8059.2,5221.7,3.28
ASV_480,0.087283,0.28198,1497.5,4248.3,4407.4,3.16
ASV_1241,0.088079,0.28394,1674.7,449.5,91.906,2.9
ASV_1948,0.089211,0.28697,544.86,1590.2,675.98,2.72
ASV_274,0.089873,0.28786,11025,3805.6,5561,3.56
ASV_569,0.089873,0.28786,2098.5,4204.8,3450.7,3.02
ASV_980,0.09014,0.2881,580.82,2211.4,831.65,2.91
ASV_2001,0.091052,0.28925,446,2561.8,194.47,3.07
ASV_893,0.091238,0.28925,885.31,878.86,1954.3,2.73
ASV_821,0.091464,0.28925,1760.4,2066.7,820.6,2.8
ASV_1602,0.091464,0.28925,1018.1,2665.4,1107.6,2.92
ASV_421,0.091464,0.28925,3692.8,8736.7,8017.7,3.4
ASV_85,0.09473,0.29532,28232,15491,16135,3.8
ASV_239,0.09473,0.29532,6641.4,4098.8,7232.7,3.2
ASV_589,0.09473,0.29532,1933.6,1698.9,2345.4,2.51
ASV_947,0.09473,0.29532,849.81,1206.8,1863.1,2.71
ASV_352,0.09473,0.29532,12075,18803,14627,3.53
ASV_765,0.09473,0.29532,2487.8,1160.9,1147.8,2.83
ASV_880,0.094915,0.29532,1767.8,1987.8,427.02,2.89
ASV_1188,0.095476,0.29532,475.38,1536.2,862.69,2.73
ASV_1852,0.096039,0.29532,742.4,1542.8,1757.1,2.71
ASV_1464,0.096039,0.29532,394,1040.9,1155.6,2.58
ASV_192,0.096407,0.29532,11158,6448.7,8775.6,3.37
ASV_697,0.096972,0.29532,1479.1,3529.4,1446.5,3.02
ASV_299,0.096972,0.29532,5816.9,3390,5776.9,3.08
ASV_598,0.096972,0.29532,1742,2765.2,1671.1,2.74
ASV_720,0.096972,0.29532,2532.4,1661.9,1286.6,2.8
ASV_773,0.096972,0.29532,1228.3,2332.5,1344.6,2.74
ASV_1162,0.097173,0.29532,781.36,1328.3,614.34,2.55
ASV_1370,0.097912,0.29532,647.19,1669.5,629.41,2.72
ASV_472,0.098113,0.29532,2080.6,3656.8,3647.1,2.9
ASV_438,0.098113,0.29532,5401,3617.5,2022.2,3.23
ASV_40,0.098113,0.29532,12166,38693,68328,4.45
ASV_1237,0.098113,0.29532,1296.4,782.32,813.34,2.41
ASV_162,0.098113,0.29532,12352,14130,7764.2,3.5
ASV_1723,0.098113,0.29532,840.8,2070.4,807.35,2.8
ASV_1064,0.098758,0.29667,262.79,2081.7,963.46,2.96
ASV_14,0.10341,0.30695,101740,88985,115850,4.13
