"","KO","Means","SD"
"num.edges",732,732,0
"num.pos.edges",401,0,0
"num.neg.edges",331,0,0
"num.vertices",392,392,0
"connectance",0.00955164674565478,0.00955164674565478,0
"average.degree",3.73469387755102,3.73469387755102,0
"average.path.length",1,4.6056036155413,0.0439919771292479
"diameter",1,10.06,0.874094047594653
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00966591500428569,0.00308374745126536
"no.clusters",113,11.08,2.75856792008045
"centralization.degree",0.0185813455817109,0.0173792995459053,0.00275539938812461
"centralization.betweenness",0,0.0431746462740852,0.00888104261248577
"centralization.closeness",9.83315727351288e-05,0.0132688317302566,0.00481362329038765
