"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43","ME44","ME45","ME46","ME47","ME48","ME49","ME50","ME51","ME52","ME53","ME54","ME55","ME56","ME57","ME58","ME59","ME60","ME61","ME62","ME63","ME64","ME65","ME66","ME67","ME68","ME69","ME70","ME71","ME72"
"sample10",0.478788597389444,0.500478028963781,0.27152006526967,0.448931340344665,-0.356632820968151,0.0898846286715609,-0.1658912193001,-0.0607298925718891,0.377623310030069,-0.260715110657373,-0.292954242736218,-0.219014727878942,-0.0926677919607427,-0.185985006472442,-0.291083299729914,-0.183181876964197,-0.0584643543429585,-0.184911195488989,-0.297739795967068,0.269943064421587,-0.463362030191651,-0.285039008856802,0.271089670735748,-0.323718620046209,-0.505416855863782,-0.122986640626463,-0.19450930515742,0.0778040786200487,-0.542800251382979,0.617788709946985,0.720269732766346,0.541820174801621,-0.0229729343594359,0.112761840925053,-0.243366736239065,-0.060208208918084,0.246737323347155,0.293702849719097,0.25520148056367,0.288150596827212,0.557567674693454,0.0965644861073943,0.0350830461260679,-0.215500012206882,-0.406750817392525,0.457306286907124,-0.171517068945031,0.220669108868068,-0.20218673061324,-0.448710999950664,0.518817256279204,-0.288178768826778,-0.399625983648425,0.0814916040165771,-0.21366000064153,-0.469846523586053,-0.273507968682769,-0.380701152892576,-0.539389178270733,-0.0863545069484704,-0.602935901676503,-0.331949582701688,-0.139299667791348,0.661669282234811,-0.204603233918319,0.491619775962432,-0.196932313454076,0.176897223596605,0.573100714852352,-0.481556877276833,-0.273485889494165,-0.201213560914888
"sample11",0.498242074317552,0.527776445736865,0.714975948819068,0.49818111501453,-0.357197587217983,-0.294803461951078,-0.666486351828064,-0.289720260456569,0.366671224781564,-0.198810987847434,-0.626794326293888,0.0785103466813311,0.798035362330786,-0.649523690679703,-0.545195327412138,-0.44833536054957,-0.199079331652947,-0.614837638338159,-0.626616044618144,0.511283049854671,-0.387850912756573,0.701868315822192,0.753207801194258,-0.528582348985264,-0.352333869447319,-0.54732308093997,0.264653577339927,-0.196037045722814,-0.0929828487733673,0.000174689665899484,-0.00904839854097361,0.432785527405857,0.875912349757083,-0.45502695963408,-0.0484741741756331,-0.471961403921212,0.708472844296537,0.677890429884431,0.760642831207734,0.670253483014896,0.506604467650875,0.62527974344175,-0.176839157961017,-0.364550070237555,-0.489933938846569,0.515567465973382,-0.418120620691566,-0.115798008511939,-0.635272106766397,-0.189118171106479,0.542989961812627,0.430628980293743,-0.163783240963752,0.735692241146994,-0.429932187548231,-0.424536094488619,-0.334147834035354,-0.157629800725036,-0.221743091472636,0.703656998209963,-0.284950733339675,-0.373117017098475,-0.344595430414699,0.00477897800050381,-0.420328644360217,0.231963273066817,0.15371606536499,-0.00230389139156372,0.536295455367177,-0.315305373072274,0.0548668314859349,-0.648690574443573
"sample12",-0.570748380875641,0.00278841247530441,-0.113258350474373,-0.106275907561779,0.506006894120204,-0.551780534767171,-0.219690070529735,-0.0131752689288064,-0.352920400191994,0.16360139881783,0.209807492353334,-0.0551283795236862,0.230664642089479,-0.130554351236291,-0.259982351084887,-0.301298504027971,-0.314577358161006,-0.311816642203887,0.0931990701747448,0.390427356027257,-0.0077586836280379,0.187921449312922,-0.00674503660649768,0.339010574102381,-0.0737956482927989,-0.100646679478698,0.491702284412371,0.249134907587504,0.609402364286273,-0.0569253669117866,0.222762032960604,0.166512859507539,-0.0660013792341334,-0.394687763623077,0.900097863111724,-0.252868080826391,0.0558902767458216,0.0389769799028706,0.00705317150263754,0.0929578563470875,0.0442270258316996,0.304286672361602,-0.235927402832142,0.085401625741231,0.0494412489881806,-0.185553473964313,-0.258674014040222,-0.283709903656851,-0.0412560443027973,0.302380125299493,0.043318382445683,0.550027969926074,0.101153756095648,-0.068780172872753,0.379757048951933,0.304252238018751,-0.0889883476697214,0.340059710116731,0.292043581950159,-0.091662545761362,0.16585067575569,0.598764248859651,-0.406585584367624,-0.450548101465002,0.0228735039748566,0.0119616190822726,0.505371372322186,-0.358044661660568,-0.0382055873384643,0.0773337237561416,-0.313793095148389,0.481965137959961
"sample7",-0.269381628483275,-0.115124210286855,0.0107482457172499,-0.64159626806675,0.0117982177297255,-0.189538304496036,0.517605132305484,-0.479056123052062,0.470307003687759,0.517405354236071,0.248153259811087,0.850692392919329,-0.378995247798581,0.277244953275638,0.069390639828922,-0.163649639992263,-0.276199126046488,0.323410240504693,0.583753049211441,-0.217508735476992,0.551945524300659,-0.412563587197696,-0.386459037999737,0.554720343781267,0.619102974630518,-0.235221142949037,-0.462188297960754,0.59897189537068,0.203806441182049,-0.199408576326402,-0.233632038992641,-0.488821969561453,-0.15235657566476,-0.0607092585325104,-0.213168645711312,0.100491470805506,-0.12799397002369,-0.293114488162947,-0.399782068123875,-0.136141895359957,-0.287329136430904,-0.0824311173049097,-0.545480991577587,0.556527036015041,0.223185895050122,0.149326195190131,-0.219865307122819,-0.588604701728683,-0.106092155362029,0.63593116140048,-0.471532152857419,0.0504553546576666,0.712271389616423,-0.313486298143001,0.551490229610139,0.653783712417621,-0.329147738233023,-0.0142114223439656,0.630210742572701,-0.295973620802752,0.344105833662021,0.0159705719726877,0.622956567399629,-0.0582022435146743,-0.0928511540275013,0.314460146025638,0.368240293706764,0.637034606705009,-0.357063527627022,0.81016328258552,-0.502740976775006,0.359620200990823
"sample8",-0.308059640965472,-0.596268585196983,-0.366402862459122,-0.331447170256941,0.58269181083828,0.23131077348031,0.453338964290917,0.826093537124322,-0.485449039157538,0.424750692131469,-0.162224054832251,-0.375490362221104,-0.242716416474017,0.670280314924597,0.609339647389537,0.701137309373533,-0.0351224596877327,0.199958596795125,0.386993862707387,-0.403653272280709,0.529698328457449,0.22182345817834,-0.388529152022814,0.28937042178568,-0.146160440002994,0.264702146849626,0.414804904457456,0.0013434120783018,0.277397669874331,0.324133224465233,-0.0935857245814412,-0.18524280812283,-0.276460125205628,0.00983316367210026,-0.148766770008138,-0.140057085201868,-0.323777560085962,-0.12485131449839,-0.277772887538103,-0.561868981079728,-0.33678496325532,-0.305972478749037,0.154849887931137,0.469926327174021,0.728885001684129,-0.346504857924817,0.299564541169413,0.0547351307653988,0.662211968844188,0.182854891383705,-0.391131016229233,-0.0971858458674096,0.238762247089681,0.139287099389851,0.230189903031958,0.164368273137284,0.22035794926413,0.694375019042198,0.206191586955865,-0.547865500138424,0.600024983438812,0.485472354385558,-0.235479254774428,-0.493189103639701,0.862657242386246,-0.360351690086182,-0.0975425325391686,0.180531390299872,-0.357063527627022,-0.0787323213786012,0.384893669393011,0.30170095595312
"sample9",0.171158978617392,-0.319650091692111,-0.517583046872494,0.132206890526276,-0.386666514502075,0.714926899062414,0.0811235450614976,0.0165880078850041,-0.37623209914986,-0.646231346680563,0.624011871697935,-0.279569269976928,-0.314320548186924,0.0185377801882008,0.41753069100848,0.395328072160468,0.883442629891132,0.588196638731218,-0.139590141508361,-0.550491462545814,-0.222672226181847,-0.414010627258957,-0.242564245300957,-0.330800370637855,0.458603838976377,0.741475397144542,-0.514463163091581,-0.731217247933722,-0.454823375186307,-0.68576268083993,-0.606765603611894,-0.467053784030734,-0.358121335293126,0.787828977192514,-0.246321536977576,0.824603308062049,-0.559328914279861,-0.592604456845063,-0.345342527612064,-0.353351059749511,-0.484285068489805,-0.637727305856799,0.768314618313541,-0.531804906485856,-0.104827389483339,-0.590141616181506,0.768612469630225,0.712708374264007,0.322595068200276,-0.483337007026535,-0.242462431450862,-0.645747690183296,-0.488778168189575,-0.574204473537669,-0.517844993404269,-0.228021605498984,0.805433939356737,-0.481892353197353,-0.367313641735356,0.318199175441046,-0.222094857840345,-0.395140575417734,0.503003369948471,0.335491188384063,-0.167747714055065,-0.689653124050978,-0.732852885400695,-0.634114667549354,-0.357063527627022,-0.0119024346139529,0.650259460538614,-0.293382159545442
