"","KO","Means","SD"
"num.edges",757,757,0
"num.pos.edges",386,0,0
"num.neg.edges",371,0,0
"num.vertices",410,410,0
"connectance",0.00902856461327449,0.00902856461327449,0
"average.degree",3.69268292682927,3.69268292682927,0
"average.path.length",1.09773539928486,4.67774391665041,0.050711810484992
"diameter",1.97122152121832,10.09,0.766666666666667
"edge.connectivity",0,0,0
"clustering.coefficient",0.977209560867148,0.00914853774593728,0.00322793009578654
"no.clusters",114,11.52,3.10255678205228
"centralization.degree",0.0252012642375813,0.0165949072693661,0.00226499030057471
"centralization.betweenness",0.000586309451596709,0.04408638003636,0.00863893868437046
"centralization.closeness",0.000123394097289377,0.0127922016280134,0.00442897465904341
