"","KO","Means","SD"
"num.edges",469,469,0
"num.pos.edges",276,0,0
"num.neg.edges",193,0,0
"num.vertices",366,366,0
"connectance",0.00702148364398533,0.00702148364398533,0
"average.degree",2.56284153005464,2.56284153005464,0
"average.path.length",1,5.98833954311954,0.167149989307696
"diameter",1,13.87,1.36814406471621
"edge.connectivity",0,0,0
"clustering.coefficient",1,0.00652783781740967,0.00411516997123701
"no.clusters",122,32.86,5.14441935548129
"centralization.degree",0.0121565985477955,0.0159922149861517,0.00230376702789732
"centralization.betweenness",0,0.0762911714274893,0.0195076910749369
"centralization.closeness",6.81950777943874e-05,0.00600719278933758,0.000642190823287303
