"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43","ME44","ME45","ME46","ME47","ME48","ME49","ME50","ME51","ME52","ME53","ME54","ME55","ME56","ME57","ME58","ME59","ME60","ME61","ME62","ME63","ME64","ME65","ME66","ME67","ME68","ME69","ME70","ME71","ME72","ME73","ME74","ME75","ME76","ME77","ME78","ME79","ME80","ME81","ME82","ME83","ME84","ME85","ME86","ME87","ME88","ME89","ME90","ME91","ME92","ME93","ME94","ME95","ME96","ME97","ME98","ME99","ME100","ME101","ME102","ME103","ME104","ME105","ME106","ME107","ME108","ME109","ME110","ME111","ME112","ME113"
"sample13",0.013802557375973,0.341204333401183,-0.0242737776420778,-0.059856654841146,0.497986368222632,-0.0340269674286567,0.325566505307264,0.693759262766405,0.200030175432329,0.0049489607837031,0.350630293902221,0.158909910724909,0.330246477723144,0.30065148211527,-0.122371918494213,0.0939957320505579,-0.307696217920543,0.30147596637474,-0.185992423299542,0.170013387746795,-0.125661076882492,0.875441766392551,-0.539530775465578,0.35302208436764,-0.329732188153435,-0.206326644277992,-0.644997241128169,-0.147509965768203,0.405777148665114,-0.326485625685088,0.555624699156617,-0.119795405768886,-0.224099263754836,0.219279787243525,0.133666518272086,0.161689949967209,0.449051388632225,0.515271102954461,0.216460533098708,0.65868243681084,-0.0448981388132692,0.613405122008718,0.422333532836545,-0.345722177646816,-0.589122458687722,-0.38230886296364,0.185058373847328,-0.201464017267353,-0.428957278759883,0.178969114231433,0.207138814897675,0.60277728369231,0.0647059001848252,-0.545127346999847,-0.570057969243785,-0.574289765372401,-0.115774700927005,-0.290239116351307,-0.358125778814203,0.409580130410006,-0.359144500052073,0.451766418061852,0.772219129824612,0.684341107833017,0.741348066191607,-0.262200231481061,-0.401416749996518,0.362651045175396,-0.10500981217046,0.157056065978915,-0.224240154815043,0.411813647716679,0.729634436929943,0.0642878539035965,0.578449527226664,-0.483087056245494,0.635109552017827,-0.369819399731676,-0.265584796085758,-0.017820829892227,-0.207538633874724,0.497747573797406,0.457871991051817,0.706730572790263,-0.109420357089815,0.534919332663483,0.838816883834198,-0.174135589204461,0.0962318555382093,-0.00809237702224258,-0.0977932201867741,-0.667875233011569,-0.353396319599466,-0.330720708055603,0.0244332591864307,-0.0174092073329755,-0.755486327058325,0.784205220832373,0.49438655057677,-0.176510240372701,-0.429980798331569,0.0185780893102707,-0.261956872044455,-0.287712695985722,0.137368381126709,-0.0104286312350475,0.675132582170942,-0.213896421672204,0.562936941160862,0.416043240634638,0.200100880013241,0.424667133399707,0.357625192961562
"sample14",-0.726247861610317,-0.267426944671948,-0.706061028537467,-0.222206318154453,0.0959033245244283,-0.572452883313271,-0.109133925052706,-0.0333406912941683,-0.424016635962298,-0.382915241293782,-0.353085397031346,-0.298295894335838,-0.330784771660605,-0.732532943025734,-0.601578988817437,-0.706347561185004,-0.675098857278448,-0.466766902836723,-0.430765018519607,0.168772503271385,-0.40815601957435,-0.0120411979628579,-0.0578327244130917,-0.172875584964231,-0.450529722161157,-0.175640782086954,-0.010943840147623,0.217197306290996,-0.515085193405016,-0.0546950406214255,-0.278545119235154,-0.273581574167587,-0.103492078684829,-0.474830351817262,-0.166449020616268,0.35040130122607,0.48687618604786,-0.32609187365935,-0.217515568976613,-0.334555655988664,-0.0127984011678325,-0.0915330648895619,-0.251743487479451,-0.260076318587128,0.165774519580623,0.710505094514678,0.608637458957398,-0.112054358163734,-0.0333407764573168,-0.452303925569118,-0.627009711610994,-0.686196462568929,0.234076146080607,-0.0125983639528798,-0.0598409428907224,0.000454102174816617,0.288110584298852,-0.101838996688828,0.0691821704603002,-0.363314089982634,0.165117411269306,-0.571873420904752,-0.449609323588826,-0.265667986950581,-0.496003058835309,0.128019677537002,0.118486529547812,-0.613641834355303,-0.205447714292269,-0.587997484904421,0.163625789850078,-0.505106561138938,-0.17296420022386,-0.612409757716601,-0.340605510680068,0.375134233856441,-0.45003955084708,0.398245604913964,0.169247540614132,0.1749976271915,-0.254750449187609,0.436186940369418,-0.625246507110908,-0.216872076217045,-0.0976391808022649,-0.729340528402027,-0.215678646136083,-0.163196128677021,-0.296138694816891,-0.674835345131377,-0.0662628119076003,0.211424064266799,0.57741253053436,0.481126325488837,-0.344218633923034,-0.214545148613975,0.209191099475525,-0.311780776766582,-0.652863544458978,-0.294652738257267,-0.582488483248433,-0.301523755619018,-0.309315918157829,0.347147439078849,-0.431199852107965,0.395834080404409,-0.593020642906787,0.296215939382201,-0.676470970878461,-0.113082117844806,-0.0291023549736127,-0.271207911634874,-0.0453338565763016
"sample15",-0.0879015942458374,-0.151778861968413,0.20941013171693,0.723697416527178,-0.437390308079845,0.00627331860604938,0.135158107165637,-0.490400594752741,0.696319352949881,-0.564670561409225,0.545390201382509,0.608001663061624,0.591415117536603,0.446513340790057,0.0264460321541129,0.119072386668124,0.187742584605853,-0.151445380424561,-0.538137051152632,0.224276823989736,0.874981509971988,-0.0642949214131066,-0.427563603815961,0.538381489322057,-0.0610511380764787,-0.706385422647555,0.753494574789093,-0.0836162893501819,0.653800486177839,-0.304203072969897,0.126748620618325,-0.173751023978666,0.031020980006203,-0.0730914092840627,0.725243807041793,0.592446513037131,-0.626216957356978,0.476890279654432,-0.115681828292916,-0.377208294096267,-0.304229882419072,-0.0934592725128813,-0.164023579807991,-0.338803778759713,-0.373283340028654,-0.519528531436572,-0.758811212781557,0.89864101457327,-0.337965794265676,0.15559846335769,-0.192387812806372,0.351148612768177,-0.606820953448151,-0.202828840388083,0.0479428767737345,0.769106045273342,-0.365828360632514,-0.631274696282098,-0.576406325212775,0.532776979270771,-0.573315856716196,0.519765143912233,0.201180492470902,0.287189516302375,0.281545163971156,-0.577488645139095,-0.571103816469152,0.349180025535782,-0.626427582260079,0.621902034288223,-0.166721470497876,0.648100559553488,0.052763749978651,0.666685835266132,0.116741353361011,-0.528224666699902,0.143251274926991,-0.67031087666012,-0.631578172974204,-0.662212926198372,0.842176431391093,-0.538229787085416,0.4955965364774,0.292275311091841,0.226717191784834,0.174099622136499,0.0903623148416513,0.728098916707792,0.730850659605277,0.398582876118076,-0.280147339444843,0.205990412978079,-0.0394740159012142,-0.1607726593739,0.0105549880620005,0.220581912289419,0.0184291065436263,0.0896207889537223,-0.363209019661982,-0.530364074090908,-0.106620836064332,0.659324739637888,0.127335155547018,-0.537562730627378,0.400600163392962,0.539922710047621,0.256696639377821,-0.5908942814065,0.366821766281838,-0.00900071974119111,-0.406800964736687,-0.340267393026564,-0.83887451508315
"sample16",-0.142359956278949,-0.653063048144586,0.319420991749269,-0.418588883827252,-0.335061456011915,-0.15927566462008,-0.379473700814968,-0.467698307457681,0.105402759201766,-0.0834816633585306,-0.608379065620864,-0.123004269288461,0.248160698585693,-0.315386999364815,-0.321012755579745,-0.264455872153812,0.0705242748139661,-0.385560326545955,0.245534110130696,-0.841378405503868,-0.0740683737334216,-0.334264648732358,0.254775567439376,-0.735640465481654,-0.102637694682724,0.447049850347116,0.0295009357147581,-0.777865551497993,-0.0453542842803768,-0.41574579814669,-0.527331447378796,-0.103586950674183,-0.652206963340397,-0.542280818838994,0.0780634618882363,-0.12400663300469,0.198898910751264,-0.599712399292967,-0.552059399921472,-0.422062351832812,-0.478015704769768,-0.244001047035448,-0.389682499498289,-0.139052491341004,-0.0330292028037087,0.253059020933922,-0.0785530385207953,-0.28287456668792,-0.234302752853732,-0.596221306427716,-0.311739028844979,-0.0458070339767747,-0.104687009069087,-0.208215573323499,-0.409584805281537,-0.0235913796200942,-0.599545260716293,0.0167887722432556,0.225020558839893,-0.12707211830829,-0.143387089881759,-0.174550666897392,-0.205309120835562,0.0383961944531392,-0.05842298254085,-0.180737792472722,-0.0980527111665792,0.454780969995012,-0.0791338846416715,0.296548815908798,-0.620628192353824,-0.00910584372409494,0.201260907291103,-0.112410304971034,-0.167107300538096,0.551196122773012,-0.0994349756441357,0.0197316126086374,0.0773912792657875,-0.310542407637502,-0.000746603787518535,-0.469828488276678,-0.349956414826162,-0.285679819599881,0.766141435950925,0.221892974505443,-0.123500666694134,-0.34493290599888,0.0221905821692339,0.471433479213661,-0.56457999895584,-0.329721871744546,-0.0916519890866645,-0.3818105558996,-0.64745775605729,0.616138968110624,0.547350370384523,-0.460337251422948,0.169780763673695,0.1373401914541,0.522637799161884,-0.587647984942127,-0.162028950475467,0.586944424159454,-0.453081361494104,-0.0197981472394937,-0.321427390215638,0.501364101624084,-0.270451041989262,-0.497039132955036,-0.115046061427111,-0.560437294645196,0.360976897447292
"sample17",0.467329841373514,0.583828615593104,-0.308335171019844,0.340486722704636,0.549331827347103,-0.0429438708442545,-0.585824907110445,0.0650390799255803,-0.0466507776634398,0.536187171870439,-0.170590686505663,-0.642511732150033,-0.514837026389501,0.0300982392759921,0.490682353723666,0.6248771897164,0.63325585244662,-0.0183365519715565,0.363846058811703,0.409031670684138,-0.2072672284733,-0.163313863959647,0.669042314433842,0.0931774506801396,0.133954356628108,0.425796469388122,-0.00368158878390844,0.448482298961134,-0.338873648343827,0.453641135425662,-0.333168378621568,0.903227723563192,0.297409174735777,0.590038910703363,-0.134761591145109,-0.534898080040502,-0.265577506016698,0.106246777693877,-0.092237383934797,0.135331069296862,0.0174700485564314,-0.607026645015072,0.694605962339022,0.75578890101972,0.68021100468551,-0.112007019764358,0.100559490867729,-0.233602604230282,0.282122334806413,0.103175043854735,0.424103420675008,-0.0221761994796176,-0.281827129817728,0.211505587023035,0.565835111050207,-0.263847306069728,0.615435718296601,0.506010450614093,0.693708791937546,-0.612061549443341,0.655097264459377,-0.379862048189268,-0.343886893659922,-0.595943042059075,-0.311603913801508,0.17187923819834,0.609866099777054,-0.348204950859354,0.381630718624705,-0.378023637258044,0.698250181729156,-0.216884834743578,-0.223944715183585,-0.289168011398507,-0.588843379151994,0.182939645589737,-0.525233576230041,0.135875462780213,-0.0517981016863385,0.633079666759001,0.0459018904214323,0.193284522587735,-0.113829302264466,-0.53390802429842,-0.518159846085607,0.10177418671637,-0.456866032220766,0.359762018687981,-0.604764825566811,0.176560160979587,0.304403342423612,0.598140039284652,0.467088357796143,-0.257018522507369,0.52293943565451,-0.716214396931891,0.196846374055831,-0.227913855303949,-0.055008604283657,0.754944831445782,0.380164318976805,-0.124996999531676,0.855086945055096,0.226048645802261,-0.256650117237616,-0.718571160625633,0.0989261537244967,-0.361056448584137,0.102495874152726,-0.421132166044623,0.774941862572687,0.509718914625057,0.18844775730224
"sample18",0.475377013385615,0.147235905790661,0.509838853733189,-0.363532282408963,-0.370769756002404,0.802426067600214,0.613707920505218,0.232641250812605,-0.531084873958239,0.489931333407396,0.236034653873143,0.2969003219878,-0.324200495795334,0.27065688020923,0.527835277013616,0.132858124903733,0.0912723633325536,0.720633195404057,0.545514324029382,-0.130715980188186,-0.0598288113084233,-0.301527134324582,0.101109221821414,-0.0760649739239506,0.809996386445687,0.215506529277264,-0.12337284044415,0.343312201364248,-0.160264508813733,0.647488401997439,0.456671625460576,-0.232512768973869,0.651368151038082,0.28088388199343,-0.635763175440739,-0.445633051185218,-0.243032022057672,-0.172603887350453,0.76103364802709,0.339812795810041,0.82247207861351,0.422614907444245,-0.311489928389837,0.327865865314941,0.149449477253951,0.0502802987159702,-0.0568910723701023,-0.0686454682239806,0.752444267530195,0.610782610552976,0.499894317689662,-0.199746200435165,0.694553046069534,0.757264537641274,0.425705729592103,0.0921683036140652,0.177602019680358,0.500553586464883,-0.0533794172107612,0.160090648053489,0.255632770921345,0.154754574017328,0.0254057157887971,-0.148315789578876,-0.156863274985095,0.720527753357537,0.342220648307384,-0.204765255491534,0.634388274739775,-0.109485794013471,0.149713846087508,-0.328816967663557,-0.586750178792252,0.283014384916413,0.401365309782483,-0.0979582792737944,0.296347275776438,0.486277596088982,0.70232225086638,0.182498869777601,-0.425042634962673,-0.119160761392466,0.13556369667232,0.0374540362332424,-0.267639243758073,-0.303345587619768,-0.133133853624867,-0.405596311515411,0.0516304230709837,-0.363648794157705,0.704380028071446,-0.0179574117734173,-0.559978563743158,0.649196120347636,0.433748707077383,0.111447872478798,-0.216330623401181,0.126205873707384,0.406913854154151,0.109242029820994,0.216287999505645,0.336265911144662,-0.249120359924361,-0.334865082427464,0.602962786320014,-0.186958851351856,-0.116307342150835,0.368267110656557,-0.085332568727704,0.624210895951019,-0.424093361448516,0.23752655128187,-0.0228414760516421
