"","ID","group","degree"
"79","ASV_599",66,6
"80","ASV_414",66,6
"81","ASV_3531",66,6
"82","ASV_3819",66,6
"83","ASV_734",66,6
"84","ASV_52",69,5
"85","ASV_29",70,5
"86","ASV_75",72,5
"87","ASV_19",71,5
"88","ASV_130",71,5
"89","ASV_99",69,5
"90","ASV_229",68,5
"91","ASV_424",68,5
"92","ASV_1159",69,5
"93","ASV_53",69,5
"94","ASV_309",72,5
"95","ASV_301",68,5
"96","ASV_134",67,5
"97","ASV_294",68,5
"98","ASV_267",72,5
"99","ASV_93",70,5
"100","ASV_459",71,5
"101","ASV_1609",67,5
"102","ASV_1341",71,5
"103","ASV_63",70,5
"104","ASV_145",72,5
"105","ASV_277",72,5
"106","ASV_318",9,5
"107","ASV_541",71,5
"108","ASV_1402",9,5
"109","ASV_210",67,5
"110","ASV_1102",72,5
"111","ASV_1610",67,5
"112","ASV_653",9,5
"113","ASV_569",67,5
"114","ASV_1584",69,5
"115","ASV_903",69,5
"116","ASV_4700",9,5
"117","ASV_843",70,5
"118","ASV_1519",71,5
"119","ASV_2088",67,5
"120","ASV_932",70,5
"121","ASV_896",9,5
"122","ASV_805",9,5
"123","ASV_159",68,5
"124","ASV_972",68,5
"125","ASV_1483",70,5
"126","ASV_47",23,4
"127","ASV_38",74,4
"128","ASV_757",50,4
"129","ASV_122",74,4
"130","ASV_69",75,4
"131","ASV_189",73,4
"132","ASV_113",12,4
"133","ASV_178",12,4
"134","ASV_247",75,4
"135","ASV_194",50,4
"136","ASV_273",23,4
"137","ASV_1217",23,4
"138","ASV_323",73,4
"139","ASV_425",50,4
"140","ASV_1743",75,4
"141","ASV_346",50,4
"142","ASV_708",75,4
"143","ASV_147",74,4
"144","ASV_630",23,4
"145","ASV_731",74,4
"146","ASV_386",74,4
"147","ASV_735",23,4
"148","ASV_369",12,4
"149","ASV_431",73,4
"150","ASV_680",75,4
"151","ASV_819",12,4
"152","ASV_158",73,4
"153","ASV_1413",12,4
"154","ASV_183",50,4
"155","ASV_104",73,4
"156","ASV_7",35,3
"157","ASV_21",52,3
"158","ASV_196",78,3
"159","ASV_213",77,3
"160","ASV_36",80,3
"161","ASV_49",78,3
"162","ASV_24",31,3
"163","ASV_92",35,3
"164","ASV_23",52,3
"165","ASV_370",54,3
"166","ASV_101",35,3
"167","ASV_72",54,3
"168","ASV_316",77,3
"169","ASV_842",79,3
"170","ASV_135",31,3
"171","ASV_694",26,3
"172","ASV_200",80,3
"173","ASV_775",38,3
"174","ASV_2210",76,3
"175","ASV_390",38,3
"176","ASV_921",38,3
"177","ASV_384",13,3
"178","ASV_73",77,3
"179","ASV_964",4,3
"180","ASV_812",78,3
"181","ASV_282",31,3
"182","ASV_546",35,3
"183","ASV_1198",13,3
"184","ASV_2975",49,3
"185","ASV_1304",79,3
"186","ASV_182",49,3
"187","ASV_689",26,3
"188","ASV_663",53,3
"189","ASV_651",76,3
"190","ASV_187",13,3
"191","ASV_280",13,3
"192","ASV_151",31,3
"193","ASV_366",54,3
"194","ASV_1551",80,3
"195","ASV_314",53,3
"196","ASV_125",38,3
"197","ASV_568",28,3
"198","ASV_298",52,3
"199","ASV_363",53,3
"200","ASV_266",28,3
"201","ASV_540",78,3
"202","ASV_1380",76,3
"203","ASV_495",52,3
"204","ASV_1125",79,3
"205","ASV_261",49,3
"206","ASV_654",28,3
"207","ASV_3518",26,3
"208","ASV_137",49,3
"209","ASV_341",77,3
"210","ASV_1101",28,3
"211","ASV_4768",79,3
"212","ASV_393",53,3
"213","ASV_5449",76,3
"214","ASV_403",4,3
"215","ASV_907",4,3
"216","ASV_1793",54,3
"217","ASV_1059",4,3
"218","ASV_2262",80,3
"219","ASV_922",26,3
"220","ASV_30",17,2
"221","ASV_442",46,2
"222","ASV_152",19,2
"223","ASV_103",58,2
"224","ASV_50",85,2
"225","ASV_88",81,2
"226","ASV_15",87,2
"227","ASV_55",45,2
"228","ASV_20",83,2
"229","ASV_31",11,2
"230","ASV_292",11,2
"231","ASV_244",84,2
"232","ASV_1292",58,2
"233","ASV_67",19,2
"234","ASV_227",56,2
"235","ASV_219",3,2
"236","ASV_440",7,2
"237","ASV_65",33,2
"238","ASV_228",17,2
"239","ASV_124",88,2
"240","ASV_342",18,2
"241","ASV_111",19,2
"242","ASV_263",48,2
"243","ASV_619",45,2
"244","ASV_202",86,2
"245","ASV_133",42,2
"246","ASV_707",3,2
"247","ASV_149",11,2
"248","ASV_313",7,2
"249","ASV_218",57,2
"250","ASV_1168",55,2
"251","ASV_107",88,2
"252","ASV_232",33,2
"253","ASV_59",55,2
"254","ASV_661",7,2
"255","ASV_2254",87,2
"256","ASV_339",42,2
"257","ASV_27",81,2
"258","ASV_858",48,2
"259","ASV_94",82,2
"260","ASV_489",87,2
"261","ASV_1841",88,2
"262","ASV_170",18,2
"263","ASV_643",85,2
"264","ASV_420",55,2
"265","ASV_683",56,2
"266","ASV_830",45,2
"267","ASV_1128",3,2
"268","ASV_634",42,2
"269","ASV_670",83,2
"270","ASV_486",84,2
"271","ASV_583",85,2
"272","ASV_609",81,2
"273","ASV_1411",82,2
"274","ASV_693",83,2
"275","ASV_965",58,2
"276","ASV_249",57,2
"277","ASV_1342",46,2
"278","ASV_1056",48,2
"279","ASV_4240",33,2
"280","ASV_627",57,2
"281","ASV_1051",56,2
"282","ASV_231",18,2
"283","ASV_739",82,2
"284","ASV_596",17,2
"285","ASV_1607",46,2
"286","ASV_1036",86,2
"287","ASV_255",84,2
"288","ASV_1",86,2
"289","ASV_5",39,1
"290","ASV_11",14,1
"291","ASV_39",15,1
"292","ASV_33",1,1
"293","ASV_18",102,1
"294","ASV_44",41,1
"295","ASV_25",51,1
"296","ASV_82",110,1
"297","ASV_9",24,1
"298","ASV_191",104,1
"299","ASV_387",43,1
"300","ASV_64",101,1
"301","ASV_1339",37,1
"302","ASV_375",104,1
"303","ASV_70",91,1
"304","ASV_179",92,1
"305","ASV_381",25,1
"306","ASV_127",5,1
"307","ASV_156",27,1
"308","ASV_136",109,1
"309","ASV_116",111,1
"310","ASV_32",40,1
"311","ASV_114",10,1
"312","ASV_86",20,1
"313","ASV_165",32,1
"314","ASV_141",100,1
"315","ASV_272",99,1
"316","ASV_17",2,1
"317","ASV_144",24,1
"318","ASV_54",6,1
"319","ASV_61",103,1
"320","ASV_143",112,1
"321","ASV_169",22,1
"322","ASV_608",43,1
"323","ASV_171",1,1
"324","ASV_283",113,1
"325","ASV_105",106,1
"326","ASV_197",30,1
"327","ASV_1512",47,1
"328","ASV_338",10,1
"329","ASV_1295",108,1
"330","ASV_180",16,1
"331","ASV_279",20,1
"332","ASV_291",96,1
"333","ASV_502",94,1
"334","ASV_296",92,1
"335","ASV_361",110,1
"336","ASV_417",90,1
"337","ASV_367",36,1
"338","ASV_220",96,1
"339","ASV_476",51,1
"340","ASV_362",44,1
"341","ASV_846",90,1
"342","ASV_286",95,1
"343","ASV_118",113,1
"344","ASV_87",5,1
"345","ASV_407",111,1
"346","ASV_378",47,1
"347","ASV_1355",41,1
"348","ASV_624",112,1
"349","ASV_815",34,1
"350","ASV_2560",108,1
"351","ASV_536",32,1
"352","ASV_580",27,1
"353","ASV_455",15,1
"354","ASV_542",36,1
"355","ASV_310",44,1
"356","ASV_1067",107,1
"357","ASV_471",21,1
"358","ASV_1064",2,1
"359","ASV_211",105,1
"360","ASV_723",34,1
"361","ASV_3834",8,1
"362","ASV_556",30,1
"363","ASV_554",105,1
"364","ASV_923",103,1
"365","ASV_473",102,1
"366","ASV_447",25,1
"367","ASV_222",37,1
"368","ASV_132",6,1
"369","ASV_732",40,1
"370","ASV_703",109,1
"371","ASV_302",98,1
"372","ASV_622",97,1
"373","ASV_409",8,1
"374","ASV_572",16,1
"375","ASV_532",95,1
"376","ASV_224",93,1
"377","ASV_498",101,1
"378","ASV_1671",94,1
"379","ASV_174",91,1
"380","ASV_2691",98,1
"381","ASV_233",97,1
"382","ASV_838",39,1
"383","ASV_394",21,1
"384","ASV_3169",89,1
"385","ASV_1192",99,1
"386","ASV_626",22,1
"387","ASV_998",89,1
"388","ASV_543",106,1
"389","ASV_413",107,1
"390","ASV_2118",14,1
"391","ASV_1177",93,1
"392","ASV_2342",100,1
"393","ASV_22",58,0
"394","ASV_28",57,0
"395","ASV_16",39,0
"396","ASV_79",56,0
"397","ASV_62",21,0
"398","ASV_13",15,0
"399","ASV_840",55,0
"400","ASV_589",25,0
"401","ASV_10",9,0
"402","ASV_206",54,0
"403","ASV_68",53,0
"404","ASV_1032",52,0
"405","ASV_57",17,0
"406","ASV_1417",33,0
"407","ASV_456",24,0
"408","ASV_123",51,0
"409","ASV_336",50,0
"410","ASV_324",49,0
"411","ASV_334",11,0
"412","ASV_161",28,0
"413","ASV_328",48,0
"414","ASV_157",47,0
"415","ASV_416",46,0
"416","ASV_262",45,0
"417","ASV_173",44,0
"418","ASV_239",43,0
"419","ASV_265",42,0
"420","ASV_207",27,0
"421","ASV_305",32,0
"422","ASV_153",15,0
"423","ASV_155",41,0
"424","ASV_162",10,0
"425","ASV_299",15,0
"426","ASV_3",30,0
"427","ASV_352",40,0
"428","ASV_186",15,0
"429","ASV_1172",3,0
"430","ASV_192",15,0
"431","ASV_320",39,0
"432","ASV_138",24,0
"433","ASV_58",15,0
"434","ASV_576",15,0
"435","ASV_242",38,0
"436","ASV_117",37,0
"437","ASV_1222",34,0
"438","ASV_77",36,0
"439","ASV_2574",35,0
"440","ASV_322",34,0
"441","ASV_415",33,0
"442","ASV_252",32,0
"443","ASV_488",31,0
"444","ASV_564",30,0
"445","ASV_248",29,0
"446","ASV_742",28,0
"447","ASV_474",27,0
"448","ASV_1207",15,0
"449","ASV_468",26,0
"450","ASV_581",25,0
"451","ASV_1453",24,0
"452","ASV_376",23,0
"453","ASV_625",15,0
"454","ASV_927",22,0
"455","ASV_223",21,0
"456","ASV_245",15,0
"457","ASV_372",20,0
"458","ASV_1454",15,0
"459","ASV_106",8,0
"460","ASV_399",15,0
"461","ASV_193",19,0
"462","ASV_504",18,0
"463","ASV_2319",15,0
"464","ASV_199",17,0
"465","ASV_535",15,0
"466","ASV_462",1,0
"467","ASV_1309",15,0
"468","ASV_562",16,0
"469","ASV_2801",15,0
"470","ASV_465",15,0
"471","ASV_1300",14,0
"472","ASV_274",15,0
"473","ASV_565",13,0
"474","ASV_356",12,0
"475","ASV_389",15,0
"476","ASV_154",15,0
"477","ASV_358",1,0
"478","ASV_558",15,0
"479","ASV_587",11,0
"480","ASV_883",10,0
"481","ASV_912",1,0
"482","ASV_2683",9,0
"483","ASV_855",8,0
"484","ASV_702",8,0
"485","ASV_494",15,0
"486","ASV_593",7,0
"487","ASV_1038",6,0
"488","ASV_3607",15,0
"489","ASV_1182",5,0
"490","ASV_2238",15,0
"491","ASV_1538",1,0
"492","ASV_1498",4,0
"493","ASV_521",3,0
"494","ASV_799",15,0
"495","ASV_655",15,0
"496","ASV_893",15,0
"497","ASV_221",15,0
"498","ASV_1843",15,0
"499","ASV_1233",2,0
"500","ASV_250",1,0
