"","ID","group","degree"
"1","ASV_40",59,11
"2","ASV_41",59,11
"3","ASV_81",59,11
"4","ASV_95",59,11
"5","ASV_970",59,11
"6","ASV_85",59,11
"7","ASV_190",59,11
"8","ASV_235",59,11
"9","ASV_421",59,11
"10","ASV_258",59,11
"11","ASV_1025",59,11
"12","ASV_2633",59,11
"13","ASV_96",60,10
"14","ASV_290",60,10
"15","ASV_109",60,10
"16","ASV_332",60,10
"17","ASV_201",60,10
"18","ASV_350",60,10
"19","ASV_76",60,10
"20","ASV_300",60,10
"21","ASV_230",60,10
"22","ASV_617",60,10
"23","ASV_438",60,10
"24","ASV_35",29,8
"25","ASV_80",29,8
"26","ASV_2",61,8
"27","ASV_66",62,8
"28","ASV_142",61,8
"29","ASV_60",63,8
"30","ASV_348",64,8
"31","ASV_71",62,8
"32","ASV_276",29,8
"33","ASV_129",64,8
"34","ASV_253",29,8
"35","ASV_1180",29,8
"36","ASV_51",29,8
"37","ASV_874",29,8
"38","ASV_83",64,8
"39","ASV_1709",63,8
"40","ASV_78",64,8
"41","ASV_34",29,8
"42","ASV_451",62,8
"43","ASV_398",62,8
"44","ASV_164",29,8
"45","ASV_404",61,8
"46","ASV_772",64,8
"47","ASV_205",63,8
"48","ASV_1228",63,8
"49","ASV_433",61,8
"50","ASV_1018",63,8
"51","ASV_513",64,8
"52","ASV_445",64,8
"53","ASV_308",62,8
"54","ASV_1688",62,8
"55","ASV_226",63,8
"56","ASV_497",64,8
"57","ASV_377",62,8
"58","ASV_493",62,8
"59","ASV_1054",62,8
"60","ASV_2951",61,8
"61","ASV_725",63,8
"62","ASV_792",61,8
"63","ASV_84",61,8
"64","ASV_808",61,8
"65","ASV_511",61,8
"66","ASV_918",64,8
"67","ASV_3106",63,8
"68","ASV_1138",63,8
"69","ASV_46",65,7
"70","ASV_45",65,7
"71","ASV_131",65,7
"72","ASV_42",65,7
"73","ASV_148",65,7
"74","ASV_1090",65,7
"75","ASV_347",65,7
"76","ASV_2709",65,7
"77","ASV_304",66,6
"78","ASV_1111",66,6
