OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_105	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_645	Bacteria	Cyanobacteria	Chloroplast	Heterosigma akashiwo	Unassigned	Unassigned	Unassigned
OTU_261	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_243	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_258	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	Unassigned
OTU_693	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_325	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_18	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_169	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_5514	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Spirulina	Phormidium sp. MBIC10025
OTU_29	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_153	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_70	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Candidatus Methylopumilus	uncultured bacterium
OTU_921	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter	uncultured bacterium
OTU_190	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_304	Bacteria	Chlorobi	Chlorobia	Chlorobiales	OPB56	uncultured bacterium	Unassigned
OTU_16	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_170	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	Unassigned
OTU_95	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_140	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_79	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	uncultured	uncultured bacterium
OTU_60	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_115	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	uncultured bacterium
OTU_228	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_834	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_50	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Candidatus Methylopumilus	uncultured bacterium
OTU_35	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_937	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Spirulina	Phormidium sp. MBIC10025
OTU_129	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_370	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales Incertae Sedis	uncultured	uncultured bacterium
OTU_157	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	uncultured	uncultured bacterium
OTU_160	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_891	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_154	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured actinobacterium
OTU_2247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured bacterium
OTU_340	Bacteria	Cyanobacteria	Chloroplast	Guillardia theta	Unassigned	Unassigned	Unassigned
OTU_578	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
