OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_65	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_2769	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter	uncultured bacterium
OTU_802	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	uncultured bacterium
OTU_892	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	uncultured actinobacterium	Unassigned
OTU_183	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	uncultured Bacteroidetes bacterium
OTU_30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	uncultured bacterium
OTU_34	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_132	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_401	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_5616	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Spirulina	Phormidium sp. MBIC10025
OTU_4729	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10 marine group	uncultured bacterium
OTU_3551	Bacteria	Cyanobacteria	Chloroplast	uncultured diatom	Unassigned	Unassigned	Unassigned
OTU_69	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	uncultured actinobacterium	Unassigned
OTU_1262	Bacteria	Cyanobacteria	Chloroplast	Heterosigma akashiwo	Unassigned	Unassigned	Unassigned
OTU_1897	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	uncultured bacterium
OTU_365	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured actinobacterium
OTU_403	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured Actinomycetales bacterium
OTU_1687	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Spirulina	Phormidium sp. MBIC10025
OTU_981	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae (Subgroup 4)	Unassigned	uncultured bacterium
OTU_266	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_1451	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Sphaerotilus	uncultured bacterium
OTU_4527	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Solimonadaceae	uncultured	uncultured gamma proteobacterium
OTU_275	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	uncultured bacterium
OTU_68	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	uncultured bacterium
OTU_969	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter	uncultured bacterium
OTU_3136	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured prokaryote
OTU_948	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	LD12 freshwater group	uncultured bacterium	Unassigned
OTU_1574	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_3750	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10 marine group	uncultured bacterium
OTU_282	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_2127	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	MWH-UniP1 aquatic group	uncultured bacterium
OTU_523	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	uncultured	uncultured bacterium
OTU_315	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_839	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales Incertae Sedis	uncultured	uncultured bacterium
OTU_2025	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured bacterium
OTU_167	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Betaproteobacteria bacterium UKL13-2
OTU_339	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	uncultured bacterium
OTU_46	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	uncultured bacterium
OTU_5033	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Dinghuibacter	uncultured bacterium
OTU_2023	Bacteria	Cyanobacteria	Chloroplast	uncultured diatom	Unassigned	Unassigned	Unassigned
OTU_667	Bacteria	Cyanobacteria	Chloroplast	uncultured diatom	Unassigned	Unassigned	Unassigned
OTU_72	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Unassigned
OTU_1238	Bacteria	Cyanobacteria	Chloroplast	Guillardia theta	Unassigned	Unassigned	Unassigned
