#OTUID	SY01_1	SY01_2	SY01_3	SY02_1	SY02_2	SY02_3	SY03_1	SY03_2	SY03_3	SY04_1	SY04_2	SY04_3	SY05_1	SY05_2	SY05_3	SY06_1	SY06_2	SY06_3	SY07_1	SY07_2	SY07_3	SY08_1	SY08_2	SY08_3	SY09_1	SY09_2	SY09_3	SY10_1	SY10_2	SY10_3	SY11_1	SY11_2	SY11_3	SY12_2	SY12_3
OTU_9051	0	0	0	0	0	0	0	0	0	0	0	0	2	9	13	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_10356	0	0	0	0	0	0	0	0	0	0	0	0	4	2	5	1	0	0	0	2	35	2	0	4	4	4	32	0	2	0	0	0	0	0	0
OTU_11265	0	0	0	0	0	0	0	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11444	0	0	0	0	0	0	0	0	0	0	0	0	11	36	150	2	0	0	0	5	21	2	0	2	0	1	0	0	2	0	0	0	0	0	0
OTU_8603	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	2	0	0	1	6	1	3	1	2	1	1	0	1	0	0	0	0	0	0	0
OTU_11403	0	0	0	0	0	0	0	0	0	0	0	0	4	3	16	3	1	0	5	0	0	4	2	3	2	2	6	0	2	1	0	0	0	0	0
OTU_9694	0	0	0	0	0	0	0	0	0	0	0	0	2	2	9	0	0	0	0	0	0	0	2	1	0	4	0	0	2	0	0	1	0	0	0
OTU_5381	0	0	0	0	0	0	0	0	0	0	0	0	6	5	42	2	0	0	1	2	3	1	0	1	1	4	7	0	0	0	0	0	0	0	0
OTU_6935	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	0	2	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_5610	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	4	0	0	6	4	7	4	0	0	23	3	5	0	5	0	0	0	0	0	0
OTU_3795	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4008	0	0	0	0	0	0	0	0	0	0	0	0	6	7	10	4	0	0	5	0	0	1	90	2	2	15	4	3	6	3	0	0	0	0	0
OTU_4858	0	0	0	0	0	0	0	0	0	0	0	0	6	8	78	0	0	0	0	0	3	0	0	8	0	0	1	0	0	1	0	0	0	0	0
OTU_7552	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
OTU_12220	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	2	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0
OTU_11771	0	0	0	0	0	0	0	0	0	0	0	0	8	4	2	1	0	2	9	1	0	6	3	3	5	1	0	3	1	1	0	0	2	0	0
OTU_11235	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	7	0	0	2	2	0	0	0	0	8	1	20	0	0	0	0	0	0	0	0
OTU_5785	0	0	0	0	0	0	0	0	0	0	0	0	1	3	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11030	0	0	0	0	0	0	0	0	0	0	0	0	3	24	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7699	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10667	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	6	1	0	3	3	5	0	7	0	16	12	15	0	76	35	0	0	0	0	0
OTU_7673	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	4	1	1	11	0	1	0	11	8	0	0	0	0	0
OTU_11336	0	0	0	0	0	0	0	0	0	0	0	0	6	5	30	3	0	0	1	3	3	0	3	2	0	0	0	1	0	0	0	0	0	0	0
OTU_4979	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	12	1	0	9	74	11	3	1	0	4	14	1	0	0	0	0	0	0	0	0
OTU_11334	0	0	0	0	0	0	0	0	0	0	0	0	2	15	37	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_11791	0	0	0	0	0	0	0	0	0	0	0	0	4	3	192	6	0	0	3	1	33	0	0	4	9	0	1	0	0	0	0	0	0	0	0
OTU_11220	0	0	0	0	0	0	0	0	0	0	0	0	2	4	32	6	0	0	4	1	4	0	2	3	0	0	0	0	0	0	0	0	0	0	0
OTU_7366	0	0	0	0	0	0	0	0	0	0	0	0	3	1	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6174	0	0	0	0	0	0	0	0	0	0	0	0	9	5	6	4	0	0	3	1	0	7	25	1	3	17	4	5	13	0	0	3	0	0	0
OTU_8803	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	6	0	0	4	0	8	0	1	0	0	3	5	0	0	0	0	0	0	0	0
OTU_9685	0	0	0	0	0	0	0	0	0	0	0	0	1	5	18	0	0	2	0	0	3	1	4	0	1	9	4	2	7	3	0	1	0	0	0
OTU_6985	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	3	0	1	0	6	1	1	0	0	0	0	0	0	0
OTU_4685	0	0	0	0	0	0	0	0	0	0	0	0	1	4	12	0	1	1	2	2	26	3	21	2	1	0	7	0	0	0	0	11	1	0	0
OTU_11779	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	4	0	2	2	1	1	2	0	4	0	1	1	0	0	0	0	0
OTU_11817	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	41	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_10362	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	2	0	43	1	1	8	0	0	1	0	0	1	1	0	3	0	0	0	0
OTU_8512	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11	0	0	7	48	0	0	83	0	0	44	3	0	5	0	1	0
OTU_8286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0
OTU_9656	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	15	2	2	0	0	0	3	0	6	0	0	0	0	0	0	0	0
OTU_11289	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	5	0	2	0	1	3	1	2	0	0	0	0	0	0	0	0	1
OTU_4428	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	1	6	7	1	0	0	21	1	25	0	0	0	0	0	0	0	0
OTU_8680	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0
OTU_6352	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	4	0	0	1	8	9	1	0	6	9	2	1	2	0	0	0	0	0	0	0
OTU_7450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	2	2	2	0	0	11	1	0	0	0	0	0	0	0	0	0
OTU_11675	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	1	2	10	1	27	3	0	0	1	0	1	1	0	3	0	0	0
OTU_11284	0	0	0	0	0	0	0	0	0	0	0	0	1	13	28	1	0	0	2	3	9	0	4	2	0	0	0	0	0	0	0	0	0	0	0
OTU_12279	0	0	0	0	0	0	0	0	0	0	0	0	1	8	28	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_5349	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	8	0	0	4	6	10	3	0	6	8	0	4	0	0	0	0	0	0	0	0
OTU_9843	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	1	0	0	0	0	1	1	0	0	5	0	5	0	0	0	0	0	0	0	0
OTU_6480	0	0	0	0	0	0	0	0	0	0	0	0	8	3	44	1	0	0	0	3	43	0	0	1	2	0	1	0	0	0	0	0	0	0	0
OTU_10262	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11931	0	0	0	0	0	0	0	0	0	0	0	0	3	7	34	0	0	0	0	6	27	6	0	4	0	0	2	0	0	0	0	0	0	0	0
OTU_6038	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	11	11	0	0	0	0	0
OTU_11362	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	4	0	1	0	2	8	15	1	0	1	2	0	1	0	0	0
OTU_4159	0	0	0	0	0	0	0	0	0	0	0	0	8	2	9	14	0	0	13	3	9	6	3	4	15	0	6	0	1	0	0	0	0	0	0
OTU_6439	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	5	1	9	4	28	0	0	0	0	0
OTU_3858	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	5	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_2976	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
