,ID,group,dd,stat,y
1,OE1,OE,0.036439868051916,a,0.0376913558145816
2,OE2,OE,0.0300108472942027,a,0.0376913558145816
3,OE3,OE,0.02003927003927,a,0.0376913558145816
4,OE4,OE,0.0210673304595957,a,0.0376913558145816
5,OE5,OE,0.0192105658111962,a,0.0376913558145816
6,OE6,OE,0.0245249461761677,a,0.0376913558145816
7,WT1,WT,0.0167651541485066,a,0.0261986679999482
8,WT2,WT,0.0114101127986037,a,0.0261986679999482
9,WT3,WT,0.0246630027616001,a,0.0261986679999482
10,WT4,WT,0.0249471802372826,a,0.0261986679999482
11,WT5,WT,0.0140860100309465,a,0.0261986679999482
12,WT6,WT,0.0183353048714916,a,0.0261986679999482
