"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Acetatifactor_muris",0,0,0,0,0,0,0,0,0,0,1.2887483675854e-05,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","Acetatifactor_muris"
"Achromobacter_marplatensis",0.000170698155455814,0.000140649556342378,0.000207923262454603,0.00011754449548923,5.19649850482566e-05,8.80187605701101e-05,8.76597050250926e-05,6.97783585592672e-05,9.89124575294635e-06,5.70635116885093e-05,0,0.00012453300124533,8.88711146659557e-05,7.10451180903072e-05,0,0.000269416627018475,0.000130429698392566,8.78758753261019e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Achromobacter_marplatensis"
"Acidicaldus_organivorans",0.000155636553503831,0.000232377527870015,0.000207923262454603,0.000112646808177179,0.000113378149196196,0.000106879923549419,8.76597050250926e-05,0.000101495794268025,0.000138477440541249,4.2797633766382e-05,8.16207299470754e-05,0.000216294160057678,4.88791130662756e-05,6.21644783290188e-05,0.00015109620295242,0.00030381023897828,0.000377796367757779,0.000378964712343814,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidicaldus","Acidicaldus_organivorans"
"Acidiferrobacter_thiooxydans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23836331182205e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter","Acidiferrobacter_thiooxydans"
"Acidiphilium_angustum",0,1.83455943055275e-05,4.62051694343563e-06,3.42838111843587e-05,2.36204477492075e-05,3.14352716321822e-05,0,2.53739485670063e-05,1.48368686294195e-05,4.75529264070911e-06,0,0,3.55484458663823e-05,8.8806397612884e-06,3.0219240590484e-05,0,2.69854548398413e-05,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium","Acidiphilium_angustum"
"Acidisoma_sibiricum",1.00410679679891e-05,0,0,0,2.36204477492075e-05,1.25741086528729e-05,2.73936578203414e-05,1.26869742835031e-05,4.45106058882586e-05,6.18188043292184e-05,0,0,3.55484458663823e-05,3.99628789257978e-05,0,0,8.99515161328044e-06,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma","Acidisoma_sibiricum"
"Acidisoma_tundrae",9.03696117119017e-05,0.000110073565833165,5.08256863777919e-05,5.8772247744615e-05,9.44817909968301e-05,3.14352716321822e-05,3.28723893844097e-05,0.000133213229976783,6.42930973941513e-05,9.51058528141822e-05,8.59165578390267e-05,0.000183522317624697,2.22177786664889e-05,7.99257578515956e-05,3.77740507381049e-05,0.000332471582278118,0.000301337579044895,0.000428394892214747,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma","Acidisoma_tundrae"
"Aciditerrimonas_ferrireducens",0.000316293640991656,0.000165110348749748,0.000157097576076811,0.000440791858084612,0.000259824925241283,0.000245195118731021,0.000334202625408165,0.000310830869945827,0.000370921715735488,0.000204477583550492,0.00012887483675854,0.00057023005833388,0.000488791130662756,0.000377427189854757,0.000268195760240545,0.000361132925577956,0.000305835154851535,0.000175751750652204,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis","Aciditerrimonas","Aciditerrimonas_ferrireducens"
"Acidobacterium_capsulatum",1.00410679679891e-05,1.2230396203685e-05,2.77231016606138e-05,1.9590749248205e-05,4.72408954984151e-06,1.88611629793093e-05,3.28723893844097e-05,3.80609228505094e-05,5.93474745176781e-05,1.90211705628364e-05,0,4.58805794061742e-05,4.44355573329778e-05,2.66419192838652e-05,0,0,0,6.0414664286695e-05,"Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Acidobacterium","Acidobacterium_capsulatum"
"Acidothermus_cellulolyticus",0.000246006165215732,0.000336335895601338,0.000129374474416198,0.000372224235715895,0.00018896358199366,8.80187605701101e-05,0.000120532094409502,5.07478971340125e-05,7.41843431470977e-05,4.2797633766382e-05,2.14791394597567e-05,0.000216294160057678,8.44275589326579e-05,0.000106567677135461,6.79932913285889e-05,0.000275148895678443,0.000584684854863229,0.000351503501304408,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae","Acidothermus","Acidothermus_cellulolyticus"
