"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family"
"Bacillales_Incertae_Sedis_XII",0,0,9.24103388687126e-06,4.89768731205125e-06,0,6.28705432643643e-06,5.47873156406829e-06,6.34348714175156e-06,1.48368686294195e-05,0,8.59165578390267e-06,0,0,4.4403198806442e-06,0,1.71968059799027e-05,4.49757580664022e-06,1.09844844157627e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XII"
"Bacteriovoracaceae",0.000105431213663885,7.33823772221101e-05,0.000120133440529326,0.000401610359588202,6.61372536977811e-05,1.88611629793093e-05,0.00015888321535798,6.34348714175156e-05,4.94562287647318e-06,2.37764632035455e-05,0.000150353976218297,7.20980533525595e-05,7.99840031993601e-05,3.99628789257978e-05,9.82125319190729e-05,0.000676407701876172,0.000481240611310504,3.29534532472882e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae"
"Bacteroidaceae",6.02464078079345e-05,1.2230396203685e-05,2.31025847171782e-05,1.9590749248205e-05,1.41722686495245e-05,1.25741086528729e-05,2.73936578203414e-05,4.44044099922609e-05,4.94562287647318e-05,4.75529264070911e-06,0.000137466492542443,6.55436848659632e-06,3.55484458663823e-05,1.33209596419326e-05,1.13322152214315e-05,1.14645373199351e-05,4.0478182259762e-05,9.88603597418646e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae"
"Bdellovibrionaceae",0.000893655049151028,0.000666556593100834,0.000665354439854731,0.0011754449548923,0.00179042993938993,0.000924196985986156,0.00126010825973571,0.000945179584120983,0.000974287706665216,0.0013029501835543,0.0014391023438037,0.00108147080028839,0.000906485369592748,0.000981310693622369,0.000721484369097805,0.000372597462897891,0.00102544728391397,0.00143896745846492,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae"
"Beijerinckiaceae",0.000286170437087689,0.000562598225369511,0.000420467041852642,0.000308554300659229,0.000236204477492075,7.54446519172372e-05,0.000257500383511209,0.00012052625569328,8.4075588900044e-05,0.000133148193939855,0.000154649804110248,0.000163859212164908,7.55404474660623e-05,5.32838385677304e-05,0.000192647658764335,0.000240755283718637,0.000188898183878889,0.000197720719483729,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae"
"Bifidobacteriaceae",0,0,0,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae"
"Bradyrhizobiaceae",0.00853992830677471,0.00944186586924483,0.00900538752275605,0.00825750080811841,0.010610305128944,0.00731813123597201,0.00933027985360829,0.00712373606018701,0.0073195218571803,0.00886862077492249,0.00628909203381676,0.0107426099495314,0.00713635050767624,0.00916482023364963,0.0103727543326836,0.0079678534373549,0.00614368855187054,0.00978168337223672,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"Brevibacteriaceae",0.000140574951551847,0,0,0,0.000122826328295879,0.000125741086528729,8.76597050250926e-05,2.53739485670063e-05,3.95649830117854e-05,9.98611454548913e-05,0.000120283180974637,0,0.000244395565331378,7.99257578515956e-05,6.79932913285889e-05,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae"
"Brucellaceae",0,0,3.23436186040494e-05,3.42838111843587e-05,1.41722686495245e-05,0,0,0,9.89124575294635e-06,4.75529264070911e-06,0,9.17611588123484e-05,0,0,0,0,8.99515161328044e-06,4.39379376630509e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae"
"Burkholderiaceae",0.0262272695323875,0.0194585603600629,0.0175163797325645,0.030292196025037,0.0215701928845763,0.00933627567475811,0.0229668427165743,0.0205655853135586,0.012720142038289,0.0154023928632568,0.0180510688019795,0.0273186078521334,0.00930924926125886,0.012854726054465,0.0227701977849297,0.046110369100779,0.031402074281962,0.0478593985994782,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae"
"Burkholderiales_incertae_sedis",0.000677772087839263,0.0025744984008757,0.00380730596139096,0.00420221571373997,0.0016156386260458,0.00248967351326883,0.00117244855471061,0.00229634234531407,0.00198319477346574,0.00196393586061286,0.000446766100762939,0.000616110637740054,0.000444355573329778,0.00066604798209663,0.000895245002493087,0.00111206012003371,0.000710616977449155,0.000170259508444322,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis"
"Caldilineaceae",0.00100410679679891,0.000305759905092125,0.000679215990685038,0.00047017798195692,0.000873956566720679,0.00113166977875856,0.000805373539918038,0.000957866558404486,0.000677550334076825,0.000874973845890476,0.00086775723417417,0.000675099954119421,0.000870936923726366,0.000723772140545005,0.000868803166976414,0.00047004603011734,0.000503728490343705,0.000137306055197034,"Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae"
"Campylobacteraceae",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,3.8662451027562e-05,4.58805794061742e-05,0,4.4403198806442e-06,0,1.14645373199351e-05,1.79903032265609e-05,0,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae"
"Candidatus_Brocadiaceae",0,0,4.62051694343563e-05,0,3.30686268488905e-05,2.51482173057457e-05,0,0,4.45106058882586e-05,4.75529264070911e-06,0,0,8.88711146659557e-06,4.4403198806442e-06,0,0,0,0,"Bacteria","Planctomycetes","Planctomycetia","Candidatus_Brocadiales","Candidatus_Brocadiaceae"
"Catenulisporaceae",0,6.11519810184251e-05,0,0,4.72408954984151e-06,2.51482173057457e-05,0,3.17174357087578e-05,1.97824915058927e-05,0,0,6.55436848659632e-06,0,0,0,0,3.59806064531218e-05,0.000285596594809831,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Catenulisporaceae"
"Caulobacteraceae",0.0063459549557691,0.00529576155619561,0.00402447025773243,0.0102410641694992,0.00798371133923215,0.00525597741690086,0.00737985141679998,0.00596287791324647,0.00443622372019644,0.00533068305023491,0.007062341054368,0.00591204037490988,0.00527450065542447,0.00499535986572473,0.00619872172612302,0.0110690107823973,0.00835649584873753,0.00528902924618976,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"Cellulomonadaceae",0,0,0,0,9.44817909968301e-06,2.51482173057457e-05,1.09574631281366e-05,0,0,9.51058528141822e-06,4.72541068114647e-05,9.83155272989448e-05,0,1.33209596419326e-05,0,5.73226865996756e-06,4.49757580664022e-06,3.29534532472882e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae"
"Chitinophagaceae",0.0481569619744756,0.0705877316895681,0.0465794313067746,0.0539774118661168,0.0493525635271942,0.0475992883054502,0.0401262299752361,0.0585694167797922,0.0605195871394023,0.0514142240313469,0.0395688707127638,0.0310677066264665,0.0372636583794352,0.0372587241184855,0.0383142196636599,0.0457950943244808,0.0845229421341897,0.119362899903886,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae"
"Chlamydiaceae",8.03285437439126e-05,7.33823772221101e-05,0,9.7953746241025e-06,9.92058805466716e-05,6.28705432643643e-06,0.000104095899717297,4.44044099922609e-05,2.96737372588391e-05,1.42658779221273e-05,0,9.83155272989448e-05,3.11048901330845e-05,5.77241584483746e-05,9.82125319190729e-05,0,2.24878790332011e-05,2.74612110394068e-05,"Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae"
"Chlorobiaceae",3.51437378879618e-05,0,1.84820677737425e-05,2.44884365602562e-05,8.50336118971471e-05,6.91575975908008e-05,6.57447787688194e-05,0.000107839281409777,0.000118694949035356,0,0,6.55436848659632e-05,3.55484458663823e-05,3.55225590451536e-05,0,0,0,0,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae"
"Chloroflexaceae",0,0,0,0,0,1.88611629793093e-05,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae"
"Chloroplast",0.00146599592332641,0.000788860555137684,0.00327594651289586,0.00115585420564409,0.00101095516366608,0.000572121943705716,0.00355569678508032,0.000659722662742163,0.000692387202706245,0.00105091967359671,0.00192882672348615,0.000544012584387494,0.00111977604479104,0.00103015421230945,0.00250064215886255,0.0010948633140538,0.00081406122100188,0.000626115611698476,"Bacteria","Cyanobacteria","Chloroplast","Unassigned","Chloroplast"
"Chromatiaceae",0.0011045174764788,0.000403603074721606,0.000309574635210187,0.00188071192782768,0.00110543695466291,0.00156547652728267,0.000657447787688194,0.00116720163408229,0.000647876596817986,0.00107469613680026,0.00193741837927005,0.000950383430556466,0.00137305872158902,0.00122108796717716,0.00188492513183144,0.00175407420995007,0.00137625819683191,0.000307565563641357,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae"
"Chthonomonadaceae",0.00116476388428673,0.00266011117430149,0.00523504569691257,0.00129298945038153,0.00101095516366608,0.00154661536430336,0.00123819333347943,0.00168736757970592,0.00104352642693584,0.0010937173073631,0.00237129699635714,0.00127810185488628,0.000608767135461796,0.000981310693622369,0.00233443633561489,0.000252219821038572,0.000431767277437461,0.000450363861046272,"Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae"
"Clostridiaceae_1",0.0002761293691197,0.000201801537360803,0.000231025847171782,0.000151828306673589,8.03095223473056e-05,1.88611629793093e-05,0.000219149262562731,0.000114182768551528,8.4075588900044e-05,6.18188043292184e-05,0.000111691525190735,0.00012453300124533,0.000128863116265636,3.99628789257978e-05,3.7774050738105e-06,0.00030381023897828,0.000323825458078096,0.00112590965261568,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"Clostridiaceae_2",1.00410679679891e-05,2.446079240737e-05,0,0,0,0,0,6.34348714175156e-06,0,0,0,0,1.33306671998934e-05,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_2"
"Clostridiales_Incertae_Sedis_XI",0,0,0,4.89768731205125e-06,4.72408954984151e-06,1.25741086528729e-05,1.09574631281366e-05,2.53739485670063e-05,1.48368686294195e-05,1.42658779221273e-05,4.29582789195134e-05,6.55436848659632e-06,1.77742229331911e-05,1.77612795225768e-05,3.39966456642945e-05,0,0,5.49224220788137e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI"
"Clostridiales_Incertae_Sedis_XVIII",5.02053398399454e-05,6.11519810184251e-06,0,0,1.8896358199366e-05,6.91575975908008e-05,5.47873156406829e-06,1.90304614252547e-05,5.44018516412049e-05,4.75529264070911e-05,0,0,3.99920015996801e-05,3.55225590451536e-05,0,0,3.59806064531218e-05,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XVIII"
"Comamonadaceae",0.00588908636322559,0.00878142447424584,0.0107011172409969,0.0117495518616109,0.00646727859373302,0.0113732812765235,0.00684841445508536,0.0132325141776938,0.00988135450719341,0.00812679512297187,0.00484139803422916,0.00737366454742086,0.00446577351196427,0.00474226163252801,0.00367919254189142,0.00786467260147549,0.00812711948259888,0.00384456954551696,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"Conexibacteraceae",0.000637607815967306,0.000703247781711889,0.000531359448495098,0.000852197592296917,0.000666096626527652,0.000622418378317207,0.000657447787688194,0.000551883381332386,0.000786354037359235,0.000684762140262112,0.000279228812976837,0.000661991217146228,0.00070208180586105,0.000404069109138622,0.000423069368266775,0.00161649976211085,0.00104343758714053,0.000933681175339833,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae"
"Coriobacteriaceae",0,0,0,1.46930619361537e-05,4.72408954984151e-06,3.77223259586186e-05,3.8351120948478e-05,1.26869742835031e-05,1.97824915058927e-05,3.80423411256729e-05,0,0,8.88711146659557e-06,4.4403198806442e-06,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae"
"Corynebacteriaceae",0.000140574951551847,0,0,0,4.72408954984151e-05,0,2.19149262562731e-05,1.26869742835031e-05,1.48368686294195e-05,1.42658779221273e-05,0,4.58805794061742e-05,2.66613343997867e-05,2.2201599403221e-05,0,0,8.99515161328044e-05,1.64767266236441e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae"
"Coxiellaceae",0.00794750529666335,0.00547310230114905,0.00540600482381969,0.00644045881534739,0.00824826035402327,0.00575894176301577,0.00681554206570095,0.00472589792060491,0.00427301816527282,0.00791280695413996,0.00672297065090384,0.0083568198204103,0.00586105001221978,0.0082678756177595,0.00782300590786154,0.00396672991269755,0.00724109704869076,0.007222298503364,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae"
"Cryomorphaceae",7.53080097599181e-05,0.000152879952546063,9.70308558121483e-05,0.000132237557425384,0.000524373940032407,0.000182324575466657,0.00015888321535798,0.000183961127110795,0.000148368686294195,0.000570635116885093,0.000107395697298783,0.000117978632758734,0.000164411562132018,0.000164291835583835,0.000113322152214315,4.58581492797404e-05,0.000161912729039048,3.84456954551696e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae"
"Cryptosporangiaceae",0.000115472281631874,0.000214031933564488,0.000143236025246505,0.000382019610339997,0.000226756298392392,0.000150889303834474,0.000241064188819005,0.000107839281409777,0.000222553029441293,0.0001046164380956,0.000133170664650491,0.000308055318870027,0.000177742229331911,0.00016873215546448,0.000260640950092924,0.000447116955477469,0.000377796367757779,0.00024165865714678,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cryptosporangiaceae"
"Cystobacteraceae",0.000984024660862929,0.000862242932359794,0.00054984151626884,0.000607313226694355,0.00147864002910039,0.00185468102629875,0.00104095899717297,0.00146534552974461,0.00138477440541249,0.0012506419645065,0.00126726922812564,0.0015992659107295,0.00182630140638539,0.0016873215546448,0.00169983228321472,0.00145599623963176,0.000939993343587806,0.00137306055197034,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae"
"Cytophagaceae",7.02874757759235e-05,0.000287414310786598,0.000415846524909207,0.000357531173779741,0.00018896358199366,6.91575975908008e-05,0.000295851504459687,8.88088199845219e-05,0.000247281143823659,0.0001046164380956,0.000373737026599766,0.000557121321360687,0.000319936012797441,0.000417390068780555,0.000139763987730988,0.000521636448057048,0.000571192127443308,6.59069064945764e-05,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae"
"Deferribacteraceae",0,0,0,0,0,0,5.47873156406829e-06,0,0,0,1.2887483675854e-05,0,0,0,0,0,0,0,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae"
"Deinococcaceae",1.00410679679891e-05,0,0,2.93861238723075e-05,0,0,0,0,0,0,0,0.00012453300124533,8.88711146659557e-06,0,0,0,4.94733338730424e-05,1.09844844157627e-05,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae"
"Demequinaceae",1.50616019519836e-05,0,0,4.89768731205125e-06,0,6.28705432643643e-06,0,0,9.89124575294635e-06,0,0,0,1.33306671998934e-05,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Demequinaceae"
"Dermabacteraceae",2.51026699199727e-05,0,0,0,0,0,5.47873156406829e-06,0,9.89124575294635e-06,0,0,0.000170413580651504,8.88711146659557e-06,8.8806397612884e-06,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae"
"Dermacoccaceae",1.00410679679891e-05,0,0,0,0,6.28705432643643e-06,0,0,0,1.42658779221273e-05,0,0,0,0,0,0,8.99515161328044e-06,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermacoccaceae"
"Desulfobacteraceae",2.00821359359782e-05,6.72671791202676e-05,9.70308558121483e-05,3.918149849641e-05,4.72408954984151e-06,4.4009380285055e-05,2.73936578203414e-05,1.26869742835031e-05,1.97824915058927e-05,3.80423411256729e-05,4.29582789195134e-06,0,8.88711146659557e-06,5.32838385677304e-05,1.13322152214315e-05,4.01258806197729e-05,6.74636370996033e-05,0.000148290539612797,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae"
"Desulfobulbaceae",0.000100410679679891,6.11519810184251e-06,9.70308558121483e-05,1.9590749248205e-05,8.97577014469886e-05,0.000194898684119529,0.000142447020665775,0.000177617639969044,3.46193601353122e-05,4.2797633766382e-05,0.000111691525190735,5.89893163793669e-05,2.66613343997867e-05,1.77612795225768e-05,1.13322152214315e-05,0,0,5.49224220788137e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae"
"Desulfovibrionaceae",0.000251026699199727,0.00014676475444422,0.000124753957472762,0.00027427048947487,0.000670820716077494,0.00206844087339759,0.000471170914509873,0.00216312911533728,0.000603365990929728,0.000466018678789493,0.000455357756546842,0.000353935898276201,0.00027994401119776,0.000253098233196719,6.04384811809679e-05,0.000160503522479092,0.000157415153232408,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae"
"Desulfuromonadaceae",1.50616019519836e-05,0,1.84820677737425e-05,0,5.19649850482566e-05,7.54446519172372e-05,6.02660472047512e-05,9.51523071262735e-05,1.97824915058927e-05,3.80423411256729e-05,0.000743178225307581,4.58805794061742e-05,7.10968917327646e-05,0,0,0,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae"
"Dietziaceae",9.03696117119017e-05,1.2230396203685e-05,0,0,4.25168059485736e-05,1.25741086528729e-05,1.64361946922049e-05,0,9.89124575294635e-06,0,3.43666231356107e-05,0,0,0,3.7774050738105e-06,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae"
"Ectothiorhodospiraceae",0.00186261810806197,0.000953970903887431,0.000129374474416198,0.000768936907992046,0.000925921551768935,0.000836178225416046,0.000635532861431921,0.000716814047017927,0.000440160436006113,0.000879729138531185,0.00112550690769125,0.000557121321360687,0.00086204981225977,0.000577241584483746,0.00126543069972652,0.000791053075075523,0.000787075766162039,0.00213648221886585,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae"
"Enterobacteriaceae",0.0019329055838379,0.00241550325022779,0.00438949109626385,0.00227742460010383,0.000510201671382883,4.4009380285055e-05,0.000410904867305122,0.00028545692137882,6.42930973941513e-05,0.000237764632035455,0.000665853323252457,0.000511240741954513,0.000177742229331911,0.000270859512719296,0.000479730444373933,0.0015018543889115,0.00127281395327918,0.0044816696416312,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae"
"Enterococcaceae",0,0,2.31025847171782e-05,3.918149849641e-05,0,6.28705432643643e-06,6.02660472047512e-05,0,0,4.75529264070911e-06,0,0,0,0,0,0,0,1.64767266236441e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"Erysipelotrichaceae",1.00410679679891e-05,3.05759905092125e-05,4.62051694343563e-06,0,4.72408954984151e-05,1.25741086528729e-05,1.64361946922049e-05,1.26869742835031e-05,0,0,4.29582789195134e-06,0,2.22177786664889e-05,8.8806397612884e-06,0,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"Erythrobacteraceae",0.00440300830396321,0.00341228054082812,0.00490698899392864,0.00435894170772561,0.0043367142067545,0.00375965848720899,0.00395016545769324,0.00349526141510511,0.00341742540764297,0.00433682688832671,0.00450632345865695,0.00510585305105853,0.00439023306449821,0.00389860085520561,0.00399271716301769,0.00228717519532705,0.00255462305817165,0.00166964163119594,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae"
"Eubacteriaceae",0,0,0,0,0,0,0,0,0,0,0,8.52067903257521e-05,0,0,0,5.73226865996756e-06,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"Family_I",0,0,0,9.7953746241025e-06,0,2.51482173057457e-05,0,1.90304614252547e-05,2.47281143823659e-05,1.90211705628364e-05,0,0,2.66613343997867e-05,0,0,0,1.34927274199207e-05,0,"Bacteria","Cyanobacteria","Cyanobacteria","Unassigned","Family_I"
