"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family"
"Acetobacteraceae",0.00219397335100561,0.00368134925730919,0.00242577139530371,0.00478504050387407,0.00218725346157662,0.00155918947295624,0.00214766277311477,0.00177617639969044,0.00165678366361851,0.0016167994978411,0.00194601003505396,0.0024906600249066,0.00151080894932125,0.00173616507333188,0.00154495867518849,0.0075264687505374,0.00784377220678054,0.00235067966497323,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae"
"Acidimicrobiaceae",4.51848058559508e-05,0.000330220697499495,0.000115512923585891,0.00015672599398564,0.000222032208842551,0.000113166977875856,0.000104095899717297,7.61218457010188e-05,0.000163205554923615,0.000118882316017728,0.000124579008866589,0.00044569705708855,0.000231064898131485,0.000177612795225768,0.000166205823247662,2.29290746398702e-05,0.000179903032265609,0.000109844844157627,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiaceae"
"Acidimicrobineae_incertae_sedis",0.000316293640991656,0.000165110348749748,0.000157097576076811,0.000440791858084612,0.000259824925241283,0.000245195118731021,0.000334202625408165,0.000310830869945827,0.000370921715735488,0.000204477583550492,0.00012887483675854,0.00057023005833388,0.000488791130662756,0.000377427189854757,0.000268195760240545,0.000361132925577956,0.000305835154851535,0.000175751750652204,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis"
"Acidothermaceae",0.000246006165215732,0.000336335895601338,0.000129374474416198,0.000372224235715895,0.00018896358199366,8.80187605701101e-05,0.000120532094409502,5.07478971340125e-05,7.41843431470977e-05,4.2797633766382e-05,2.14791394597567e-05,0.000216294160057678,8.44275589326579e-05,0.000106567677135461,6.79932913285889e-05,0.000275148895678443,0.000584684854863229,0.000351503501304408,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae"
"Actinospicaceae",4.01642718719563e-05,1.83455943055275e-05,2.31025847171782e-05,5.8772247744615e-05,2.8344537299049e-05,4.4009380285055e-05,6.02660472047512e-05,6.97783585592672e-05,4.45106058882586e-05,9.51058528141822e-06,9.88040415148808e-05,6.55436848659632e-06,0.000151080894932125,1.77612795225768e-05,9.82125319190729e-05,8.02517612395458e-05,8.99515161328044e-05,0.00012082932857339,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinospicaceae"
"Aeromonadaceae",5.52258738239399e-05,6.11519810184251e-05,6.46872372080988e-05,4.89768731205125e-06,0,1.88611629793093e-05,4.93085840766146e-05,6.34348714175156e-06,0,4.75529264070911e-05,1.71833115678053e-05,0.000347381529789605,2.66613343997867e-05,3.10822391645094e-05,3.7774050738105e-06,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae"
"Alcaligenaceae",0.00022090349529576,0.000978431696294801,0.00132146784582259,0.000778732282616149,7.55854327974641e-05,0.000169750466813784,0.000169840678486117,0.000241052511386559,4.45106058882586e-05,0.000123637608658437,9.45082136229294e-05,0.000144196106705119,0.000115532449065742,0.000128769276538682,0,0.000441384686817502,0.000310332730658175,0.000461348345462035,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae"
"Alicyclobacillaceae",0.000396622184735568,0.000391372678517921,0.000531359448495098,0.000813016093800507,0.000486581223633675,0.000421232639871241,0.000290372772895619,0.000539196407048883,0.00118200386747709,0.000751336237232039,0.000133170664650491,0.000183522317624697,0.000306605345597547,0.000372986869974113,0.000321079431273892,0.00143879943365186,0.000463250308083943,0.000565700947411781,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae"
"Alteromonadaceae",6.02464078079345e-05,9.17279715276376e-05,0.000198682228567732,8.32606843048712e-05,7.55854327974641e-05,1.88611629793093e-05,5.47873156406829e-06,1.90304614252547e-05,5.44018516412049e-05,9.03505601734731e-05,0.000163241459894151,0.000157304843678312,4.88791130662756e-05,0.000204254714509633,8.68803166976414e-05,0,2.24878790332011e-05,1.09844844157627e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae"
"Anaerolineaceae",0.00224919922482955,0.0010640444697206,0.00292478722519475,0.00160644143835281,0.00388792569951956,0.00336986111896993,0.00561569985316999,0.00314636962230878,0.00227993214605413,0.00252981568485725,0.00236700116846519,0.00210395228419742,0.00356817525383812,0.00394300405401205,0.00402671380868199,0.000791053075075523,0.00184850365652913,0.000225181930523136,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae"
"Anaeroplasmataceae",0,7.33823772221101e-05,0,0,9.44817909968301e-05,0,1.64361946922049e-05,3.17174357087578e-05,0,9.51058528141822e-06,0,0,0,1.33209596419326e-05,0,0,1.34927274199207e-05,3.84456954551696e-05,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae"
"Armatimonadaceae",0.00048699179644747,0.000330220697499495,0.000559082550155711,0.000866890654233071,0.000779474775723849,0.000232621010078148,0.000613617935175648,0.000279113434237069,0.000247281143823659,0.00031860460692751,0.00025774967351708,0.000353935898276201,0.000115532449065742,0.000284180472361229,0.000982125319190729,0.000177700328458994,0.000661143643576112,0.00102155705066593,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae"
"Aurantimonadaceae",5.02053398399454e-06,0,4.62051694343563e-05,0,1.41722686495245e-05,6.28705432643643e-06,6.02660472047512e-05,1.26869742835031e-05,0,0,8.59165578390267e-06,5.89893163793669e-05,0,3.99628789257978e-05,1.88870253690525e-05,0,4.49757580664022e-06,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae"
"Bacillaceae_1",0.0169242200600456,0.0138325781063678,0.0165368301405561,0.0268197357207926,0.0104544101737993,0.00440722508283194,0.0108588459599833,0.00641326550031083,0.00472306984703188,0.00683335552469899,0.00509485187985429,0.00805531887002687,0.00474127396742874,0.0053239435368924,0.00417781001163441,0.0132071469925652,0.0208327711363575,0.0150652203762186,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1"
"Bacillaceae_2",0.000672751553855268,0.00022014713166633,0.000365020838531415,0.000264475114850767,0.000911749283119411,0.00054697372639997,0.000405426135741053,0.000634348714175156,0.000553909762164996,0.000485039849352329,0.000829094783146608,0.00114046011666776,0.00116421160212402,0.000812578538157889,0.000702597343728752,0.000412723343517664,0.000422772125824181,0.00048331731429356,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2"
"Bacillales_incertae_sedis",0.000632587281983312,0.000886703724767164,0.000924103388687126,0.000406508046900254,0.000363754895337796,0.000232621010078148,0.000317766430715961,0.000380609228505094,0.000306628618341337,0.000299583436364674,0.00174410612413224,0.00376220751130629,0.000590992912528605,0.000457352947706353,0.001654503422329,0.00286040206132381,0.000661143643576112,0.00130166140326788,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_incertae_sedis"
