"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Acidobacteria_Gp1",8174,3508,3092,4373,5637,5679,5768,5763,6722,6121,8115,2957,5217,5638,7722,5298,8103,7554
"Acidobacteria_Gp10",400,175,192,418,831,641,1448,662,887,776,974,723,990,971,247,416,235,73
"Acidobacteria_Gp11",28,111,239,79,45,26,68,32,41,50,91,28,75,50,2,42,17,6
"Acidobacteria_Gp12",7,6,0,3,6,8,16,14,10,6,0,0,0,3,1,38,9,17
"Acidobacteria_Gp13",1161,1289,993,1234,879,483,1234,762,633,689,1250,725,847,1007,1444,1533,2756,2355
"Acidobacteria_Gp14",5,31,13,12,7,0,1,5,5,4,11,0,0,2,8,16,71,113
"Acidobacteria_Gp15",334,428,602,534,305,203,388,384,333,344,814,229,485,350,524,321,236,151
"Acidobacteria_Gp16",1206,1245,1670,1423,1233,1233,1846,1123,1542,1010,1985,1195,2452,1788,1925,2237,2513,1420
"Acidobacteria_Gp17",344,314,498,208,211,304,264,196,253,200,213,292,365,373,703,88,141,65
"Acidobacteria_Gp18",6,4,14,6,4,28,20,9,2,5,72,9,19,10,0,0,3,0
"Acidobacteria_Gp19",0,15,5,1,2,7,3,6,12,4,0,9,10,11,0,14,0,0
"Acidobacteria_Gp2",3642,869,700,1062,2611,3075,3220,3527,4273,3701,3448,870,2573,2224,4501,1516,2355,1989
"Acidobacteria_Gp20",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Acidobacteria_Gp22",3,2,4,0,46,34,45,18,77,25,3,70,206,103,11,0,12,2
"Acidobacteria_Gp25",15,11,25,12,62,131,61,56,152,172,45,58,157,152,103,6,48,0
"Acidobacteria_Gp3",7558,3870,3945,4578,7285,4669,5856,6081,8450,8085,6537,4574,6952,7392,7586,3735,5007,6244
"Acidobacteria_Gp4",1212,2018,4620,1642,942,1066,773,387,1301,953,1813,1305,1650,1749,1054,355,351,270
"Acidobacteria_Gp5",707,379,529,353,665,482,681,524,621,680,727,494,1073,1065,1015,265,354,399
"Acidobacteria_Gp6",6862,5308,7989,5871,6521,6812,7680,6572,8612,6127,11156,5957,11246,8778,10073,5402,4462,2658
"Acidobacteria_Gp7",554,1176,1546,750,643,973,531,966,1079,998,1150,953,1332,1201,1053,404,266,161
"Actinobacteria",6517,6320,6607,9318,7747,4535,7338,5031,6354,5753,5124,6552,9184,6908,10836,10945,11710,9005
