"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Sandaracinaceae",94,83,84,53,119,85,105,60,85,109,157,65,107,152,128,125,65,52
"Saprospiraceae",158,72,158,131,270,142,160,131,375,103,396,183,217,171,131,35,34,89
"Shewanellaceae",0,2,1,1,0,1,1,0,0,0,3,5,0,5,5,5,4,4
"Simkaniaceae",51,25,11,13,57,14,40,9,18,46,167,34,63,25,54,50,36,20
"Sinobacteraceae",1676,1468,1269,1804,1525,1051,1534,844,1245,1696,1194,1026,1673,1733,2241,1279,1757,611
"Sneathiellaceae",9,20,15,15,26,1,22,25,20,10,8,28,14,1,59,0,35,0
"Solirubrobacteraceae",318,69,104,309,197,168,102,198,289,178,244,217,333,309,298,350,297,102
"Sphaerobacteraceae",53,46,24,59,34,29,54,35,45,27,52,40,61,51,54,29,42,23
"Sphingobacteriaceae",512,779,763,581,647,331,689,646,819,728,498,252,453,459,395,496,1016,588
"Sphingomonadaceae",6761,8831,12099,10790,7507,4423,5613,5149,6579,7093,6540,4508,4986,5258,7497,10131,10058,5346
"Spirochaetaceae",73,1,3,21,24,8,20,23,11,43,44,16,59,57,63,23,12,6
"Sporichthyaceae",4,0,7,5,2,3,1,2,2,5,11,0,1,4,13,18,18,14
"Sporolactobacillaceae",0,7,0,0,4,0,3,0,1,3,10,0,0,0,0,0,0,8
"Staphylococcaceae",17,0,1,1,0,8,2,2,6,0,34,1,23,10,0,5,3,1
"Streptococcaceae",1,1,2,0,0,0,1,0,1,1,4,0,5,0,1,0,6,1
"Streptomycetaceae",269,150,177,387,321,126,327,269,230,288,120,320,354,255,534,337,556,265
"Streptosporangiaceae",6,13,60,4,6,6,2,1,17,14,35,20,29,17,4,0,1,0
"Sulfuricellaceae",2,4,7,30,107,122,50,145,231,148,40,53,76,130,34,30,81,22
"Sutterellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Syntrophaceae",33,11,5,0,9,9,6,4,16,19,49,50,44,21,10,4,21,0
"Syntrophobacteraceae",6,0,0,11,0,8,0,4,1,0,0,0,20,1,0,5,0,0
"Syntrophomonadaceae",1,0,0,0,0,0,0,0,0,0,3,1,2,3,1,0,0,0
"Syntrophorhabdaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tepidisphaeraceae",0,0,15,0,9,0,0,0,0,8,0,0,0,0,0,0,9,0
"Thermoactinomycetaceae_1",33,5,2,13,25,5,12,14,32,7,9,0,16,29,4,0,0,0
"Thermoactinomycetaceae_2",78,0,0,4,32,20,18,14,18,26,9,45,76,56,29,0,23,5
"Thermoanaerobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Thermogemmatisporaceae",65,56,12,23,40,99,20,50,112,80,170,0,8,4,58,40,158,120
"Thermoleophilaceae",0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,11,0,5
"Thermomonosporaceae",269,171,78,204,322,244,175,169,222,169,149,250,375,240,399,341,321,411
"Thermosporotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thioalkalispiraceae",9,2,0,23,0,7,8,6,11,5,0,34,0,0,0,0,0,0
"Trueperaceae",12,0,0,0,10,7,5,3,13,6,0,0,35,5,0,0,9,0
"Tsukamurellaceae",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Unassigned",116112,86450,112512,100906,121855,92401,109798,90826,121395,123280,145232,89130,140998,138773,165477,89646,111986,93369
"Veillonellaceae",4,1,7,2,1,19,2,15,9,6,3,0,4,6,1,1,11,1
"Verrucomicrobiaceae",15,150,134,261,84,33,132,45,69,30,181,39,66,94,0,41,124,46
"Vibrionaceae",0,1,2,1,0,0,0,0,0,1,0,1,0,3,20,1,0,3
"Vulgatibacteraceae",17,3,1,16,10,10,10,5,6,10,1,21,2,28,36,12,34,0
"Xanthobacteraceae",1293,758,899,895,1261,925,822,648,987,1103,1243,904,997,1196,1761,764,1142,1395
"Xanthomonadaceae",3703,3166,4298,3048,4349,2651,2963,3047,4097,2927,2878,2485,3143,3036,2227,2638,2882,1886
