"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"ASV_27826",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
"ASV_2649",18,27,14,32,53,10,19,6,11,12,23,14,35,6,16,21,17,6
"ASV_14936",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_28354",0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
"ASV_9729",0,0,0,0,3,5,28,3,1,2,0,0,5,11,9,0,0,0
"ASV_17294",0,0,0,0,2,7,0,4,0,5,0,0,0,0,31,0,0,0
"ASV_11201",0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
"ASV_9742",0,0,0,0,46,12,12,17,24,19,0,0,18,18,0,0,0,0
"ASV_13652",0,0,0,0,20,0,0,0,0,3,0,17,0,0,1,0,15,9
"ASV_17423",10,0,0,0,0,5,0,0,12,4,0,0,0,0,14,0,0,0
"ASV_35704",0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
"ASV_2744",12,20,38,3,34,1,38,6,33,30,63,36,96,53,48,0,14,9
"ASV_9663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_18229",0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
"ASV_21284",0,0,13,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"ASV_6713",0,1,0,0,0,15,1,17,8,4,85,21,1,5,0,0,13,0
"ASV_11152",6,0,0,0,0,0,0,1,4,1,0,0,0,0,16,0,0,0
"ASV_4587",0,2,7,22,0,3,1,0,0,9,10,0,1,0,0,0,7,11
"ASV_3379",12,11,107,5,6,19,11,8,45,20,0,18,27,24,0,0,17,14
"ASV_4724",0,1,3,8,0,0,0,0,0,0,0,9,0,0,0,1,4,0
"ASV_2377",31,31,98,1,40,18,50,31,55,31,20,12,36,29,27,0,9,19
"ASV_2337",15,10,20,0,17,6,9,10,22,13,1,26,6,17,0,44,22,16
"ASV_6289",0,15,14,11,1,0,8,0,0,8,0,0,0,0,0,16,12,28
"ASV_19404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21758",0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0
"ASV_2379",84,34,51,8,35,18,46,30,14,33,50,59,55,38,50,1,7,13
"ASV_3106",30,13,18,8,212,5,90,39,20,57,80,32,48,55,14,0,0,0
"ASV_13996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34524",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV_24403",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7276",15,0,0,0,8,2,6,3,1,0,0,0,0,6,0,0,0,0
"ASV_29968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36522",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
