"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family","Genus"
"Acetatifactor",0,0,0,0,0,0,0,0,0,0,1.2887483675854e-05,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Achromobacter",0.000190780291391792,0.000140649556342378,0.000207923262454603,0.000230191303666409,5.66890745980981e-05,0.000106879923549419,9.31384365891609e-05,6.97783585592672e-05,1.48368686294195e-05,5.70635116885093e-05,7.30290741631727e-05,0.00012453300124533,8.88711146659557e-05,7.54854379709514e-05,0,0.000269416627018475,0.000134927274199207,8.78758753261019e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"Acidicaldus",0.000155636553503831,0.000232377527870015,0.000207923262454603,0.000112646808177179,0.000113378149196196,0.000106879923549419,8.76597050250926e-05,0.000101495794268025,0.000138477440541249,4.2797633766382e-05,8.16207299470754e-05,0.000216294160057678,4.88791130662756e-05,6.21644783290188e-05,0.00015109620295242,0.00030381023897828,0.000377796367757779,0.000378964712343814,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidicaldus"
"Acidiferrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23836331182205e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter"
"Acidiphilium",0,1.83455943055275e-05,4.62051694343563e-06,3.42838111843587e-05,2.36204477492075e-05,3.14352716321822e-05,0,2.53739485670063e-05,1.48368686294195e-05,4.75529264070911e-06,0,0,3.55484458663823e-05,8.8806397612884e-06,3.0219240590484e-05,0,2.69854548398413e-05,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidiphilium"
"Acidipila",0,0,0,0,0,0,5.47873156406829e-06,0,0,4.75529264070911e-06,8.59165578390267e-06,0,0,0,0,0,0,0,"Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Acidipila"
"Acidisoma",0.000306252573023667,0.000519791838656613,0.000244887398002088,0.000220395929042306,0.00059523528328003,0.000226333955751712,0.000553351887970897,0.000355235279938088,0.000301682995464864,0.000470773971430202,0.000244862189841226,0.00057023005833388,0.000213290675198294,0.000279740152480585,0.000177538038469093,0.000578959134656723,0.000593680006476509,0.000664561307153645,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidisoma"
"Aciditerrimonas",0.000316293640991656,0.000165110348749748,0.000157097576076811,0.000440791858084612,0.000259824925241283,0.000245195118731021,0.000334202625408165,0.000310830869945827,0.000370921715735488,0.000204477583550492,0.00012887483675854,0.00057023005833388,0.000488791130662756,0.000377427189854757,0.000268195760240545,0.000361132925577956,0.000305835154851535,0.000175751750652204,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis","Aciditerrimonas"
"Acidobacterium",0.0002761293691197,0.000587059017776881,0.000406605491022336,0.000288963551411024,0.000141722686495245,0.000358362096606877,0.000268457846639346,0.00012052625569328,0.000351139224229596,0.000190211705628364,0.000146058148326345,0.000183522317624697,0.000146637339198827,0.000186493434987056,0.000385295317528671,0.000378329731557859,0.000494733338730424,0.000735960455856103,"Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Acidobacterium"
"Acidocella",0.000396622184735568,0.0017550618552288,0.000646872372080988,0.00287984013948613,0.000236204477492075,0.00017603752114022,0.000323245162280029,0.000291800408520572,0.000138477440541249,0.000190211705628364,9.45082136229294e-05,0.000347381529789605,0.000106645337599147,0.000186493434987056,9.82125319190729e-05,0.00533674212242979,0.0052441733905425,0.000214197446107373,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella"
"Acidothermus",0.000246006165215732,0.000336335895601338,0.000129374474416198,0.000372224235715895,0.00018896358199366,8.80187605701101e-05,0.000120532094409502,5.07478971340125e-05,7.41843431470977e-05,4.2797633766382e-05,2.14791394597567e-05,0.000216294160057678,8.44275589326579e-05,0.000106567677135461,6.79932913285889e-05,0.000275148895678443,0.000584684854863229,0.000351503501304408,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae","Acidothermus"
"Acidovorax",9.53901456958962e-05,0.000158995150647905,0.000161718093020247,0.000582824790134099,0,6.28705432643643e-06,0,3.80609228505094e-05,0.000133531817664776,9.51058528141822e-06,4.29582789195134e-06,5.24349478927705e-05,0,2.2201599403221e-05,7.55481014762099e-06,0.000114645373199351,0.000296840003238255,0.000131813812989153,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Acinetobacter",0.00026608830115171,0.000311875103193968,0.00032805670298393,0.00050935948045333,0.000151170865594928,2.51482173057457e-05,6.02660472047512e-05,0.000133213229976783,0.000123640571911829,8.5595267532764e-05,8.16207299470754e-05,0.000203185423084486,0.000293274678397654,5.77241584483746e-05,1.5109620295242e-05,0.000240755283718637,0.000494733338730424,7.13991487024578e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Actinoallomurus",0.000246006165215732,0.000342451093703181,9.24103388687126e-06,0.00031345198797128,0.00015589495514477,0.000201185738445966,7.12235103328877e-05,0.000133213229976783,0.000469834173264952,0.00016167994978411,0.000206199738813664,0.000222848528544275,0.000142193783465529,0.000190933754867701,0.000661045887916837,0.000114645373199351,0.000364303640337858,0.000527255251956611,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinoallomurus"
"Actinocatenispora",9.03696117119017e-05,0,0,0,4.72408954984151e-06,1.25741086528729e-05,3.8351120948478e-05,1.26869742835031e-05,2.96737372588391e-05,0,0,0,2.22177786664889e-05,4.4403198806442e-05,6.42158862547784e-05,0,5.39709096796826e-05,7.68913909103392e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinocatenispora"
"Actinocorallia",0,3.66911886110551e-05,0,0,0,0,0,1.90304614252547e-05,9.89124575294635e-06,0,0,0,0,0,0,1.71968059799027e-05,2.24878790332011e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinocorallia"
