"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order","Family","Genus"
"Actinomadura",0.000732997961663203,0.0002446079240737,0,0.000445689545396664,0.00115267785016133,0.0011568179960643,0.000695798908636672,0.00069144009845092,0.000514344779153211,0.000513571605196584,0.000158945632002199,0.00128465622337288,0.00109755826612455,0.000741533420067582,0.000589275191514437,0.000865572567655101,0.000476743035503863,0.000461348345462035,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura"
"Actinomycetospora",0,0,0,0,0,0,0,0,0,1.42658779221273e-05,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinomycetospora"
"Actinophytocola",0,0,0,9.30560589289737e-05,0,0.000144602249508038,0,6.34348714175156e-06,0,0,0,0,4.44355573329778e-06,0,0,0,0,2.19689688315255e-05,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola"
"Actinoplanes",0.000783203301503148,0.000758284564628471,0.000970308558121483,0.00050935948045333,0.000477133044533992,0.000182324575466657,0.00054239442484276,0.000164930665685541,0.000192879292182454,0.000228254046754037,0.000171833115678053,0.000661991217146228,0.000391032904530205,0.000284180472361229,0.00105389601559313,0.00053883325403695,0.000454255156470662,0.000258135383770424,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"Actinopolymorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,2.66419192838652e-05,7.17706964023994e-05,0,5.39709096796826e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Actinopolymorpha"
"Actinospica",4.01642718719563e-05,1.83455943055275e-05,2.31025847171782e-05,5.8772247744615e-05,2.8344537299049e-05,4.4009380285055e-05,6.02660472047512e-05,6.97783585592672e-05,4.45106058882586e-05,9.51058528141822e-06,9.88040415148808e-05,6.55436848659632e-06,0.000151080894932125,1.77612795225768e-05,9.82125319190729e-05,8.02517612395458e-05,8.99515161328044e-05,0.00012082932857339,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinospicaceae","Actinospica"
"Adhaeribacter",5.02053398399454e-06,0,0,9.7953746241025e-06,6.14131641479396e-05,3.77223259586186e-05,4.93085840766146e-05,3.17174357087578e-05,0.000153314309170668,4.75529264070911e-05,0.000176128943570005,0.000432588320115357,0.000137750227732231,0.000288620792241873,7.93255065500204e-05,2.86613432998378e-05,0,0,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter"
"Aeromicrobium",4.01642718719563e-05,1.83455943055275e-05,7.39282710949701e-05,2.44884365602562e-05,2.36204477492075e-05,6.28705432643643e-05,0,8.24653328427703e-05,0.000113749326158883,1.90211705628364e-05,0,2.62174739463853e-05,4.88791130662756e-05,5.77241584483746e-05,4.53288608857259e-05,0.000160503522479092,1.34927274199207e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium"
"Aeromonas",5.52258738239399e-05,0,1.38615508303069e-05,4.89768731205125e-06,0,1.25741086528729e-05,4.93085840766146e-05,6.34348714175156e-06,0,4.75529264070911e-05,4.29582789195134e-06,0.000170413580651504,8.88711146659557e-06,1.77612795225768e-05,0,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"Afipia",0.000125513349599863,0.00012230396203685,0.000133994991359633,0.00011754449548923,0.000122826328295879,5.65834889379279e-05,1.64361946922049e-05,5.70913842757641e-05,1.48368686294195e-05,9.51058528141822e-06,0,0.00012453300124533,6.66533359994668e-05,8.8806397612884e-05,3.77740507381049e-05,0.00023502301505867,8.54539403261642e-05,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia"
"Aggregicoccus",0.000326334708959645,0.000152879952546063,9.24103388687126e-05,0.000132237557425384,0.000429892149035577,0.000622418378317207,0.0002246279941268,0.000450387587064361,0.000761625922976869,0.000608677458010766,0.000502611863358306,8.52067903257521e-05,0.000262169788264569,0.000217575674151566,0.000309747216052461,0.00025795208969854,0.000251864245171852,0.000455856103254154,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Aggregicoccus"
"Agromyces",5.02053398399454e-06,0,5.08256863777919e-05,1.46930619361537e-05,9.92058805466716e-05,2.51482173057457e-05,8.76597050250926e-05,2.53739485670063e-05,0.000113749326158883,1.90211705628364e-05,0,0,0,8.8806397612884e-06,0,1.71968059799027e-05,8.99515161328044e-06,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces"
"Akkermansia",1.00410679679891e-05,2.446079240737e-05,0,0,0,0,1.09574631281366e-05,0,0,0,0.000141762320434394,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia"
"Alicyclobacillus",0,3.66911886110551e-05,1.38615508303069e-05,2.44884365602562e-05,1.8896358199366e-05,3.77223259586186e-05,2.19149262562731e-05,1.90304614252547e-05,9.89124575294635e-06,0,0,8.52067903257521e-05,1.33306671998934e-05,1.77612795225768e-05,0,8.59840298995133e-05,3.59806064531218e-05,4.39379376630509e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus"
"Aliifodinibius",0,0,0,0,2.36204477492075e-05,0,5.47873156406829e-06,6.34348714175156e-06,0,9.51058528141822e-06,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Unassigned","Aliifodinibius"
"Aliiroseovarius",5.02053398399454e-06,0,0,4.89768731205125e-06,9.44817909968301e-06,1.88611629793093e-05,2.19149262562731e-05,0,0,9.51058528141822e-06,0,0,0,0,0,0,0,1.09844844157627e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Aliiroseovarius"
"Alishewanella",0,0,0,0,0,0,0,0,0,0,6.44374183792701e-05,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella"
"Alistipes",1.50616019519836e-05,0,0,0,4.72408954984151e-06,0,1.09574631281366e-05,0,0,0,4.29582789195134e-06,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alkaliphilus",1.00410679679891e-05,2.446079240737e-05,0,0,0,0,0,6.34348714175156e-06,0,0,0,0,1.33306671998934e-05,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_2","Alkaliphilus"
"Alkanibacter",2.00821359359782e-05,0,3.23436186040494e-05,3.42838111843587e-05,9.44817909968301e-06,6.91575975908008e-05,1.09574631281366e-05,1.90304614252547e-05,6.92387202706245e-05,7.13293896106366e-05,0,0,4.44355573329778e-06,4.4403198806442e-06,0,0,4.49757580664022e-05,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Alkanibacter"
"Alkanindiges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Allobacillus",0,0,0,0,0,1.25741086528729e-05,0,0,0,9.51058528141822e-06,0,0,3.55484458663823e-05,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Allobacillus"
"Allobaculum",5.02053398399454e-06,0,4.62051694343563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49757580664022e-06,5.49224220788137e-06,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Allobaculum"
"Allokutzneria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49757580664022e-06,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Allokutzneria"
"Alloprevotella",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Alsobacter",0,1.2230396203685e-05,0.00010627188969902,8.32606843048712e-05,9.44817909968301e-06,5.65834889379279e-05,2.19149262562731e-05,3.17174357087578e-05,9.89124575294635e-06,0,0,5.89893163793669e-05,0,4.88435186870862e-05,0,0,8.99515161328044e-05,3.29534532472882e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Alsobacter"
"Altererythrobacter",0.000853490777279071,0.000140649556342378,0.000194061711624297,0.00127339870113332,0.0011148851337626,0.00045895496582986,0.00106835265499332,0.000704127072734424,0.000563801007917942,0.000760846822513457,0.000872053062066121,0.000681654322606017,0.000613210691195094,0.000452912627825709,0.000479730444373933,0.000343936119598053,0.000184400608072249,0.000258135383770424,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter"
"Alterococcus",0,3.66911886110551e-05,0,1.9590749248205e-05,0,1.25741086528729e-05,0,2.53739485670063e-05,3.95649830117854e-05,0,0,0,5.33226687995734e-05,0,0,0,0,0,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Alterococcus"
"Aminicenantes_genera_incertae_sedis",5.02053398399454e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.4403198806442e-06,7.55481014762099e-06,0,0,0,"Bacteria","Aminicenantes","Unassigned","Unassigned","Unassigned","Aminicenantes_genera_incertae_sedis"
"Aminobacter",0,3.05759905092125e-05,2.77231016606138e-05,4.89768731205125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
"Ammoniibacillus",5.02053398399454e-06,0,0,0,1.8896358199366e-05,3.14352716321822e-05,5.47873156406829e-06,1.26869742835031e-05,4.94562287647318e-06,0,2.14791394597567e-05,0,3.55484458663823e-05,4.4403198806442e-06,0,0,0,1.64767266236441e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Ammoniibacillus"
"Ammoniphilus",2.51026699199727e-05,0,0,0,7.55854327974641e-05,2.51482173057457e-05,4.38298525125463e-05,1.26869742835031e-05,4.94562287647318e-06,4.2797633766382e-05,3.00707952436594e-05,0,0,1.77612795225768e-05,0,0,3.59806064531218e-05,5.49224220788137e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Ammoniphilus"
"Amorphus",0,0,0,0,0,0,0,0,0,4.75529264070911e-06,0,2.62174739463853e-05,0,2.2201599403221e-05,0,0.000166235791139059,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Amorphus"
"Amycolatopsis",1.00410679679891e-05,0,4.62051694343563e-06,0.000333042737219485,3.30686268488905e-05,5.65834889379279e-05,5.47873156406829e-06,4.44044099922609e-05,1.97824915058927e-05,6.18188043292184e-05,1.2887483675854e-05,0,5.77662245328712e-05,4.88435186870862e-05,0,0,1.34927274199207e-05,0.000230674172731017,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis"
"Anaeromyxobacter",0.000150616019519836,2.446079240737e-05,9.70308558121483e-05,3.42838111843587e-05,0.000538546208681932,0.00072301124754019,0.000180798141614253,0.000748531482726685,0.00021760740656482,0.000313849314286801,0.000189016427245859,0.000190076686111293,0.000426581350396587,0.00044403198806442,5.66610761071574e-05,0.000435652418157534,8.99515161328044e-05,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter"
"Anaeroplasma",0,7.33823772221101e-05,0,0,9.44817909968301e-05,0,1.64361946922049e-05,3.17174357087578e-05,0,9.51058528141822e-06,0,0,0,1.33209596419326e-05,0,0,1.34927274199207e-05,3.84456954551696e-05,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma"
"Ancalomicrobium",0,0,4.15846524909207e-05,0,0,1.88611629793093e-05,0,0.000126869742835031,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Ancalomicrobium"
"Anderseniella",0.000180739223423803,0.00031799030129581,0.000198682228567732,0.000426098796148459,0.000307065820739698,0.000408658531218368,0.000186276873178322,0.000272769947095317,0.000375867338611961,0.000380423411256729,0.000120283180974637,0.000131087369731926,0.000266613343997867,0.000328583671167671,0.000411737153045344,0,0.000139424850005847,0.000137306055197034,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Anderseniella"
"Aneurinibacillus",0,0,0,0,4.72408954984151e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Aneurinibacillus"
"Angustibacter",3.01232039039672e-05,4.89215848147401e-05,0.000235646364115217,9.30560589289737e-05,2.36204477492075e-05,4.4009380285055e-05,1.09574631281366e-05,0,0,1.42658779221273e-05,0.000124579008866589,0,4.88791130662756e-05,3.10822391645094e-05,0,2.29290746398702e-05,4.49757580664022e-05,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","Angustibacter"
"Aquabacterium",4.01642718719563e-05,0.00110685085643349,0.00222246864979254,0.00224314078891947,5.19649850482566e-05,0.000251482173057457,0.000175319410050185,0.000139556717118534,0.000163205554923615,0.000199722290909783,9.02123857309781e-05,6.55436848659632e-05,2.66613343997867e-05,8.8806397612884e-06,2.64418355166735e-05,0.000114645373199351,9.89466677460849e-05,1.64767266236441e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium"
"Aquaspirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquaspirillum"
"Aquicella",0.00788223835487142,0.00527130076378824,0.00526276879857318,0.00634740275641842,0.00801677996608104,0.00570235827407785,0.00669500997129145,0.00461171515205339,0.00423345318226104,0.00777490346755939,0.00654254587944189,0.00831749360949073,0.00582994512208669,0.00800145642492085,0.00761902603387577,0.0036399905990794,0.00708368189545835,0.00718934505011671,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"Aquihabitans",0.000336375776927634,0.000550367829165826,0.000291092567436445,0.00047017798195692,0.000297617641640015,0.000301778607668949,0.000334202625408165,0.000310830869945827,0.000291791749711917,0.000242519924676165,0.00028782046876074,0.000203185423084486,0.000404363571730098,0.000324143351287027,0.000494840064669175,0.000200629403098864,0.000269854548398413,0.00036248798572017,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Aquihabitans"
"Aquimonas",0,0,0,0,1.41722686495245e-05,5.65834889379279e-05,0,2.53739485670063e-05,5.44018516412049e-05,4.2797633766382e-05,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Aquimonas"
"Aquincola",0.000190780291391792,0.0002446079240737,0.000318815669097059,0.000563234040885894,3.30686268488905e-05,0.000295491553342512,0.000104095899717297,0.000183961127110795,7.91299660235708e-05,9.51058528141822e-05,4.29582789195134e-05,6.55436848659632e-06,1.77742229331911e-05,2.2201599403221e-05,4.91062659595364e-05,0.00051590417939708,0.000184400608072249,2.19689688315255e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquincola"
"Aquisphaera",0.00106435320460684,0.000599289413980566,0.000526738931551662,0.000803220719176405,0.000444064417685102,0.000364649150933313,0.000854682123994653,0.000507478971340125,0.000860538380506333,0.00042797633766382,0.000884940545741975,0.000399816477682375,0.000790952920527006,0.000421830388661199,0.00141274949760513,0.000475778298777307,0.000503728490343705,0.000829328573390087,"Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Aquisphaera"
"Arachidicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Arachidicoccus"
"Arcobacter",0,0,0,0,0,0,0,0,0,0,1.2887483675854e-05,0,0,4.4403198806442e-06,0,1.14645373199351e-05,0,0,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter"
"Arenimonas",0.000798264903455131,0.00211585854323751,0.00223170968367941,0.00162603218760101,0.00149281229774992,0.00242051591567803,0.000975214218404155,0.00192207660395072,0.00315036177231341,0.00198771232381641,0.000743178225307581,0.00176967949138101,0.00112866315625764,0.00140758140216421,0.000698819938654942,0.000882769373635004,0.00141673637909167,0.000335026774680763,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Aridibacter",0.000130533883583858,0.00319824860726363,0.0030726437673847,0.00129788713769358,2.8344537299049e-05,0.000144602249508038,3.28723893844097e-05,1.26869742835031e-05,0.000232444275194239,9.51058528141822e-05,6.44374183792701e-05,3.93262109195779e-05,0,0.000111007997016105,0.000203979873985767,3.43936119598053e-05,0.000121434546779286,7.68913909103392e-05,"Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Aridibacter"
"Armatimonadetes_gp4",0.00164171461276621,0.00214643453374672,0.0034099415042555,0.00170929287190589,0.00109598877556323,0.00207472792772402,0.00177510902675812,0.00169371106684767,0.0015479799603361,0.00190211705628364,0.00281806309712008,0.00206462607327784,0.00156857517385412,0.0020292261854544,0.00174516114410045,0.00130122498581263,0.00121434546779286,0.00180694768639297,"Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp4"
"Armatimonadetes_gp5",0.00304244359430069,0.00629253884679594,0.00774398639719812,0.003536130239301,0.00547994387781615,0.0022947748291493,0.00432819793561395,0.00399639689930349,0.00384274897501966,0.00327164133680787,0.00452350677022476,0.00585960542701711,0.00459908018396321,0.0040984152498346,0.00603629330794917,0.00374317143495881,0.00356208003885905,0.00611286557737196,"Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5"
"Armatimonas/Armatimonadetes_gp1",0.00048699179644747,0.000330220697499495,0.000559082550155711,0.000866890654233071,0.000779474775723849,0.000232621010078148,0.000613617935175648,0.000279113434237069,0.000247281143823659,0.00031860460692751,0.00025774967351708,0.000353935898276201,0.000115532449065742,0.000284180472361229,0.000982125319190729,0.000177700328458994,0.000661143643576112,0.00102155705066593,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"Arthrobacter",0.00141077004950247,0.001553260317868,0.00313271048764936,0.00639148194222688,0.00468157274389293,0.00111909567010569,0.00714974469110911,0.00394564900216947,0.00163205554923615,0.00251554980693512,0.00054557014227782,0.00317231434751262,0.00368815125863716,0.00332579959060251,0.00159406494114803,0.00456861812199414,0.00301337579044895,0.000867774268845256,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter"
"Asticcacaulis",0.000612505146047334,0.00019568633925896,7.85487880384057e-05,0.000573029415509996,0.000618855731029237,0.000144602249508038,0.000838245929302448,0.000374265741363342,9.89124575294636e-05,0.000304338729005383,0.000365145370815864,0.000452251425575146,0.000431024906129885,0.000102127357254817,0.000120876962361936,0.000418455612177632,0.000850041827455002,0.000181243992860085,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Aureimonas",5.02053398399454e-06,0,1.38615508303069e-05,0,0,6.28705432643643e-06,0,1.26869742835031e-05,0,0,8.59165578390267e-06,0,0,3.99628789257978e-05,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas"
"Aureispira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88603597418646e-05,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Aureispira"
"Azoarcus",0.000416704320671547,0.000837782139952424,0.00106733941393363,0.000945253651225891,0.000779474775723849,0.00150889303834474,0.000438298525125463,0.00228999885817231,0.000820973397494547,0.00106518555151884,0.000541274314385868,0.000884839745690503,0.000519896020795841,0.000710451180903072,0.000135986582657178,0.000624817283936463,0.00110190607262685,4.39379376630509e-05,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azoarcus"
