"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Acidimicrobiales",313,442,342,399,294,237,290,197,295,244,294,320,452,353,490,326,406,367
"Actinomycetales",2898,2524,3348,4502,4008,1961,3944,2342,2649,2630,2050,2871,4293,3144,4337,4163,4545,3254
"Aeromonadales",11,10,14,1,0,3,9,1,0,10,4,53,6,7,1,0,1,1
"Alphaproteobacteria_incertae_sedis",1863,1415,1833,1771,1368,1089,1358,1191,1278,1575,2228,832,1356,1592,1869,1627,1725,1564
"Alteromonadales",12,17,44,18,16,4,3,3,11,19,41,29,11,51,28,5,9,7
"Anaerolineales",448,174,633,328,823,536,1025,496,461,532,551,321,803,888,1066,138,411,41
"Anaeroplasmatales",0,12,0,0,20,0,3,5,0,2,0,0,0,3,0,0,3,7
"Armatimonadales",97,54,121,177,165,37,112,44,50,67,60,54,26,64,260,31,147,186
"Bacillales",4324,2892,4498,6405,3118,1179,2506,1557,1778,2226,2342,2568,2029,2028,2309,3866,5628,3663
"Bacteroidales",86,10,5,17,87,16,22,63,55,37,80,58,37,47,20,3,22,34
"Bdellovibrionales",199,121,170,322,393,150,259,159,198,279,370,176,222,230,217,183,335,268
"Bifidobacteriales",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiales",9309,7075,9515,12780,8257,5335,7384,7557,7634,7683,9550,6950,4975,6101,9313,12745,13221,11516
"Caldilineales",200,50,147,96,185,180,147,151,137,184,202,103,196,163,230,82,112,25
"Campylobacterales",2,0,0,0,1,0,0,0,0,0,10,8,0,1,3,4,7,2
"Candidatus_Brocadiales",0,0,10,0,7,4,0,0,9,1,0,0,2,1,0,0,0,0
"Caulobacterales",1264,866,871,2091,1690,836,1347,940,897,1121,1644,902,1187,1125,1641,1931,1858,963
"Chlamydiales",770,515,477,894,813,317,926,349,239,596,1586,409,1265,819,1610,629,1607,958
"Chlorobiales",7,0,4,5,18,11,12,17,24,0,0,10,8,8,0,0,0,0
"Chloroflexales",0,1,17,0,8,8,9,3,2,3,52,0,13,4,16,0,0,0
"Chromatiales",1420,380,342,894,1254,762,832,751,591,974,1833,990,1325,1279,1608,672,723,649
"Chthonomonadales",232,435,1133,264,214,246,226,266,211,230,552,195,137,221,618,44,96,82
"Clostridiales",129,83,106,73,149,85,106,91,103,97,155,70,129,83,89,143,169,251
"Coriobacteriales",0,0,0,3,1,6,7,2,4,8,0,0,2,1,0,0,0,0
