"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Acetatifactor",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Achromobacter",38,23,45,47,12,17,17,11,3,12,17,19,20,17,0,47,30,16
"Acidicaldus",31,38,45,23,24,17,16,16,28,9,19,33,11,14,40,53,84,69
"Acidiferrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Acidiphilium",0,3,1,7,5,5,0,4,3,1,0,0,8,2,8,0,6,0
"Acidipila",0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
"Acidisoma",61,85,53,45,126,36,101,56,61,99,57,87,48,63,47,101,132,121
"Aciditerrimonas",63,27,34,90,55,39,61,49,75,43,30,87,110,85,71,63,68,32
"Acidobacterium",55,96,88,59,30,57,49,19,71,40,34,28,33,42,102,66,110,134
"Acidocella",79,287,140,588,50,28,59,46,28,40,22,53,24,42,26,931,1166,39
"Acidothermus",49,55,28,76,40,14,22,8,15,9,5,33,19,24,18,48,130,64
"Acidovorax",19,26,35,119,0,1,0,6,27,2,1,8,0,5,2,20,66,24
"Acinetobacter",53,51,71,104,32,4,11,21,25,18,19,31,66,13,4,42,110,13
"Actinoallomurus",49,56,2,64,33,32,13,21,95,34,48,34,32,43,175,20,81,96
"Actinocatenispora",18,0,0,0,1,2,7,2,6,0,0,0,5,10,17,0,12,14
"Actinocorallia",0,6,0,0,0,0,0,3,2,0,0,0,0,0,0,3,5,0
"Actinomadura",146,40,0,91,244,184,127,109,104,108,37,196,247,167,156,151,106,84
"Actinomycetospora",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Actinophytocola",0,0,0,19,0,23,0,1,0,0,0,0,1,0,0,0,0,4
"Actinoplanes",156,124,210,104,101,29,99,26,39,48,40,101,88,64,279,94,101,47
"Actinopolymorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,12,0
"Actinospica",8,3,5,12,6,7,11,11,9,2,23,1,34,4,26,14,20,22
"Adhaeribacter",1,0,0,2,13,6,9,5,31,10,41,66,31,65,21,5,0,0
"Aeromicrobium",8,3,16,5,5,10,0,13,23,4,0,4,11,13,12,28,3,0
"Aeromonas",11,0,3,1,0,2,9,1,0,10,1,26,2,4,0,0,1,1
"Afipia",25,20,29,24,26,9,3,9,3,2,0,19,15,20,10,41,19,0
