"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Acetatifactor_muris",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Achromobacter_marplatensis",34,23,45,24,11,14,16,11,2,12,0,19,20,16,0,47,29,16
"Acidicaldus_organivorans",31,38,45,23,24,17,16,16,28,9,19,33,11,14,40,53,84,69
"Acidiferrobacter_thiooxydans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Acidiphilium_angustum",0,3,1,7,5,5,0,4,3,1,0,0,8,2,8,0,6,0
"Acidisoma_sibiricum",2,0,0,0,5,2,5,2,9,13,0,0,8,9,0,0,2,0
"Acidisoma_tundrae",18,18,11,12,20,5,6,21,13,20,20,28,5,18,10,58,67,78
"Aciditerrimonas_ferrireducens",63,27,34,90,55,39,61,49,75,43,30,87,110,85,71,63,68,32
"Acidobacterium_capsulatum",2,2,6,4,1,3,6,6,12,4,0,7,10,6,0,0,0,11
"Acidothermus_cellulolyticus",49,55,28,76,40,14,22,8,15,9,5,33,19,24,18,48,130,64
"Acidovorax_soli",19,25,19,101,0,1,0,6,24,2,0,7,0,5,1,20,47,23
"Acidovorax_temperans",0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
"Acinetobacter_beijerinckii",0,0,2,6,0,0,1,0,0,0,1,0,0,1,1,0,0,5
"Acinetobacter_bereziniae",23,36,34,41,3,2,2,6,17,13,16,22,8,5,3,25,11,1
"Acinetobacter_indicus",0,4,10,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_johnsonii",0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
"Acinetobacter_lwoffii",0,0,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1
"Acinetobacter_nosocomialis",29,0,4,52,0,0,0,3,0,3,1,0,0,0,0,17,22,0
"Acinetobacter_soli",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
