"","sample1","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","Kingdom","Phylum","Class","Order"
"Planctomycetales",0.0327087789057244,0.0380793385801733,0.0457893229094471,0.0365269519732782,0.0308341324918155,0.0327555530407338,0.038027875786198,0.0294210933634438,0.0279773886122088,0.0291023909611397,0.0298173413980342,0.0212230451595989,0.0289231042680353,0.0307403345336998,0.037135669280631,0.0219259276243759,0.0316539385271339,0.0216888644789235,"Bacteria","Planctomycetes","Planctomycetia","Planctomycetales"
"Pseudomonadales",0.00343906577903626,0.00843285818244082,0.035892175616608,0.0151534445434866,0.00581535423585489,0.00225705250319068,0.00598277486796257,0.00399639689930349,0.00253710453563074,0.00432731630304529,0.00201044745343323,0.0112210788490529,0.00719411673220911,0.0122375215910554,0.00132964658598129,0.00791053075075523,0.00688578855996618,0.0089303858300151,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"Puniceicoccales",5.02053398399454e-06,0,0,1.46930619361537e-05,0,3.14352716321822e-05,5.47873156406829e-06,5.70913842757641e-05,6.42930973941513e-05,6.65740969699275e-05,1.2887483675854e-05,0,1.33306671998934e-05,1.77612795225768e-05,0,0,7.64587887128838e-05,1.64767266236441e-05,"Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales"
"Rhizobiales",0.0594180197005754,0.0640995065035132,0.0758134420078918,0.0587820431192391,0.0650223685640185,0.0562314138956475,0.0636792969691657,0.0542748759848264,0.0579429176207597,0.0675156449127879,0.0437401195958485,0.0695615127482467,0.0562243106934169,0.0644068398687441,0.0643254310019189,0.0383947354844627,0.0383958046612876,0.0501936015378278,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"Rhodobacterales",0.000256047233183721,0.00139426516722009,0.00198682228567732,0.0011656495802682,0.000793647044373373,0.000414945585544805,0.00073415002958515,0.000596287791324647,0.000459942927512005,0.000699028018184239,0.000184720599353907,0.000563675689847283,0.000484347574929459,0.000266419192838652,0.000241753924723872,0.000911430716934841,0.000512723641956985,0.000664561307153645,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales"
"Rhodocyclales",0.003675030876284,0.00434179065230818,0.00448190143513256,0.0056960103439156,0.00839470713006836,0.0136491949426935,0.0042843680831014,0.0155542304715748,0.0105539592183938,0.0133576170277519,0.00359131211767132,0.00467981909942977,0.00587438067941967,0.00684697325595336,0.00213801127177674,0.00484376701767258,0.00445709762438046,0.00230674172731017,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales"
"Rhodospirillales",0.041334056290227,0.031646150177035,0.0276306913217451,0.0317517068440282,0.0352086394149687,0.0308442885254972,0.0368061186474107,0.0318062445287423,0.0304897650334571,0.0353128031499058,0.0425845418929136,0.0568525922527365,0.0554866804416894,0.0509881931894374,0.0443807322121995,0.0384176645591026,0.0305430373028937,0.0269504325140739,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales"
"Rickettsiales",5.52258738239399e-05,3.05759905092125e-05,0,4.89768731205125e-05,2.8344537299049e-05,2.51482173057457e-05,6.57447787688194e-05,1.90304614252547e-05,1.48368686294195e-05,3.80423411256729e-05,4.72541068114647e-05,0,2.66613343997867e-05,1.77612795225768e-05,2.2664430442863e-05,0,0,2.19689688315255e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales"
"Rubrobacterales",0,6.11519810184251e-06,1.84820677737425e-05,9.7953746241025e-06,0,0,0,0,0,0,7.30290741631727e-05,6.55436848659632e-06,0,8.8806397612884e-06,0,5.1590417939708e-05,8.99515161328044e-06,1.64767266236441e-05,"Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales"
"Selenomonadales",2.00821359359782e-05,6.11519810184251e-06,3.23436186040494e-05,9.7953746241025e-06,4.72408954984151e-06,0.000119454032202292,1.09574631281366e-05,9.51523071262735e-05,4.45106058882586e-05,2.85317558442547e-05,1.2887483675854e-05,0,1.77742229331911e-05,2.66419192838652e-05,3.7774050738105e-06,5.73226865996756e-06,4.94733338730424e-05,5.49224220788137e-06,"Bacteria","Firmicutes","Negativicutes","Selenomonadales"
"Sneathiellales",4.51848058559508e-05,0.00012230396203685,6.93077541515345e-05,7.34653096807687e-05,0.000122826328295879,6.28705432643643e-06,0.000120532094409502,0.000158587178543789,9.89124575294636e-05,4.75529264070911e-05,3.43666231356107e-05,0.000183522317624697,6.2209780266169e-05,4.4403198806442e-06,0.000222866899354819,0,0.000157415153232408,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales"
