"","KO","OE","WT"
"num.edges(L)","104","29","35"
"num.pos.edges","98","22","29"
"num.neg.edges","6","7","6"
"num.vertices(n)","95","49","39"
"Connectance(edge_density)","0.0232922732362822","0.0246598639455782","0.0472334682860999"
"average.degree(Average K)","2.18947368421053","1.18367346938776","1.79487179487179"
"average.path.length","2.19583333333333","1.28947368421053","1.125"
"diameter","6.95522196336754","2.98258315285495","1.98873111484044"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.583333333333333","0.375","0.944444444444445"
"no.clusters","29","21","15"
"centralization.degree","0.0405375139977604","0.0378401360544218","0.058029689608637"
"centralization.betweenness","0.00683907962051627","0.0043218085106383","0.00711237553342817"
"centralization.closeness","0.00209467721810332","0.00233747820755183","0.00307501448915986"
"RM(relative.modularity)","0.520902941895524","0.460611677479146","0.458100558659218"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
