ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_378,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora,Verrucosispora_andamanensis,16.6666666666667,ASV_378
ASV_539,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unassigned,Unassigned,14.3333333333333,ASV_539
ASV_511,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Unassigned,17.1666666666667,ASV_511
ASV_283,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,Unassigned,16.1666666666667,ASV_283
ASV_97,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas_puraquae,77.8333333333333,ASV_97
ASV_535,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,11.3333333333333,ASV_535
ASV_53,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Unassigned,118.333333333333,ASV_53
ASV_73,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned,Unassigned,146.833333333333,ASV_73
ASV_415,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,Unassigned,25,ASV_415
ASV_413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Unassigned,Unassigned,11,ASV_413
ASV_602,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus,Unassigned,11.6666666666667,ASV_602
ASV_118,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unassigned,53.8333333333333,ASV_118
ASV_391,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned,Unassigned,25.6666666666667,ASV_391
ASV_438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium_sulfonivorans,18.8333333333333,ASV_438
ASV_109,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Unassigned,Unassigned,23.8333333333333,ASV_109
ASV_458,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,Bacillus_abyssalis,15.8333333333333,ASV_458
ASV_208,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned,14.8333333333333,ASV_208
ASV_297,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Unassigned,Unassigned,Unassigned,16.1666666666667,ASV_297
ASV_80,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas_wuyuanensis,64.1666666666667,ASV_80
