"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_122","bac","Bacteria","Actinobacteria","Actinobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_122"
"bac_ASV_123","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium","Unassigned","bac","bac_ASV_123"
"bac_ASV_124","bac","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_124"
"bac_ASV_125","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Unassigned","Unassigned","bac","bac_ASV_125"
"bac_ASV_126","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_126"
"bac_ASV_127","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_127"
"bac_ASV_128","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac","bac_ASV_128"
"bac_ASV_129","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_alvei","bac","bac_ASV_129"
"bac_ASV_13","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac","bac_ASV_13"
"bac_ASV_130","bac","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_130"
"bac_ASV_132","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_132"
"bac_ASV_133","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac","bac_ASV_133"
"bac_ASV_134","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Unassigned","bac","bac_ASV_134"
"bac_ASV_135","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptosporangiaceae","Unassigned","Unassigned","bac","bac_ASV_135"
"bac_ASV_136","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned","bac","bac_ASV_136"
"bac_ASV_137","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_137"
"bac_ASV_138","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_138"
"bac_ASV_14","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_14"
"bac_ASV_140","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Unassigned","bac","bac_ASV_140"
"bac_ASV_141","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unassigned","bac","bac_ASV_141"
"bac_ASV_142","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_142"
"bac_ASV_143","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unassigned","Unassigned","bac","bac_ASV_143"
