"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_68","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_68"
"bac_ASV_69","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Kibdelosporangium","Kibdelosporangium_phytohabitans","bac","bac_ASV_69"
"bac_ASV_7","bac","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unassigned","bac","bac_ASV_7"
"bac_ASV_70","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_gei","bac","bac_ASV_70"
"bac_ASV_71","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_soli","bac","bac_ASV_71"
"bac_ASV_72","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Unassigned","bac","bac_ASV_72"
"bac_ASV_73","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_73"
"bac_ASV_74","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_neotropicale","bac","bac_ASV_74"
"bac_ASV_742","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_742"
"bac_ASV_75","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Unassigned","bac","bac_ASV_75"
"bac_ASV_76","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassigned","bac","bac_ASV_76"
"bac_ASV_77","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Steroidobacter_denitrificans","bac","bac_ASV_77"
"bac_ASV_78","bac","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Herpetosiphonaceae","Herpetosiphon","Unassigned","bac","bac_ASV_78"
"bac_ASV_79","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_79"
"bac_ASV_8","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces","Unassigned","bac","bac_ASV_8"
"bac_ASV_80","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas_wuyuanensis","bac","bac_ASV_80"
"bac_ASV_81","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_81"
"bac_ASV_83","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_83"
"bac_ASV_84","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_84"
"bac_ASV_85","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_85"
"bac_ASV_86","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Couchioplanes","Unassigned","bac","bac_ASV_86"
"bac_ASV_87","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Unassigned","bac","bac_ASV_87"
"bac_ASV_88","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_88"
"bac_ASV_89","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Steroidobacter_agariperforans","bac","bac_ASV_89"
"bac_ASV_9","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes","Unassigned","bac","bac_ASV_9"
"bac_ASV_90","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","bac","bac_ASV_90"
"bac_ASV_91","bac","Bacteria","Proteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_91"
"bac_ASV_92","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola","Unassigned","bac","bac_ASV_92"
"bac_ASV_93","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_brunescens","bac","bac_ASV_93"
"bac_ASV_94","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium","Unassigned","bac","bac_ASV_94"
"bac_ASV_95","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_95"
"bac_ASV_96","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_insulae","bac","bac_ASV_96"
"bac_ASV_97","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","Pelomonas_puraquae","bac","bac_ASV_97"
"bac_ASV_98","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Unassigned","Unassigned","bac","bac_ASV_98"
"bac_ASV_99","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac","bac_ASV_99"
"env1",NA,NA,NA,NA,NA,NA,NA,NA,"env","env1"
"env10",NA,NA,NA,NA,NA,NA,NA,NA,"env","env10"
"env2",NA,NA,NA,NA,NA,NA,NA,NA,"env","env2"
"env3",NA,NA,NA,NA,NA,NA,NA,NA,"env","env3"
"env4",NA,NA,NA,NA,NA,NA,NA,NA,"env","env4"
"env5",NA,NA,NA,NA,NA,NA,NA,NA,"env","env5"
"env6",NA,NA,NA,NA,NA,NA,NA,NA,"env","env6"
"env7",NA,NA,NA,NA,NA,NA,NA,NA,"env","env7"
"env8",NA,NA,NA,NA,NA,NA,NA,NA,"env","env8"
"env9",NA,NA,NA,NA,NA,NA,NA,NA,"env","env9"
