"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43","ME44","ME45"
"OE1",0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880892,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891,0.533998670880891
"OE2",0.0244854564207364,0.0244854564207369,0.0244854564207366,0.0244854564207372,0.0244854564207364,0.0244854564207369,0.0244854564207366,0.0244854564207369,0.0244854564207362,0.0244854564207363,0.0244854564207366,0.0244854564207366,0.0244854564207364,0.0244854564207366,0.0244854564207364,0.0244854564207366,0.0244854564207366,0.0244854564207366,0.0244854564207365,0.024485456420737,0.0244854564207366,0.0244854564207368,0.0244854564207367,0.0244854564207363,0.0244854564207367,0.0244854564207369,0.024485456420737,0.0244854564207364,0.0244854564207366,0.0244854564207376,0.0244854564207366,0.0244854564207364,0.0244854564207369,0.024485456420737,0.0244854564207366,0.0244854564207364,0.0244854564207367,0.0244854564207361,0.0244854564207362,0.0244854564207364,0.0244854564207364,0.0244854564207368,0.0244854564207367,0.0244854564207364,0.0244854564207369
"OE3",-0.218205557719091,-0.218205557719092,-0.218205557719092,-0.218205557719091,-0.218205557719091,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719091,-0.218205557719091,-0.218205557719092,-0.218205557719092,-0.218205557719091,-0.218205557719092,-0.218205557719091,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719091,-0.218205557719092,-0.218205557719093,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719091,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719092,-0.218205557719093,-0.218205557719092
"OE4",-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054486,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054486,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487,-0.684461213054487
"OE5",-0.0914558450977057,-0.0914558450977062,-0.0914558450977057,-0.0914558450977054,-0.0914558450977056,-0.0914558450977057,-0.0914558450977065,-0.0914558450977055,-0.0914558450977058,-0.0914558450977058,-0.091455845097705,-0.0914558450977059,-0.0914558450977056,-0.0914558450977059,-0.0914558450977058,-0.0914558450977056,-0.0914558450977054,-0.0914558450977059,-0.0914558450977062,-0.0914558450977056,-0.0914558450977059,-0.0914558450977055,-0.0914558450977057,-0.0914558450977064,-0.0914558450977057,-0.0914558450977051,-0.0914558450977059,-0.0914558450977055,-0.0914558450977061,-0.0914558450977054,-0.0914558450977059,-0.0914558450977057,-0.091455845097706,-0.0914558450977057,-0.0914558450977056,-0.0914558450977057,-0.0914558450977056,-0.0914558450977063,-0.0914558450977055,-0.0914558450977061,-0.0914558450977061,-0.091455845097706,-0.0914558450977056,-0.091455845097706,-0.0914558450977061
"OE6",0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569657,0.435638488569656,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569656,0.435638488569657,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569657,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569656,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569657,0.435638488569657,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569656,0.435638488569657,0.435638488569656
