,Group,Order,Abundance(%)
1,KO,Actinomycetales,24.8056678575368
2,KO,Bacillales,1.64272568101605
3,KO,Burkholderiales,27.2933325050218
4,KO,Caulobacterales,1.42161142325433
5,KO,Cytophagales,0.560271792636448
6,KO,Flavobacteriales,3.14621032765026
7,KO,Myxococcales,1.08461131417742
8,KO,others,4.46165383864456
9,KO,Pseudomonadales,5.07971095884166
10,KO,Rhizobiales,13.5257749757942
11,KO,Sphingomonadales,2.73955728675513
12,KO,Unassigned,9.07339982484454
13,KO,Xanthomonadales,5.16547221382675
14,OE,Actinomycetales,26.8060232142064
15,OE,Bacillales,3.24472883980434
16,OE,Burkholderiales,18.207160936795
17,OE,Caulobacterales,1.17134597821868
18,OE,Cytophagales,1.5228371033761
19,OE,Flavobacteriales,3.8031933132821
20,OE,Myxococcales,1.53366823032229
21,OE,others,6.73433942239965
22,OE,Pseudomonadales,5.71223271430573
23,OE,Rhizobiales,11.1713143629195
24,OE,Sphingomonadales,1.71942452956254
25,OE,Unassigned,11.9057640897205
26,OE,Xanthomonadales,6.4679672650872
27,WT,Actinomycetales,29.7500108912228
28,WT,Bacillales,0.806525435608911
29,WT,Burkholderiales,21.8284135569659
30,WT,Caulobacterales,1.15176791487522
31,WT,Cytophagales,1.30296228233419
32,WT,Flavobacteriales,3.39932748083859
33,WT,Myxococcales,1.37184107255807
34,WT,others,5.90462861774669
35,WT,Pseudomonadales,6.40085359179982
36,WT,Rhizobiales,10.0840356822601
37,WT,Sphingomonadales,1.69721400089727
38,WT,Unassigned,9.80108537307254
39,WT,Xanthomonadales,6.50133409981988
