ID	cdtn3003	cdtn3004	cdtn3006	cdtn3007	cdtn3008	cdtn3009	cdtn3010	cdtn3011	cdtn3012	cdtn3013	cdtn3014	cdtn3015	cdtn3016	cdtn3017	cdtn3018	cdtn3019	cdtn3020	cdtn3021	cdtn3022	cdtn3023	cdtn3024	cdtn3025	cdtn3026	cdtn3027	cdtn3028	cdtn3029	cdtn3030	cdtn3031	cdtn3032	cdtn3033	cdtn3034	cdtn3035	cdtn3036	cdtn3037	cdtn3038	cdtn3039	cdtn3040	cdtn3041	cdtn3042	cdtn3044	cdtn3045	cdtn3046	cdtn3047	cdtn3048	cdtn3049	cdtn3050	cdtn3051	cdtn3053	cdtn3054	cdtn3055	cdtn3056
Atopobium	1029	4217	158	216	169	222	609	591	105	300	103	1061	1293	885	66	2154	304	27	1655	183	1934	995	1059	8	468	274	8	6	582	34	92	762	179	1351	0	359	88	824	2202	1116	617	1923	95	7251	375	420	163	828	1612	61	61
Clostridium	2795	889	95	123	795	131	35	1263	46	411	948	255	566	255	357	953	2681	1936	337	163	108	1524	36	26	65	45	426	41	388	34	193	56	33	2680	8041	1168	40	29	113	199	5946	379	370	33	414	548	151	9	168	23	30
Lachnospira	147	91	222	185	487	678	905	2561	70	2262	7146	698	5507	1425	3614	158	3469	1521	73	231	65	326	132	26	65	480	33	0	296	0	220	11	22	0	82	11	32	0	239	173	0	205	800	0	932	611	1260	239	73	23	276
Coprococcus	604	91	301	792	218	819	89	846	93	4272	3924	1437	3807	4246	622	88	2427	1383	63	472	282	497	180	533	390	435	150	13	730	0	92	78	56	0	733	303	16	44	415	484	41	245	370	8	673	2358	560	179	73	38	215
Corynebacterium	277	353	492	113	3817	1143	842	197	457	79	129	376	203	240	238	423	762	152	305	3624	228	140	108	664	481	103	2995	20	662	41	699	302	302	547	94	359	1074	1024	465	484	1172	4479	382	648	155	165	385	1468	273	23	276
Mobiluncus	1046	615	1000	41	49	10	8	127	2123	47	311	524	29	120	39	3020	762	331	263	106	32	186	1408	882	26	11	309	62	696	13	0	246	3565	5696	11	1045	2342	0	855	51	2088	118	59	303	0	344	899	19	1000	15	307
Blautia	948	68	365	370	159	1092	484	1750	82	743	493	1128	886	795	1138	317	800	760	73	462	249	513	240	594	1314	492	309	6	1221	6	303	56	44	11	1099	1157	56	66	125	4649	61	261	1552	33	2240	1198	665	259	10	7	563
Roseburia	130	68	1445	216	29	485	349	2016	199	648	350	2217	3356	465	2925	459	521	926	94	2130	380	529	228	148	26	251	58	0	513	0	1270	44	0	0	118	0	16	44	75	476	20	15	2029	0	699	1249	163	49	31	7	245
Oscillospira	1095	45	381	298	169	70	116	150	58	2310	727	792	1176	1455	966	1077	559	580	31	115	195	171	1360	594	2472	1179	83	13	639	6	156	235	56	67	1844	101	0	185	390	164	61	94	1086	244	220	420	116	339	52	7	225
Actinomyces	572	1607	142	1440	5040	50	35	34	304	142	233	120	421	390	13	618	114	207	516	57	239	93	120	8	221	0	267	48	274	13	248	89	3912	413	11	719	621	14	339	43	30	403	23	387	168	305	361	769	653	30	30
Sneathia	0	0	142	0	29	40	0	0	11	0	25	0	14	15	0	123	25	0	0	0	7422	77	0	0	0	0	66	27	0	0	0	11	1401	11549	11	0	121	0	62	17	123	23	0	33	12	1491	0	0	0	0	0
Peptostreptococcus	49	661	31	1842	646	131	8	985	2346	47	1000	107	450	450	92	3090	76	138	906	1879	467	311	36	0	0	22	1029	6	0	0	0	11	156	726	0	1202	549	7	641	17	565	0	0	8	220	140	35	29	421	7	122
Megamonas	49	0	31	442	9	20	17	0	140	6044	5457	3816	43	0	1151	105	88	27	442	559	32	62	24	0	26	0	0	0	22	6	0	684	0	0	0	0	0	0	50	0	0	0	0	0	0	50	23	89	21	46	0
Phascolarctobacterium	1128	0	31	41	99	303	224	463	105	31	454	26	174	1035	1350	70	12	0	42	96	108	373	553	332	767	0	8	13	1233	0	156	67	44	11	1419	595	48	200	88	294	51	118	2519	101	880	713	326	429	10	69	317
Bilophila	163	11	270	267	49	60	143	69	175	601	545	792	305	165	423	353	177	248	52	19	554	248	1396	279	950	973	41	0	274	0	92	370	11	11	804	146	24	7	62	8	51	63	537	168	246	229	46	249	52	7	133
Akkermansia	376	159	0	10	457	30	0	11	0	5458	0	40	0	1785	211	0	12	0	0	9	0	15	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	113	8	92	7	11	0	310	0	23	0	0	7	0
Megasphaera	0	569	0	72	0	1416	8	11	58	63	25	282	14	15	0	582	12	0	73	0	10	31	361	0	13	1774	8	0	0	6	0	403	336	491	0	11	8	720	0	0	771	102	0	50	0	127	105	9	10	38	0
Veillonella	0	0	15	421	19	20	62	185	703	0	51	13	0	0	26	35	0	13	73	1908	554	15	0	8	91	0	16	0	79	0	0	269	11	0	23	11	2560	0	0	69	10	15	0	8	0	0	0	0	31	0	10
Parvimonas	0	592	412	0	1332	40	0	0	0	63	116	0	0	15	0	52	50	110	0	0	65	186	0	0	0	0	8	0	0	0	0	0	78	1586	0	505	16	7	75	25	10	0	0	0	0	127	455	0	0	0	0
Desulfovibrio	114	45	0	10	9	50	8	0	0	537	64	107	276	2310	13	88	266	760	10	0	10	31	12	17	0	0	16	0	0	0	0	0	0	0	177	0	0	0	427	0	30	7	11	0	38	0	11	329	0	0	0
Delftia	65	34	15	133	198	172	322	185	58	79	12	80	29	45	105	123	101	41	31	212	43	15	228	61	52	114	426	27	91	20	82	123	33	33	35	179	234	289	50	216	72	672	11	75	12	38	81	89	31	61	174
Anaerostipes	81	11	15	0	0	10	0	81	0	411	246	53	276	750	225	17	406	41	0	19	0	0	12	8	78	80	16	0	1495	0	18	0	11	0	70	11	0	22	0	25	0	0	561	0	0	254	46	29	0	7	0
Butyricimonas	212	0	0	41	29	20	8	11	11	79	246	470	261	570	609	70	25	110	0	9	21	15	0	78	104	148	0	0	0	6	0	56	0	0	319	0	8	0	100	0	0	7	716	8	25	101	11	129	0	7	0
Gallicola	0	159	412	10	9	10	0	0	0	0	0	13	14	0	158	0	76	401	0	9	0	15	0	0	13	0	1957	13	182	6	0	0	0	0	11	11	8	0	0	0	370	0	11	0	12	12	0	0	0	0	10
Moryella	32	0	0	0	39	20	0	11	0	15	441	13	14	0	0	317	12	13	0	0	0	140	0	0	26	0	8	0	34	6	9	0	0	0	11	0	0	0	0	0	462	0	0	0	1100	586	11	0	273	0	0
Odoribacter	408	0	0	20	59	0	62	0	11	63	77	107	392	660	79	17	50	0	10	0	10	15	0	61	52	34	33	0	79	0	46	0	0	0	236	0	0	0	163	8	0	7	167	0	0	76	46	69	0	0	40
Peptococcus	32	512	111	10	69	0	0	0	11	15	12	26	14	45	13	52	12	27	168	48	0	46	24	0	0	0	158	6	0	0	0	33	403	726	0	22	0	0	62	8	41	0	0	0	38	344	0	19	10	0	20
Mitsuokella	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2404	0	6	0	0	0	11	0	0	0	0	0	29	0	0	0	0	0	0	0	12	0	0	0	15	20
Paraprevotella	163	0	0	10	9	0	0	0	0	506	337	161	450	30	0	35	12	0	10	0	10	15	12	0	39	80	33	0	0	0	0	0	0	0	283	0	0	44	25	0	0	7	0	0	0	12	315	29	10	0	0
Escherichia	261	0	0	30	39	10	53	11	11	15	155	80	29	60	13	547	12	27	21	0	43	77	108	0	468	91	0	0	11	0	0	0	0	0	118	11	0	0	50	0	0	7	23	0	0	0	23	79	31	0	20
Arcanobacterium	16	11	0	20	59	0	8	0	187	15	0	0	14	0	13	0	88	0	21	0	43	77	60	0	0	0	25	0	0	6	82	0	0	413	0	134	0	0	12	0	10	0	0	0	181	662	11	69	158	15	30
Haemophilus	32	11	127	0	9	10	0	46	11	0	90	0	130	0	66	0	0	0	10	395	0	0	0	0	351	0	8	0	456	6	0	0	11	0	0	0	0	0	0	8	0	158	11	0	0	0	11	379	0	7	0
