Prevotella	Bacteroides	Peptoniphilus	Lactobacillus	Porphyromonas	Anaerococcus	Dialister	Streptococcus	Finegoldia	Faecalibacterium	Campylobacter	Gardnerella	Bifidobacterium	Fusobacterium	Dorea	Parabacteroides	Ruminococcus	Collinsella	Sutterella	Atopobium	Clostridium	Lachnospira	Coprococcus	Corynebacterium	Mobiluncus	Blautia	Roseburia	Oscillospira	Actinomyces	Sneathia	Peptostreptococcus	Megamonas	Phascolarctobacterium	Bilophila	Akkermansia	Megasphaera	Veillonella	Parvimonas	Desulfovibrio	Delftia	Anaerostipes	Butyricimonas	Gallicola	Moryella	Odoribacter	Peptococcus	Mitsuokella	Paraprevotella	Escherichia	Arcanobacterium	Haemophilus	Bulleidia	Catenibacterium	Eggerthella	Staphylococcus	Varibaculum	Pseudomonas	Neisseria	Coprobacillus	Mogibacterium	Rothia	Lachnobacterium	Slackia	Alloscardovia	Methanobrevibacter	Pyramidobacter	Ureaplasma	Shuttleworthia	Acinetobacter	Treponema	Facklamia	Lactococcus	Aerococcus	Synergistes	Gemella	Adlercreutzia	Alistipes	Leptotrichia	Anoxybacillus	Holdemania	Dermabacter	Actinobaculum	Aggregatibacter	Anaerotruncus
Gardnerella	0.142526806159452	0.0996154750979001	0.882585544474346	0.411347427482913	0.69341412129346	0.169616208508749	0.069729446038906	0.869949094819443	0.660953777966495	0.242709862461293	0.700959126330854	0	1	1	1	1	1	1	1	1.12817121675481e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bifidobacterium	0.0234592361339332	0.0154771486196027	0.612659524227064	0.224423629622695	0.0159038128982552	0.409459182226625	0.916796154866341	0.128870722300382	0.721974476111274	0.00123891894982319	0.0572170185785834	0.123441969386006	0	1	1	1	1	1	1	1	1	1	1	1	1	0.0231936139313903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fusobacterium	0.845182150825019	0.624955575613186	0.888033269187947	0.323903962370278	0.632400117074375	0.663179604011241	0.953044923133514	0.276934385673582	0.745097332976217	0.514434378647451	0.63499273486405	0.533733643255898	0.976208585005915	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dorea	0.0324249443432811	0.000111869013705034	0.0388811056957332	0.317642829903172	0.420477704482684	0.127453714081043	0.0864321114685885	0.324668441898945	0.13773613866222	0.34558163618622	0.608756735525279	0.285101765438947	0.0636453172922529	0.642118848687986	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0476261601991686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000260283946157054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Parabacteroides	0.115436822169164	0.0265993245217755	0.211894615159629	0.459230808147243	0.488133487761131	0.194695851800255	0.154485024369943	0.548542260220538	0.380020449505928	0.877939693698335	0.84797734078194	0.408093164990225	0.398991215246972	0.587186170652058	0.503963490132761	0	1	1	1	1	1	1	1	1	1	1	1	0.00443997574495516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00739140225727337	1	1	1	1	1	1	1	1	0.0125050602413348	1	1	2.93650147042952e-05	1	1	1	1	1	1	5.76261095381755e-06	1	1	1	1	1	1	1	1	1	4.66738510896888e-05	1	0.000145884145499096	1	1	2.02392526821527e-05	1
Ruminococcus	0.0126792110952763	0.000304633668877296	0.00471690962757331	0.224721474717463	0.684692927993538	0.0808379402281761	0.135850390534318	0.108938399157157	0.0573032831243137	1.15813398285306e-06	0.332076486200507	0.375830266747022	0.000980498896145405	0.161898522562606	0.0574313416922944	0.720711488727823	0	1	1	1	1	1	0.0201113092206263	1	1	1	1	0.00104159651820958	1	1	1	0.474821324633535	1	1	0.00224544285512341	1	1	1	1	1	1	1	1	1	1	1	1	0.0254234690202147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.156839742140956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Collinsella	0.15474102786961	0.146901931353611	0.79780072469813	0.200921027949971	0.215778188778452	0.909058875698581	0.268909135627338	0.196328315788583	0.720855028465169	0.23411380303441	0.469691561068682	0.385560229472273	0.00107023689539857	0.000351956809907489	0.430316852740762	0.103326189269391	0.090110615767375	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sutterella	0.155659776028954	0.00077889373202224	0.147763682699636	0.0919455326454929	0.131755902939509	0.444183900100387	0.24067868579625	0.164508209786577	0.431082934126061	2.13769899913203e-07	0.472147839665408	0.219321018460789	0.00032353507238411	0.245942065689515	0.147234807415357	0.957107743835394	0.0428220112602047	0.0138591191450773	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.82846484468186	1	1	1	1	1	1	1	1	1	1	1.78044905351456e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Atopobium	0.00331804317366191	0.156671097392791	0.930679831021993	0.239386104055127	0.939570019389896	0.692368269718183	0.00360356691546281	0.369425756587654	0.425537905071526	0.182975077934468	0.685269612977161	3.2502772018289e-10	0.281647316711142	0.85898154822103	0.554356624993529	0.752081709638625	0.169026141858805	0.292131859310412	0.283542014003287	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.232409310931615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Clostridium	0.245420474245411	0.158005655438076	0.304363639706747	0.635760067769745	0.0720889796041909	0.475285406729169	0.195033400288943	0.193113965243732	0.196121621582497	0.991163447322263	0.941252754218424	0.898148654445622	0.674604821322448	0.528489948401513	0.0311799878172155	0.633395760457896	0.0259220658129557	0.881764913765084	0.536598827880582	0.621961404904966	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
