genus	degree
Bacteroides	2
Anaerococcus	1
Finegoldia	3
Faecalibacterium	2
Gardnerella	1
Dorea	1
Parabacteroides	5
Sutterella	2
Atopobium	1
Lachnospira	2
Coprococcus	2
Corynebacterium	3
Mobiluncus	1
Oscillospira	1
Sneathia	1
Phascolarctobacterium	3
Bilophila	1
Akkermansia	1
Megasphaera	1
Parvimonas	1
Desulfovibrio	3
Delftia	2
Butyricimonas	2
Odoribacter	2
Peptococcus	1
Mitsuokella	2
Paraprevotella	1
Haemophilus	5
Eggerthella	1
Neisseria	6
Rothia	6
Methanobrevibacter	1
Ureaplasma	1
Shuttleworthia	6
Acinetobacter	1
Facklamia	1
Lactococcus	1
Synergistes	2
Gemella	4
Adlercreutzia	1
Leptotrichia	6
Holdemania	1
Dermabacter	1
Actinobaculum	1
Aggregatibacter	6
Anaerotruncus	1
