,KO-OElogFC,KO-OElevel,KO-OEp,KO-WTlogFC,KO-WTlevel,KO-WTp,OE-WTlogFC,OE-WTlevel,OE-WTp,KO,OE,WT
Acidimicrobiales,-0.21620484669678,nosig,0.100936648917567,0.015377409114486,nosig,0.908234133293409,0.231582255811266,nosig,0.0742834448529886,0.00306368579656787,0.00493232573984825,0.00363285804396323
Actinomycetales,0.332527762040188,enriched,0.0152234250111782,-0.0152129705796019,nosig,0.911570547642717,-0.347740732619789,nosig,0.0111309550948642,0.248056678575368,0.268060232142064,0.297500108912228
Alphaproteobacteria_incertae_sedis,0.66595776264088,nosig,0.275470085081576,0.645190025399595,nosig,0.290949497748491,-0.0207677372412856,nosig,0.973316988712096,0.00020914128999054,0.000187591882375814,0.000162438027372861
Armatimonadales,-1.07801487020694,nosig,0.259534707330238,-0.795117750931007,nosig,0.413603201032863,0.282897119275936,nosig,0.74103286538906,2.63404076807634e-05,8.0637545905807e-05,5.7871866359429e-05
Bacillales,-0.493148727658309,nosig,0.101592018486226,1.28934210619467,enriched,2.03496160677405e-05,1.78249083385298,enriched,3.65983692156688e-09,0.0164272568101605,0.0324472883980434,0.00806525435608911
Bacteroidales,0,nosig,1,-3.58331958780207,nosig,0.326013367992581,-3.90194989592262,nosig,0.284846146766022,0,0,7.74706295172213e-05
Bdellovibrionales,0.958971231381339,enriched,0.0133262998603621,0.486540730476956,nosig,0.207769126071987,-0.472430500904383,nosig,0.223261902766238,0.00370214565729282,0.00285790266702123,0.00346747631167296
Burkholderiales,1.09294218732532,enriched,1.14821515687629e-07,0.637294537522849,enriched,0.00198901164093472,-0.455647649802467,nosig,0.0271062750084235,0.272933325050218,0.18207160936795,0.218284135569659
Caldilineales,-1.38653337986751,nosig,0.0590355248595509,-0.801479482851264,nosig,0.28614208517027,0.585053897016249,nosig,0.386917926022046,6.42371467068789e-05,0.000220941093076511,0.000130031287024239
Caulobacterales,0.779080764854613,enriched,4.50452883058688e-07,0.588661322887578,enriched,0.000133154341608479,-0.190419441967035,nosig,0.21886083195061,0.0142161142325433,0.0117134597821867,0.0115176791487522
Chlamydiales,-0.557006191042183,nosig,0.283347480014317,-0.728456025390365,nosig,0.159307335838582,-0.171449834348182,nosig,0.733241425914976,0.000293308207389802,0.000588736769492031,0.000588689745335205
Chloroflexales,0.344815011639966,nosig,0.154641752592513,0.023964450431952,nosig,0.920831391752821,-0.320850561208014,nosig,0.183481052348637,0.00321024883085618,0.00345635310967477,0.00382856546945107
Chromatiales,-1.52346905830009,nosig,0.38360640750434,-1.40170607509011,nosig,0.425015701646535,0.121762983209978,nosig,0.940531705580998,9.22466675891333e-06,4.0622125781424e-05,3.14937130156697e-05
Clostridiales,0.802735948151355,nosig,0.268541528178645,1.20158596641889,nosig,0.0988684132383248,0.398850018267532,nosig,0.584893815818712,0.0013570180376854,0.000992434123911677,0.000640147704977781
Cytophagales,-1.01217982531926,depleted,0.000824535396161527,-0.968372740527531,depleted,0.00137874525476757,0.0438070847917246,nosig,0.884280435242968,0.00560271792636448,0.015228371033761,0.0130296228233419
Desulfuromonadales,-0.599455828171002,depleted,0.0133056849690765,-0.439852774764262,nosig,0.0713175967808927,0.15960305340674,nosig,0.492646235700893,0.000843478217443568,0.00174921990215929,0.00135702424505381
Enterobacteriales,-5.25816385049171,depleted,0.0101533152957857,0.814331254833368,nosig,0.706837067492465,6.07249510532508,nosig,0.00355561818185385,2.60528182514198e-05,0.00155678201220248,1.77496262732731e-05
Erysipelotrichales,-0.721854822504322,nosig,0.24491375397704,0.108045530662853,nosig,0.871244402909929,0.829900353167175,nosig,0.171349601129539,6.23019242185892e-05,0.000147142786841902,7.15588990258497e-05
Flavobacteriales,0.248267205102106,nosig,0.588958286054253,0.2439887324724,nosig,0.595399042075776,-0.00427847262970624,nosig,0.992570061034387,0.0314621032765026,0.038031933132821,0.0339932748083859
Gaiellales,0.170503656309779,nosig,0.320444946417912,0.193805632134867,nosig,0.259323519032943,0.0233019758250871,nosig,0.891738966708846,0.00455469640657531,0.00557244794963908,0.0047722888895285
Herpetosiphonales,-0.225920833555928,nosig,0.684568782431779,-0.99993579798202,nosig,0.0718560783276035,-0.774014964426092,nosig,0.162977186177979,0.0036702742010781,0.00605969765553012,0.0092648155877006
Ignavibacteriales,-0.376104758632125,nosig,0.67003860282227,0.682585415077397,nosig,0.453491373438423,1.05869017370952,nosig,0.236999969158009,0.000137276492569645,0.000222615327700005,9.89802260936175e-05
Methylophilales,0.841705379127981,enriched,0.0145921819164768,0.111657755820901,nosig,0.744157520091076,-0.730047623307081,nosig,0.0338678201081296,0.00295296010845114,0.00233222598809071,0.0034300259716075
Myxococcales,-0.0156814744795071,nosig,0.89613366381452,-0.0649383526464446,nosig,0.588654695027788,-0.0492568781669375,nosig,0.67975039162489,0.0108461131417742,0.0153366823032229,0.0137184107255807
Nitrosomonadales,-0.163210972843887,nosig,0.836166154610735,0.166126845563693,nosig,0.837480534584845,0.329337818407581,nosig,0.673165968426116,6.06808088161159e-05,9.21956700925759e-05,6.26174693116448e-05
Nitrososphaerales,-1.50644768032289,nosig,0.163477024163135,-1.46166354744437,nosig,0.177849367247136,0.0447841328785149,nosig,0.95986863364076,1.88522464872707e-05,7.14976601085296e-05,5.83620507606461e-05
Nitrospirales,-0.279102214812796,nosig,0.458461624501347,-0.722811739029081,nosig,0.052578643069219,-0.443709524216285,nosig,0.224667174079231,0.00059488894847954,0.000988211165033553,0.00114343088960516
Oceanospirillales,1.95524275087459,nosig,0.0409525890029173,2.30273631396203,nosig,0.0192707429872626,0.347493563087434,nosig,0.739114693652736,0.000161593784685194,6.12441052251075e-05,4.07334494005479e-05
Oligoflexales,-2.49816775033914,depleted,0.0145525716211374,-1.64643603669467,nosig,0.117964776559732,0.851731713644465,nosig,0.291975171817025,1.92551594567146e-05,0.000141804834549135,6.67471280375451e-05
Opitutales,-1.76391600356746,depleted,2.07349292605241e-06,-1.65384901727176,depleted,9.17297931353193e-06,0.110066986295694,nosig,0.74092694393686,0.000249153165125234,0.00121457453276216,0.000981347927641984
Planctomycetales,-1.83104876884074,depleted,1.74892359229745e-05,-0.834514348738367,nosig,0.0518196893492299,0.99653442010237,nosig,0.017596977050802,0.000943545619265052,0.00460144204066427,0.00200620861039554
Pseudomonadales,0.351490468744628,nosig,0.223822256555016,-0.00326486484767663,nosig,0.990982959453665,-0.354755333592305,nosig,0.219458254765151,0.0507971095884166,0.0571223271430573,0.0640085359179983
Rhizobiales,0.789674877798876,enriched,9.71724143034735e-07,0.722689450398221,enriched,7.39213696353902e-06,-0.0669854274006547,nosig,0.677972712820027,0.135257749757942,0.111713143629195,0.100840356822601
Rhodobacterales,0.0931510173732943,nosig,0.73516748065625,0.619762371150465,nosig,0.0318578797196592,0.52661135377717,nosig,0.063737484273018,0.000511583464159427,0.00065513196800439,0.000393835030018094
Rhodocyclales,0.541151292728155,nosig,0.394787043803497,-0.132876010323406,nosig,0.827150114162887,-0.674027303051561,nosig,0.276600444460285,0.000116235936787727,0.000109352457888172,0.000151951368844207
Rhodospirillales,-0.137989410226968,nosig,0.513144574454102,0.000975572643248913,nosig,0.996317115404126,0.138964982870217,nosig,0.508749606905539,0.0060183509309334,0.0090428368041388,0.00704997942224777
Rubrobacterales,-0.258061921851522,nosig,0.456804777640085,-0.0936042493605374,nosig,0.788961604834678,0.164457672490985,nosig,0.628240017927437,0.000462539689503359,0.000752148692194858,0.000576673161548224
Sneathiellales,0.602983109525459,nosig,0.0609239425603077,-0.158893576349578,nosig,0.611553049480252,-0.761876685875036,nosig,0.0161975022555415,0.000794269026262031,0.000743130596885959,0.00108741475606086
Solirubrobacterales,0.0312881263476273,nosig,0.879523328864546,0.420685321597364,nosig,0.0424067139544979,0.389397195249737,nosig,0.0595955533013801,0.00738047218343096,0.0100944222672088,0.00654086453826035
Sphingobacteriales,-0.989821766235591,depleted,4.84662058082658e-05,-1.07582395974871,depleted,9.93367210083172e-06,-0.086002193513116,nosig,0.717526706105982,0.00204016577304384,0.00560627146715073,0.00517563995842879
Sphingomonadales,1.19583831498947,enriched,3.37099450353268e-07,0.996463470826306,enriched,2.10421810491194e-05,-0.199374844163167,nosig,0.395927591276589,0.0273955728675513,0.0171942452956254,0.0169721400089727
Spirochaetales,-0.198814231326769,nosig,0.572413022113932,-0.543095301374368,nosig,0.120975839515178,-0.344281070047599,nosig,0.319494755087216,0.000887180023356844,0.00147407310601117,0.00164920253259757
Unassigned,0.0751240019474142,nosig,0.452909693728782,0.149915628998198,nosig,0.1343069751596,0.0747916270507837,nosig,0.45468533614168,0.0907339982484454,0.119057640897205,0.0980108537307254
Verrucomicrobiales,-1.44264669430425,depleted,0.00305114522684785,-0.973646019373349,nosig,0.0484385392193788,0.469000674930897,nosig,0.302705074445083,0.000175381417135923,0.000697380176827179,0.000431791640335164
Xanthomonadales,0.159495484300849,nosig,0.219239510408699,-0.0621306264081715,nosig,0.632033717382836,-0.22162611070902,nosig,0.0874217258717053,0.0516547221382675,0.064679672650872,0.0650133409981988
