SeqID,ID,Group,FEAST
KO1,KO1,KO,sink
KO2,KO2,KO,sink
KO3,KO3,KO,sink
KO4,KO4,KO,sink
KO5,KO5,KO,sink
KO6,KO6,KO,sink
OE1,OE1,OE,source
OE2,OE2,OE,source
OE3,OE3,OE,source
OE4,OE4,OE,source
OE5,OE5,OE,source
OE6,OE6,OE,source
WT1,WT1,WT,source
WT2,WT2,WT,source
WT3,WT3,WT,source
WT4,WT4,WT,source
WT5,WT5,WT,source
WT6,WT6,WT,source
