"","source","target","value","energy_type"
"109",0,6,0.0178491647287121,"k_Bacteria"
"110",0,1,0.059831238351826,"k_Bacteria"
"111",0,1,0.059831238351826,"k_Bacteria"
"112",0,3,0.0946562746169615,"k_Bacteria"
"113",0,3,0.0946562746169615,"k_Bacteria"
"114",0,5,0.0363581859331807,"k_Bacteria"
"115",0,5,0.0363581859331807,"k_Bacteria"
"116",0,4,0.0851602684405328,"k_Bacteria"
"117",0,4,0.0851602684405328,"k_Bacteria"
"118",0,2,0.0617131638980046,"k_Bacteria"
"119",0,2,0.0617131638980046,"k_Bacteria"
