,Pvalues,FDR,Group1,Group2,Group3,max,min,LDAscore,class,color
p__Archaea_Rank_Crenarchaeota,0.0024064,0.074768,7.66666666666667,0,3.5,7.66666666666667,0,0.684,Group1,darkgreen
c__Archaea_Rank_Crenarchaeota_Rank_Thermoprotei,0.0024064,0.074768,7.66666666666667,0,3.5,7.66666666666667,0,0.684,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp5,0.0029027,0.074768,846.833333333333,379.833333333333,608.833333333333,846.833333333333,379.833333333333,2.37,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp14,0.0032231,0.074768,4.33333333333333,42.6666666666667,3.66666666666667,42.6666666666667,3.66666666666667,1.31,Group2,red
p__Bacteria_Rank_Spirochaetes,0.0057203,0.074768,88.6666666666667,31,82,88.6666666666667,31,1.47,Group1,darkgreen
c__Bacteria_Rank_Spirochaetes_Rank_Spirochaetia,0.0057203,0.074768,88.6666666666667,31,82,88.6666666666667,31,1.47,Group1,darkgreen
c__Bacteria_Rank_Chloroflexi_Rank_Caldilineae,0.0061848,0.074768,182.333333333333,85.3333333333333,164,182.333333333333,85.3333333333333,1.69,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp25,0.0067921,0.074768,88.3333333333333,17,105.666666666667,105.666666666667,17,1.66,Group3,blue
p__Bacteria_Rank_Firmicutes,0.007708,0.074768,2775.83333333333,4675.83333333333,2207.5,4675.83333333333,2207.5,3.09,Group2,red
c__Bacteria_Rank_Firmicutes_Rank_Bacilli,0.007708,0.074768,2625.16666666667,4514.66666666667,2070.66666666667,4514.66666666667,2070.66666666667,3.09,Group2,red
c__Bacteria_Rank_Verrucomicrobia_Rank_Subdivision5,0.0092097,0.077272,10.6666666666667,0,4.33333333333333,10.6666666666667,0,0.802,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp10,0.010632,0.077272,717.5,251.5,874.166666666667,874.166666666667,251.5,2.49,Group3,blue
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp2,0.010632,0.077272,2876.33333333333,1415.16666666667,3401.16666666667,3401.16666666667,1415.16666666667,3,Group3,blue
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp6,0.011539,0.077272,9012,5281.66666666667,7054,9012,5281.66666666667,3.27,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp13,0.011949,0.077272,1072.33333333333,1693.33333333333,780,1693.33333333333,780,2.66,Group2,red
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp22,0.01357,0.082271,66,3.33333333333333,40.8333333333333,66,3.33333333333333,1.51,Group1,darkgreen
p__Bacteria_Rank_Chlorobi,0.01687,0.090909,5.5,1.5,13.6666666666667,13.6666666666667,1.5,0.85,Group3,blue
c__Bacteria_Rank_Chlorobi_Rank_Chlorobia,0.01687,0.090909,5.5,1.5,13.6666666666667,13.6666666666667,1.5,0.85,Group3,blue
c__Bacteria_Rank_Bacteroidetes_Rank_Bacteroidia,0.020097,0.10162,54.6666666666667,15.1666666666667,46.6666666666667,54.6666666666667,15.1666666666667,1.32,Group1,darkgreen
c__Bacteria_Rank_Proteobacteria_Rank_Deltaproteobacteria,0.020953,0.10162,8068.5,5742.16666666667,9185.66666666667,9185.66666666667,5742.16666666667,3.24,Group3,blue
p__Bacteria_Rank_Acidobacteria,0.022085,0.10201,33077.5,23788.3333333333,29459.3333333333,33077.5,23788.3333333333,3.67,Group1,darkgreen
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp3,0.024971,0.10971,6766.5,4563.16666666667,6737.66666666667,6766.5,4563.16666666667,3.04,Group1,darkgreen
c__Bacteria_Rank_Verrucomicrobia_Rank_Spartobacteria,0.026014,0.10971,3276,2038.33333333333,3303.16666666667,3303.16666666667,2038.33333333333,2.8,Group3,blue
c__Bacteria_Rank_Acidobacteria_Rank_Acidobacteria_Gp12,0.034461,0.13928,1.83333333333333,12.1666666666667,10,12.1666666666667,1.83333333333333,0.79,Group2,red
p__Bacteria_Rank_Gemmatimonadetes,0.039403,0.14661,6428.66666666667,4763,4350.83333333333,6428.66666666667,4350.83333333333,3.02,Group1,darkgreen
c__Bacteria_Rank_Gemmatimonadetes_Rank_Gemmatimonadetes,0.039403,0.14661,6428.66666666667,4763,4350.83333333333,6428.66666666667,4350.83333333333,3.02,Group1,darkgreen
c__Bacteria_Rank_Chloroflexi_Rank_Anaerolineae,0.04081,0.14661,679.5,287.5,645.5,679.5,287.5,2.29,Group1,darkgreen
