"","id","facet","variable","value","label"
"128","CN","Group1","PC2",-1.636,""
"129","LRD1","Group1","PC2",-1.693,""
"130","LRD2","Group1","PC2",-1.699,""
"131","BI","Group1","PC2",-1.979,""
"132","LRW2","Group1","PC2",-2.375,""
"133","LRL1","Group1","PC2",-2.432,""
"134","NH4.N","Group1","PC2",-2.572,""
"135","LRN1","Group1","PC2",-2.651,""
"136","LRL3","Group1","PC2",-3.626,""
"137","MID","Group2","PC2",5.391,"*"
"138","pH","Group2","PC2",3.49,""
"139","SB","Group2","PC2",3.44,"*"
"140","R.S","Group2","PC2",3.34,""
"141","LRN2","Group2","PC2",2.944,""
"142","LRN3","Group2","PC2",2.571,""
"143","LA","Group2","PC2",2.505,""
"144","AP","Group2","PC2",2.281,""
"145","TLRN","Group2","PC2",2.238,""
"146","RB","Group2","PC2",1.92,""
"147","LRW1","Group2","PC2",1.427,""
"148","MaxO","Group2","PC2",0.896,""
"149","LRD3","Group2","PC2",0.746,""
"150","FRB","Group2","PC2",0.449,""
"151","AK","Group2","PC2",0.294,""
"152","TN","Group2","PC2",0.247,""
"153","LRW3","Group2","PC2",0.241,""
"154","TG","Group2","PC2",0.217,""
"155","RGR","Group2","PC2",-0.223,""
"156","Height","Group2","PC2",-0.337,""
"157","NO3.N","Group2","PC2",-0.712,""
"158","LRL2","Group2","PC2",-0.712,""
"159","SOC","Group2","PC2",-0.964,""
"160","LB","Group2","PC2",-1.161,""
"161","TLRL","Group2","PC2",-1.572,""
"162","CN","Group2","PC2",-1.636,""
"163","LRD1","Group2","PC2",-1.693,""
"164","LRD2","Group2","PC2",-1.699,""
"165","BI","Group2","PC2",-1.979,""
"166","LRW2","Group2","PC2",-2.375,""
"167","LRL1","Group2","PC2",-2.432,""
"168","NH4.N","Group2","PC2",-2.572,""
"169","LRN1","Group2","PC2",-2.651,""
"170","LRL3","Group2","PC2",-3.626,""
"171","MID","Group3","PC2",5.391,"*"
"172","pH","Group3","PC2",3.49,""
"173","SB","Group3","PC2",3.44,"*"
"174","R.S","Group3","PC2",3.34,""
"175","LRN2","Group3","PC2",2.944,""
"176","LRN3","Group3","PC2",2.571,""
"177","LA","Group3","PC2",2.505,""
"178","AP","Group3","PC2",2.281,""
"179","TLRN","Group3","PC2",2.238,""
"180","RB","Group3","PC2",1.92,""
"181","LRW1","Group3","PC2",1.427,""
"182","MaxO","Group3","PC2",0.896,""
"183","LRD3","Group3","PC2",0.746,""
"184","FRB","Group3","PC2",0.449,""
"185","AK","Group3","PC2",0.294,""
"186","TN","Group3","PC2",0.247,""
"187","LRW3","Group3","PC2",0.241,""
"188","TG","Group3","PC2",0.217,""
"189","RGR","Group3","PC2",-0.223,""
"190","Height","Group3","PC2",-0.337,""
"191","NO3.N","Group3","PC2",-0.712,""
"192","LRL2","Group3","PC2",-0.712,""
"193","SOC","Group3","PC2",-0.964,""
"194","LB","Group3","PC2",-1.161,""
"195","TLRL","Group3","PC2",-1.572,""
"196","CN","Group3","PC2",-1.636,""
"197","LRD1","Group3","PC2",-1.693,""
"198","LRD2","Group3","PC2",-1.699,""
"199","BI","Group3","PC2",-1.979,""
"200","LRW2","Group3","PC2",-2.375,""
"201","LRL1","Group3","PC2",-2.432,""
"202","NH4.N","Group3","PC2",-2.572,""
"203","LRN1","Group3","PC2",-2.651,""
"204","LRL3","Group3","PC2",-3.626,""
