"","ratio","group"
"1",0.386652873909118,"Group1"
"2",0.326693560899922,"Group1"
"3",0.309067238711492,"Group1"
"4",0.342076692566761,"Group1"
"5",0.368844116327842,"Group1"
"6",0.338009849602865,"Group1"
"7",0.339472845953003,"Group1"
"8",0.343187099925448,"Group1"
"9",0.331992490054899,"Group1"
"10",0.411394471810913,"Group1"
"11",0.411072035729722,"Group1"
"12",0.310791952265891,"Group1"
"13",0.447591956683208,"Group1"
"14",0.301363140251033,"Group1"
"15",0.323043365102185,"Group1"
"16",0.522870617921836,"Group2"
"17",0.467281704550509,"Group2"
"18",0.414188674383937,"Group2"
"19",0.431140300749424,"Group2"
"20",0.455011816606271,"Group2"
"21",0.45569817424121,"Group2"
"22",0.331295868565346,"Group2"
"23",0.344857657657658,"Group2"
"24",0.315741253937801,"Group2"
"25",0.498717310254788,"Group2"
"26",0.489026428341862,"Group2"
"27",0.431992888117953,"Group2"
"28",0.545939137595448,"Group2"
"29",0.513257358159024,"Group2"
"30",0.599225752949602,"Group2"
"31",0.345783568639231,"Group3"
"32",0.399926588473547,"Group3"
"33",0.370899027736858,"Group3"
"34",0.353327491498822,"Group3"
"35",0.380859262045537,"Group3"
"36",0.315852312987145,"Group3"
"37",0.421610818722556,"Group3"
"38",0.419863837007002,"Group3"
"39",0.388805348970251,"Group3"
"40",0.359028553125286,"Group3"
"41",0.327166834508224,"Group3"
"42",0.353983620632719,"Group3"
"43",0.407368727541296,"Group3"
"44",0.39280819940333,"Group3"
"45",0.422221958654063,"Group3"
