"","Sample_1","Sample_2","bMNTD","mean_bMNTD","sd_bMNTD","bNTI"
"1","sample10","sample1",0.00502486195353628,0.00343598688200961,0.00181429247995543,0.8757546476551
"2","sample11","sample1",0.00765164504177157,0.00531906688458457,0.00236485561773809,0.986351191882927
"3","sample12","sample1",0.00221230644884413,0.00126147709716182,0.000978983626141869,0.971241322420767
"4","sample13","sample1",0.000799688930533303,0.000940577599279011,0.000615770727466826,-0.228800529907129
"5","sample14","sample1",0.000729261630235752,0.00117751243848707,0.00105646538186275,-0.424292945085397
"6","sample15","sample1",0.000883427271686885,0.00048283326419089,0.000314409951255869,1.27411364015635
"7","sample16","sample1",0.00121105029755093,0.00118545553902495,0.000738293143258022,0.0346674742406939
"8","sample17","sample1",0.000933104328793774,0.00100130508268482,0.000706551697204352,-0.0965262048918771
"9","sample18","sample1",0.000709816247997253,0.00080611186770428,0.000623654461632371,-0.154405404965724
"10","sample2","sample1",0.000404376573586633,0.000603047901407645,0.000429317045284962,-0.462761332220439
"11","sample3","sample1",0.00212388196669718,0.0010317453221561,0.000504170328506677,2.16620571023275
"12","sample4","sample1",0.000638884899290455,0.000626288567177844,0.00039721799665704,0.0317113832168265
"13","sample5","sample1",0.000145896443694209,0.000369010056649119,0.000224324846752622,-0.994600536609088
"14","sample6","sample1",0.00030954780842298,0.000326072528038453,0.000251989477163376,-0.0655770225070111
"15","sample7","sample1",0.00385430132753491,0.00328172131065461,0.00100679349052151,0.56871644708758
"16","sample8","sample1",0.000764363913366903,0.000752473885614557,0.000485199527362255,0.024505439683722
"17","sample9","sample1",0.00678217884527352,0.00384163283216983,0.00100681497442283,2.92064191316722
"18","sample11","sample10",0.000535771844243534,0.000532056334401465,0.000206328274057111,0.0180077590385924
"19","sample12","sample10",0.000948938615815976,0.000900300712405585,0.000576331577373738,0.0843922237126541
"20","sample13","sample10",0.00507063923380636,0.00277741177185855,0.000950010828412389,2.41389612977374
"21","sample14","sample10",0.00559312521458,0.00319199974250401,0.00168230449201868,1.42728351702537
"22","sample15","sample10",0.00699426699473564,0.00195783980888075,0.000745801797345752,6.75303707201983
"23","sample16","sample10",0.0046393780756466,0.00218894708457313,0.000609140560652277,4.02276773106278
"24","sample17","sample10",0.00561191927500572,0.00300110439316777,0.00126549821015836,2.06307275733819
"25","sample18","sample10",0.00388176956969558,0.00188711940661479,0.000616950938374815,3.23307744426995
"26","sample2","sample10",0.0065947640335317,0.00307600643739986,0.000880121463634208,3.998036341032
"27","sample3","sample10",0.00431108248455024,0.00329286198929961,0.00109405452997416,0.930685324500852
"28","sample4","sample10",0.0054505357347219,0.00344570580367361,0.0011271189200753,1.77872085663716
"29","sample5","sample10",0.00306906285763333,0.00190739755951019,0.000775568789928375,1.49782367883888
"30","sample6","sample10",0.00772576190203708,0.00227596953679332,0.00105824694620321,5.14983046707256
"31","sample7","sample10",0.00175583128290227,0.00216445545319295,0.000877004570771306,-0.465931631269959
"32","sample8","sample10",0.000665003647859922,0.000538657465953307,0.000271109549041911,0.466033683996438
"33","sample9","sample10",0.00144101153009842,0.00189852556363012,0.000738950900118859,-0.619139963775821
"34","sample12","sample11",0.00277346453707942,0.00168699952792401,0.000766023432342081,1.41831824365163
"35","sample13","sample11",0.00570112003604944,0.00301543649147402,0.00122420522680721,2.19381806723684
"36","sample14","sample11",0.00763826819638361,0.00487064047837034,0.00280072813065275,0.988181497419474
"37","sample15","sample11",0.0071930267223621,0.00217905425297551,0.000399394843070578,12.5539239085782
"38","sample16","sample11",0.00506822899977111,0.00257363848277638,0.000544272457124531,4.58334880690824
"39","sample17","sample11",0.00710255207141222,0.00403535162508583,0.0024180605192251,1.26845478925785
"40","sample18","sample11",0.00527764448386358,0.00238491850967041,0.000574508980483713,5.03512751316372
"41","sample2","sample11",0.00663829394598306,0.00398882230630579,0.00102304954666495,2.58977842110805
"42","sample3","sample11",0.00725028689345388,0.00350490307421607,0.00135107245087534,2.77215616143401
"43","sample4","sample11",0.00566679589150835,0.00408571766279469,0.00222861200044935,0.709445263865973
"44","sample5","sample11",0.00328068350881208,0.0022431798752575,0.00083527786586966,1.2421059816716
"45","sample6","sample11",0.0103940542029068,0.00371020830710689,0.00123344224490301,5.4188559889365
"46","sample7","sample11",0.00362413109407187,0.00408713987754635,0.00126012878800574,-0.3674297324857
"47","sample8","sample11",0.00177740966182193,0.00135381539682994,0.000528978161278226,0.800778360997764
"48","sample9","sample11",0.00260993877317464,0.00274804743648432,0.000492298497180791,-0.280538462133398
"49","sample13","sample12",0.00125669675555047,0.000893251766708629,0.000586101475188409,0.62010591037159
"50","sample14","sample12",0.00198721160448615,0.00149949291886015,0.00107113055707529,0.455330755344811
"51","sample15","sample12",0.00132192642767224,0.000432924074444953,0.000211166927558129,4.20995069401938
"52","sample16","sample12",0.00146177085717555,0.000735145943007553,0.000232232881638077,3.12886318699868
"53","sample17","sample12",0.00161450725280385,0.0011270483162623,0.000552864643951737,0.881696707999464
"54","sample18","sample12",0.00102668080510414,0.000451315268081941,0.000124672792089177,4.61500482487508
"55","sample2","sample12",0.00438820375085832,0.0015405564130808,0.000821767009743704,3.46527337312514
"56","sample3","sample12",0.00228747267681392,0.00138151419804303,0.000666575999174711,1.35912256050706
"57","sample4","sample12",0.00269269769970245,0.00224692270828565,0.00115778921813935,0.385022579613579
"58","sample5","sample12",0.00123307457370108,0.00160317310168231,0.0012678389624592,-0.291912884001734
"59","sample6","sample12",0.0011189642223621,0.000789405084115358,0.00058757986152288,0.560875482343102
"60","sample7","sample12",0.000938920734149691,0.0012054514262417,0.000526898535146347,-0.505848231325947
"61","sample8","sample12",5.53454737926299e-05,8.72648489356832e-05,6.83639104588148e-05,-0.466903881431459
"62","sample9","sample12",0.00291147538052186,0.0018242235351339,0.000497501585606888,2.18542387972825
"63","sample14","sample13",1.18726396200504e-05,1.2457298580911e-05,1.52414488917651e-05,-0.0383598019461587
