"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT"
"Acidimicrobiales",-0.29451378502221,"nosig",0.194477291579937,-0.0431481860605419,"nosig",0.849817756411988,0.251365598961668,"nosig",0.265861367338925,0.00306368579656787,0.00493232573984825,0.00363285804396323
"Actinomycetales",0.282019628419001,"nosig",0.214363477287446,-0.070197161425633,"nosig",0.757085766342856,-0.352216789844634,"nosig",0.121112092431247,0.248056678575368,0.268060232142064,0.297500108912228
"Alphaproteobacteria_incertae_sedis",0.534567218557692,"nosig",0.30775143288943,0.597333986245093,"nosig",0.256063092797377,0.0627667676874005,"nosig",0.90693444816042,0.00020914128999054,0.000187591882375814,0.000162438027372861
"Armatimonadales",-1.09512144182432,"nosig",0.125366961706512,-0.831500524644332,"nosig",0.25828267902177,0.263620917179989,"nosig",0.674590352255475,2.63404076807634e-05,8.0637545905807e-05,5.7871866359429e-05
"Bacillales",-0.5847945502854,"nosig",0.075851354689385,1.24198340620748,"enriched",0.000203037007315115,1.82677795649288,"enriched",7.24704253012085e-08,0.0164272568101605,0.0324472883980434,0.00806525435608911
"Bacteroidales",0,"nosig",1,-4.31965162581083,"depleted",0.00289781729308387,-4.31965162581083,"depleted",0.00190076709869834,0,0,7.74706295172213e-05
"Bdellovibrionales",0.811671828870784,"nosig",0.0276227895113268,0.342884056973018,"nosig",0.348264397721461,-0.468787771897766,"nosig",0.201929102757142,0.00370214565729282,0.00285790266702123,0.00346747631167296
"Burkholderiales",0.990895300615644,"enriched",8.69253665573529e-06,0.525665631782067,"nosig",0.0175094084434876,-0.465229668833577,"nosig",0.0354273600749804,0.272933325050218,0.18207160936795,0.218284135569659
"Caldilineales",-1.3714040731845,"nosig",0.0221838227587083,-0.745632086844698,"nosig",0.228401161794661,0.625771986339799,"nosig",0.255702933793817,6.42371467068789e-05,0.000220941093076511,0.000130031287024239
"Caulobacterales",0.677183119437839,"enriched",0.00130477504127718,0.505845416870247,"nosig",0.0160458426023825,-0.171337702567592,"nosig",0.415008133476619,0.0142161142325433,0.0117134597821867,0.0115176791487522
