,logFC,level,p,Genus,ord
Bacteroidia,-4.41397096313006,depleted,0.00156725329356479,Bacteroidia,19.4831396633553
Bacilli,1.73836076156637,enriched,2.77792317352352e-07,Bacilli,3.02189813735359
