,logFC,level,p,Genus,ord
Enterobacteriaceae,-5.17058501574056,depleted,0.000342804294485586,Enterobacteriaceae,26.7349494050008
Flammeovirgaceae,-2.62354227253268,depleted,1.76345887971499e-05,Flammeovirgaceae,6.88297405576592
Oligoflexaceae,-2.43368589139554,depleted,0.000738705922902819,Oligoflexaceae,5.92282701797771
Brucellaceae,2.34114092597389,enriched,0.00570834783032709,Brucellaceae,5.4809408352699
Alcaligenaceae,-2.29039113553947,depleted,0.0019952131147348,Alcaligenaceae,5.24589155375779
Chitinophagaceae,-2.01169729638572,depleted,3.00508394004832e-09,Chitinophagaceae,4.04692601228562
Planctomycetaceae,-1.96846313471867,depleted,3.32258859762189e-06,Planctomycetaceae,3.87484711274645
Opitutaceae,-1.85994826951232,depleted,1.79607998550296e-06,Opitutaceae,3.45940756526186
Haliangiaceae,-1.73935359679367,depleted,1.56548398120064e-06,Haliangiaceae,3.02535093467906
Cyclobacteriaceae,-1.61973658709737,depleted,0.00306449375774079,Cyclobacteriaceae,2.62354661158182
Verrucomicrobiaceae,-1.51251270652331,depleted,0.00146289573783803,Verrucomicrobiaceae,2.28769468739446
Caldilineaceae,-1.49739532564467,depleted,0.0109192851144969,Caldilineaceae,2.2421927612625
Cellulomonadaceae,-1.33911886660264,depleted,0.00425529358579282,Cellulomonadaceae,1.79323933889115
Cryomorphaceae,-1.31487376758966,depleted,0.000452368884494188,Cryomorphaceae,1.72889302469541
Bacillaceae_1,-1.21735479964307,depleted,4.32836778673669e-05,Bacillaceae_1,1.48195270821403
Sphingomonadaceae,1.13799597409426,enriched,6.87675954821818e-05,Sphingomonadaceae,1.29503483705475
Oxalobacteraceae,1.05423237410461,enriched,0.000697082908125365,Oxalobacteraceae,1.11140589861024
Erythrobacteraceae,1.04855625609902,enriched,0.000464497792209468,Erythrobacteraceae,1.09947022220439
Comamonadaceae,1.00061656378113,enriched,0.000530210455307348,Comamonadaceae,1.00123350771315
Rhizobiaceae,0.970173085995019,enriched,0.00336673041449484,Rhizobiaceae,0.941235816789099
Hyphomicrobiaceae,0.931607090246568,enriched,0.000143481977437971,Hyphomicrobiaceae,0.867891770597677
Caulobacteraceae,0.891692824187439,enriched,0.00013943603490927,Caulobacteraceae,0.79511609270737
Sandaracinaceae,0.88563560016096,enriched,0.00245995340436645,Sandaracinaceae,0.784350416272464
Phyllobacteriaceae,0.753028062464252,enriched,0.00224900868186242,Phyllobacteriaceae,0.567051262858665
Pseudonocardiaceae,0.726794133874558,enriched,0.00156560588647079,Pseudonocardiaceae,0.528229713034469
Bradyrhizobiaceae,0.52289570559788,enriched,0.0117148580422258,Bradyrhizobiaceae,0.273419918932705
