,id,group,model_1,model_2,model_3
1,KO1,KO,1.91456523817052,-3.22498152204506,0.147491563572576
2,KO2,KO,5.46959077071455,-1.33939611258588,1.00411744983127
3,KO3,KO,-1.11187966264657,3.17456442762795,-1.79334763587432
4,KO4,KO,-3.77681450670125,-0.669842824450547,-0.963370490373105
5,KO5,KO,-0.155875340962061,1.48888295551959,0.244845286349221
6,KO6,KO,-2.14768011702936,4.084257371666,-2.06426553773065
7,OE1,OE,2.73475162450712,-2.92915310911065,2.03882498580583
8,OE2,OE,1.20472028611443,14.283188725233,1.3746229454045
9,OE3,OE,0.477317951972369,-0.349879136749504,-2.09655530718272
10,OE4,OE,2.62642057493657,4.8074173791708,-1.41756659877963
11,OE5,OE,3.99255285484632,-1.76583678617219,0.680575913232593
12,OE6,OE,4.20759796047548,-1.33780926039352,-0.476193206590613
13,WT1,WT,-3.23874764059571,0.818583747295156,0.0648664864609248
14,WT2,WT,5.23777845608365,3.04315858888916,0.050038370579488
15,WT3,WT,-0.0048469542936575,4.30812560853768,-0.120766337513698
16,WT4,WT,-1.51252197406245,-1.35277150026794,-0.493357480356127
17,WT5,WT,-1.85035502395524,8.82977901570239,0.696704862314261
18,WT6,WT,4.42266352259469,-0.296348322961395,-0.969503309640741
