"","Proteobacteria","Acidobacteria","Unassigned","Bacteroidetes","Actinobacteria","Verrucomicrobia","Planctomycetes","Gemmatimonadetes","Firmicutes","Thaumarchaeota","candidate_division_WPS-1","Armatimonadetes","Chloroflexi","Parcubacteria","Nitrospirae","Candidatus_Saccharibacteria","Latescibacteria","Chlamydiae","Cyanobacteria","Microgenomates"
"sample1",0.396903334638672,0.165195650209356,0.147854725828639,0.0704481328634114,0.0335221054111315,0.0375485736662951,0.0327389021096284,0.0246257191914932,0.0254992921047083,0.0111204827745479,0.0106636141820044,0.00660200218895282,0.00848972296693476,0.0050506571878985,0.00637607815967306,0.00719944573304817,0.00260063660370917,0.00386581116767579,0.00153126286511833,0.000371519514815596
"sample10",0.399175671295872,0.131348340029475,0.137879371602243,0.0918135843010634,0.0391189222574865,0.036966372525638,0.0380793385801733,0.0286497031071322,0.0217211836577446,0.0151290001039584,0.00915445155845824,0.0119490970910003,0.00784579916466394,0.00519791838656613,0.00756450005197918,0.00528353115999193,0.0064882251860549,0.00314932702244889,0.000862242932359794,0.000605404612082408
"sample11",0.429708075739514,0.127152005766405,0.136402280687163,0.0690952103721364,0.0311330431648693,0.0371812998438265,0.0459833846210714,0.0303290732167115,0.0231025847171782,0.00326208496206556,0.00811362775267297,0.0170681895890512,0.00843706393871346,0.00614990805171283,0.00602515409424006,0.00468520418064373,0.00740206814338388,0.0022039865820188,0.00327594651289586,0.00161718093020247
"sample12",0.435801114713632,0.114253249615532,0.121075728041219,0.0792053992104928,0.0465084387152387,0.0388288650099423,0.0365612357844626,0.0217065501670111,0.0346168539215782,0.0119258686048448,0.010319427166492,0.00778242513884944,0.00632781200717021,0.00789996963433866,0.00641597037878714,0.00843381755135225,0.00363898167285408,0.00437853245697382,0.00139584088393461,0.000950151338537942
"sample13",0.417255209489751,0.135675851871448,0.149597743774831,0.0770546246474648,0.0372919629064489,0.0409956491135246,0.030909717924613,0.0204553077508137,0.0184995346771793,0.012041704262546,0.0126511118144756,0.00874901384630647,0.0090371833088468,0.00858367071206202,0.0052012225943755,0.00484691587813739,0.00347220581913351,0.00384068480402114,0.00110071286511307,0.000680268895177177
"sample14",0.39387137944259,0.167254506246188,0.139880671708884,0.0675481116832331,0.0293228213784995,0.0455182733233998,0.0327807012580396,0.0284300596641456,0.0116750598841925,0.0248024293177917,0.0163023318684497,0.00629962843508931,0.0102541856064178,0.00746902053980648,0.00572750649138359,0.00199928327580679,0.00558290424187555,0.00199299622148035,0.000628705432643643,0.00136429078883671
"sample15",0.378295457035787,0.167462908987311,0.154670070785212,0.0619206241370998,0.0408494225416931,0.042684797615656,0.0380497907124543,0.0195700291468519,0.0168690144857663,0.0119491135412329,0.015000767022419,0.00817974622515395,0.0115053362845434,0.0076537879950034,0.00385154828954001,0.00381319716859153,0.00578554053165611,0.00507330542832723,0.00364335649010541,0.00145734259604216
"sample16",0.416208878344604,0.175353015059438,0.124712957206836,0.0821545019728245,0.0328148589842808,0.0383336927976047,0.0294781847477195,0.0112025982923333,0.0134545362276551,0.0139747021732787,0.0144504637089101,0.00790398497862245,0.00869692087134139,0.0109298283452379,0.00537293360906357,0.00246761649814136,0.00576622981185217,0.0022138770124713,0.000754874969868436,0.00239783813958209
"sample17",0.388369873243686,0.177013733994728,0.137419077245684,0.0839470027052557,0.0323344823663816,0.0381653717377435,0.028021899218097,0.0297973778307509,0.0137290491050895,0.0135312241900306,0.0162018605433261,0.00699805637020955,0.00717609879376258,0.00945108531694024,0.00649360283680928,0.00155292558321258,0.00563306445630295,0.00118200386747709,0.000741843431470977,0.00106825454131821
"sample18",0.419721149639549,0.145906644094878,0.144071101135564,0.0793801000513572,0.0279468548494474,0.0416088106062047,0.0291451885949061,0.0280086736537767,0.0136286687082723,0.013552584026021,0.0123494949879216,0.00703307781560877,0.00715671542426721,0.00925855477146064,0.00711391779050083,0.00283415441386263,0.00523557719742073,0.00283415441386263,0.00113175964848877,0.000613432750651475
"sample2",0.368994432607052,0.16982266822462,0.182671489449447,0.0585521341672967,0.0225616880885284,0.042288129768369,0.0298173413980342,0.0376830022681971,0.0134974912365111,0.0148678603340436,0.00978160010997319,0.0101467454807891,0.00928328407450684,0.00638789607533164,0.00480703141109355,0.00419702385043646,0.00361279125713107,0.00681318303663482,0.00201044745343323,0.000635782528008798
"sample3",0.443409582486727,0.139404863341417,0.155502392344498,0.053791702169496,0.0439863669135479,0.0264993117913089,0.0213737956347906,0.0341154879727338,0.0207380218915907,0.00992331388870682,0.00650848790719014,0.00972668283410893,0.0044438618339123,0.00986432457232746,0.00806187323851347,0.00291013960804876,0.00471259094186275,0.00268073671101789,0.000655436848659632,0.000812741692337943
"sample4",0.375720411473261,0.16289186607123,0.173854118065276,0.0599613410651203,0.0414628185474016,0.030291719433891,0.0289586527139017,0.0323890777400076,0.0134728609833589,0.0175209402563932,0.0101979604079184,0.00696749538981093,0.00926037014819258,0.00847386078339888,0.00754515763513964,0.00307494056744207,0.00830944922126686,0.0056210980026217,0.00121753427092359,0.00136861516585572
