,id,facet,variable,value,label
1,ID,KO,PC1,8.141,*
2,env9,KO,PC1,3.934,
3,env2,KO,PC1,2.596,
4,env10,KO,PC1,2.207,
5,env4,KO,PC1,0.709,
6,env5,KO,PC1,-0.377,
7,env7,KO,PC1,-0.379,
8,env1,KO,PC1,-0.822,
9,env3,KO,PC1,-0.83,
10,env6,KO,PC1,-0.969,
11,env8,KO,PC1,-1.576,
12,ID,OE,PC1,8.141,*
13,env9,OE,PC1,3.934,
14,env2,OE,PC1,2.596,
15,env10,OE,PC1,2.207,
16,env4,OE,PC1,0.709,
17,env5,OE,PC1,-0.377,
18,env7,OE,PC1,-0.379,
19,env1,OE,PC1,-0.822,
20,env3,OE,PC1,-0.83,
21,env6,OE,PC1,-0.969,
22,env8,OE,PC1,-1.576,
23,ID,WT,PC1,8.141,*
24,env9,WT,PC1,3.934,
25,env2,WT,PC1,2.596,
26,env10,WT,PC1,2.207,
27,env4,WT,PC1,0.709,
28,env5,WT,PC1,-0.377,
29,env7,WT,PC1,-0.379,
30,env1,WT,PC1,-0.822,
31,env3,WT,PC1,-0.83,
32,env6,WT,PC1,-0.969,
33,env8,WT,PC1,-1.576,
34,ID,KO,PC2,11.833,*
35,env9,KO,PC2,5.826,*
36,env2,KO,PC2,2.477,
37,env10,KO,PC2,1.455,
38,env4,KO,PC2,1.109,
39,env5,KO,PC2,1.097,
40,env7,KO,PC2,0.133,
41,env1,KO,PC2,-0.269,
42,env3,KO,PC2,-0.468,
43,env6,KO,PC2,-1.43,
44,env8,KO,PC2,-1.744,
45,ID,OE,PC2,11.833,*
46,env9,OE,PC2,5.826,*
47,env2,OE,PC2,2.477,
48,env10,OE,PC2,1.455,
49,env4,OE,PC2,1.109,
50,env5,OE,PC2,1.097,
51,env7,OE,PC2,0.133,
52,env1,OE,PC2,-0.269,
53,env3,OE,PC2,-0.468,
54,env6,OE,PC2,-1.43,
55,env8,OE,PC2,-1.744,
56,ID,WT,PC2,11.833,*
57,env9,WT,PC2,5.826,*
58,env2,WT,PC2,2.477,
59,env10,WT,PC2,1.455,
60,env4,WT,PC2,1.109,
61,env5,WT,PC2,1.097,
62,env7,WT,PC2,0.133,
63,env1,WT,PC2,-0.269,
64,env3,WT,PC2,-0.468,
65,env6,WT,PC2,-1.43,
66,env8,WT,PC2,-1.744,
