genus	degree
Anaerococcus	1
Bacteroides	6
Finegoldia	2
Faecalibacterium	7
Sneathia	2
Bifidobacterium	5
Coprococcus	2
Collinsella	1
Blautia	5
Ruminococcus	10
Atopobium	2
Roseburia	1
Lachnospira	4
Sutterella	4
Dorea	3
Peptostreptococcus	1
Phascolarctobacterium	3
Oscillospira	8
Parabacteroides	7
Gallicola	1
Megamonas	2
Delftia	1
Citrobacter	3
Pseudomonas	6
Bilophila	5
Parvimonas	2
Megasphaera	1
Desulfovibrio	4
Akkermansia	3
Odoribacter	8
Butyricimonas	2
Haemophilus	5
Neisseria	4
Anaerostipes	3
Rothia	6
Shuttleworthia	6
Eggerthella	1
Aggregatibacter	1
Lachnobacterium	1
Acinetobacter	7
Gemella	2
Leptotrichia	5
Arthrobacter	8
Adlercreutzia	5
Aeromonas	2
Ureaplasma	1
Turicibacter	1
Lautropia	5
Lactococcus	4
Nitrospira	2
Vibrio	5
Bacillus	7
Anaerotruncus	2
Synechococcus	7
Streptomyces	6
